Comparison,Group 1,Group 2,P-Value,Significant,Interpretation
Friedman Test,-,-,4.834313490642839e-40,True,Significant differences among groups
2_vs_3,2,3,0.9999978481945689,False,No significant difference
2_vs_4,2,4,0.9791693781004177,False,No significant difference
2_vs_5,2,5,0.3191308211355014,False,No significant difference
2_vs_6,2,6,0.5285466272975993,False,No significant difference
2_vs_7,2,7,0.34836628457708024,False,No significant difference
2_vs_8,2,8,0.08125153156604649,False,No significant difference
2_vs_9,2,9,0.03242440847860377,False,No significant difference
2_vs_10,2,10,0.04201750946935206,False,No significant difference
2_vs_11,2,11,0.014252220545672085,False,No significant difference
2_vs_12,2,12,0.0005629902226097303,True,Significant difference
2_vs_13,2,13,0.0004180383674832652,True,Significant difference
2_vs_14,2,14,0.0007665430249107006,True,Significant difference
2_vs_15,2,15,6.026370058671826e-07,True,Significant difference
2_vs_16,2,16,6.130522064366337e-05,True,Significant difference
2_vs_17,2,17,5.728110819894369e-06,True,Significant difference
2_vs_18,2,18,2.0449331427860217e-05,True,Significant difference
2_vs_19,2,19,2.5520590182344342e-08,True,Significant difference
2_vs_20,2,20,8.599816772444382e-08,True,Significant difference
3_vs_4,3,4,0.9999994731722508,False,No significant difference
3_vs_5,3,5,0.9557908959000748,False,No significant difference
3_vs_6,3,6,0.9903212797028442,False,No significant difference
3_vs_7,3,7,0.9638240240129562,False,No significant difference
3_vs_8,3,8,0.7431250144906503,False,No significant difference
3_vs_9,3,9,0.5615979107716766,False,No significant difference
3_vs_10,3,10,0.6124520925452518,False,No significant difference
3_vs_11,3,11,0.4122065889670241,False,No significant difference
3_vs_12,3,12,0.0849058743110953,False,No significant difference
3_vs_13,3,13,0.07186685451978703,False,No significant difference
3_vs_14,3,14,0.10061858454736874,False,No significant difference
3_vs_15,3,15,0.0011034416799036392,False,No significant difference
3_vs_16,3,16,0.02308988257233999,False,No significant difference
3_vs_17,3,17,0.005072567854491659,False,No significant difference
3_vs_18,3,18,0.01159763829829708,False,No significant difference
3_vs_19,3,19,0.00011678059435336651,True,Significant difference
3_vs_20,3,20,0.00028021628545957814,True,Significant difference
4_vs_5,4,5,0.9999830618557465,False,No significant difference
4_vs_6,4,6,0.9999997454210362,False,No significant difference
4_vs_7,4,7,0.9999902133313656,False,No significant difference
4_vs_8,4,8,0.9976174808022191,False,No significant difference
4_vs_9,4,9,0.9871564163671779,False,No significant difference
4_vs_10,4,10,0.9914487443335153,False,No significant difference
4_vs_11,4,11,0.963572645261801,False,No significant difference
4_vs_12,4,12,0.6913862113497564,False,No significant difference
4_vs_13,4,13,0.6559750669740825,False,No significant difference
4_vs_14,4,14,0.7272299302671836,False,No significant difference
4_vs_15,4,15,0.09242140365947242,False,No significant difference
4_vs_16,4,16,0.42876049646336023,False,No significant difference
4_vs_17,4,17,0.21117535922916023,False,No significant difference
4_vs_18,4,18,0.31603970310428897,False,No significant difference
4_vs_19,4,19,0.02376341898077169,False,No significant difference
4_vs_20,4,20,0.04101691405631809,False,No significant difference
5_vs_6,5,6,0.9999999999999998,False,No significant difference
5_vs_7,5,7,1.0,False,No significant difference
5_vs_8,5,8,0.9999999999951782,False,No significant difference
5_vs_9,5,9,0.9999999945223509,False,No significant difference
5_vs_10,5,10,0.9999999988802527,False,No significant difference
5_vs_11,5,11,0.9999997376592447,False,No significant difference
5_vs_12,5,12,0.9993810391431402,False,No significant difference
5_vs_13,5,13,0.9990485170616167,False,No significant difference
5_vs_14,5,14,0.9996164492904047,False,No significant difference
5_vs_15,5,15,0.8508748683057725,False,No significant difference
5_vs_16,5,16,0.9914797025200626,False,No significant difference
5_vs_17,5,17,0.9500206032534233,False,No significant difference
5_vs_18,5,18,0.9786467732446736,False,No significant difference
5_vs_19,5,19,0.6180743083483381,False,No significant difference
5_vs_20,5,20,0.716397812628693,False,No significant difference
6_vs_7,6,7,1.0,False,No significant difference
6_vs_8,6,8,0.9999999889091191,False,No significant difference
6_vs_9,6,9,0.9999988806231058,False,No significant difference
6_vs_10,6,10,0.9999996220237988,False,No significant difference
6_vs_11,6,11,0.999982690055293,False,No significant difference
6_vs_12,6,12,0.9944110260299209,False,No significant difference
6_vs_13,6,13,0.9922664182346439,False,No significant difference
6_vs_14,6,14,0.9961067072771601,False,No significant difference
6_vs_15,6,15,0.6793929166433483,False,No significant difference
6_vs_16,6,16,0.9597999604465243,False,No significant difference
6_vs_17,6,17,0.8521147556078805,False,No significant difference
6_vs_18,6,18,0.9205214341014618,False,No significant difference
6_vs_19,6,19,0.4019828903722899,False,No significant difference
6_vs_20,6,20,0.5058856972587942,False,No significant difference
7_vs_8,7,8,0.9999999999799366,False,No significant difference
7_vs_9,7,9,0.9999999860681408,False,No significant difference
7_vs_10,7,10,0.999999996859451,False,No significant difference
7_vs_11,7,11,0.9999994605093122,False,No significant difference
7_vs_12,7,12,0.9991027973908987,False,No significant difference
7_vs_13,7,13,0.9986450417442365,False,No significant difference
7_vs_14,7,14,0.9994329084290615,False,No significant difference
7_vs_15,7,15,0.8295663770728486,False,No significant difference
7_vs_16,7,16,0.9889188164280883,False,No significant difference
7_vs_17,7,17,0.9398047268599583,False,No significant difference
7_vs_18,7,18,0.9732941984146043,False,No significant difference
7_vs_19,7,19,0.5858415785957167,False,No significant difference
7_vs_20,7,20,0.6869340428197827,False,No significant difference
8_vs_9,8,9,1.0,False,No significant difference
8_vs_10,8,10,1.0,False,No significant difference
8_vs_11,8,11,0.9999999999994005,False,No significant difference
8_vs_12,8,12,0.9999982352792586,False,No significant difference
8_vs_13,8,13,0.9999963510677737,False,No significant difference
8_vs_14,8,14,0.9999992190514498,False,No significant difference
8_vs_15,8,15,0.9832065435870664,False,No significant difference
8_vs_16,8,16,0.9998605521296549,False,No significant difference
8_vs_17,8,17,0.9973906415099894,False,No significant difference
8_vs_18,8,18,0.9993650017162917,False,No significant difference
8_vs_19,8,19,0.907225876423714,False,No significant difference
8_vs_20,8,20,0.9469971051272495,False,No significant difference
9_vs_10,9,10,1.0,False,No significant difference
9_vs_11,9,11,1.0,False,No significant difference
9_vs_12,9,12,0.9999999792489372,False,No significant difference
9_vs_13,9,13,0.9999999441093501,False,No significant difference
9_vs_14,9,14,0.9999999932643574,False,No significant difference
9_vs_15,9,15,0.996636294599651,False,No significant difference
9_vs_16,9,16,0.9999929682819606,False,No significant difference
9_vs_17,9,17,0.9996916980408628,False,No significant difference
9_vs_18,9,18,0.9999498886839183,False,No significant difference
9_vs_19,9,19,0.9690198125610572,False,No significant difference
9_vs_20,9,20,0.9851190260340897,False,No significant difference
10_vs_11,10,11,1.0,False,No significant difference
10_vs_12,10,12,0.9999999222208233,False,No significant difference
10_vs_13,10,13,0.9999998072736107,False,No significant difference
10_vs_14,10,14,0.9999999721308486,False,No significant difference
10_vs_15,10,15,0.9946342647887861,False,No significant difference
10_vs_16,10,16,0.9999831841559067,False,No significant difference
10_vs_17,10,17,0.9994270138321543,False,No significant difference
10_vs_18,10,18,0.9998951425009874,False,No significant difference
10_vs_19,10,19,0.9572930855944501,False,No significant difference
10_vs_20,10,20,0.9784480883352763,False,No significant difference
11_vs_12,11,12,0.9999999998099139,False,No significant difference
11_vs_13,11,13,0.9999999992828393,False,No significant difference
11_vs_14,11,14,0.9999999999590395,False,No significant difference
11_vs_15,11,15,0.9992917553951718,False,No significant difference
11_vs_16,11,16,0.9999996364884125,False,No significant difference
11_vs_17,11,17,0.9999612276850892,False,No significant difference
11_vs_18,11,18,0.9999958245641826,False,No significant difference
11_vs_19,11,19,0.9894656746453269,False,No significant difference
11_vs_20,11,20,0.9956920609354051,False,No significant difference
12_vs_13,12,13,1.0,False,No significant difference
12_vs_14,12,14,1.0,False,No significant difference
12_vs_15,12,15,0.999999658902537,False,No significant difference
12_vs_16,12,16,0.9999999999999928,False,No significant difference
12_vs_17,12,17,0.9999999990991867,False,No significant difference
12_vs_18,12,18,0.9999999999946696,False,No significant difference
12_vs_19,12,19,0.9999436165222189,False,No significant difference
12_vs_20,12,20,0.9999893648184679,False,No significant difference
13_vs_14,13,14,1.0,False,No significant difference
13_vs_15,13,15,0.9999998571658306,False,No significant difference
13_vs_16,13,16,0.9999999999999996,False,No significant difference
13_vs_17,13,17,0.9999999997565168,False,No significant difference
13_vs_18,13,18,0.9999999999991308,False,No significant difference
13_vs_19,13,19,0.9999682757989934,False,No significant difference
13_vs_20,13,20,0.9999945341834519,False,No significant difference
14_vs_15,14,15,0.9999991896964073,False,No significant difference
14_vs_16,14,16,0.9999999999999136,False,No significant difference
14_vs_17,14,17,0.999999996773668,False,No significant difference
14_vs_18,14,18,0.9999999999700298,False,No significant difference
14_vs_19,14,19,0.9998995694769833,False,No significant difference
14_vs_20,14,20,0.9999792887732015,False,No significant difference
15_vs_16,15,16,0.999999999828854,False,No significant difference
15_vs_17,15,17,0.9999999999999998,False,No significant difference
15_vs_18,15,18,0.9999999999990289,False,No significant difference
15_vs_19,15,19,0.9999999999999816,False,No significant difference
15_vs_20,15,20,1.0,False,No significant difference
16_vs_17,16,17,0.9999999999999971,False,No significant difference
16_vs_18,16,18,1.0,False,No significant difference
16_vs_19,16,19,0.9999995302090733,False,No significant difference
16_vs_20,16,20,0.9999999610433782,False,No significant difference
17_vs_18,17,18,1.0,False,No significant difference
17_vs_19,17,19,0.999999999539588,False,No significant difference
17_vs_20,17,20,0.9999999999923899,False,No significant difference
18_vs_19,18,19,0.9999999743247129,False,No significant difference
18_vs_20,18,20,0.9999999988308726,False,No significant difference
19_vs_20,19,20,1.0,False,No significant difference
