Comparison,Group 1,Group 2,P-Value,Significant,Interpretation
Friedman Test,-,-,3.233891731018605e-42,True,Significant differences among groups
2_vs_3,2,3,0.9999999784947426,False,No significant difference
2_vs_4,2,4,0.999996103949194,False,No significant difference
2_vs_5,2,5,0.9999999160758057,False,No significant difference
2_vs_6,2,6,0.9999999999999992,False,No significant difference
2_vs_7,2,7,1.0,False,No significant difference
2_vs_8,2,8,0.999999999999983,False,No significant difference
2_vs_9,2,9,0.9999999987259333,False,No significant difference
2_vs_10,2,10,0.999999999112253,False,No significant difference
2_vs_11,2,11,0.9998175772483217,False,No significant difference
2_vs_12,2,12,0.9999703857583443,False,No significant difference
2_vs_13,2,13,0.9991288966184116,False,No significant difference
2_vs_14,2,14,0.9692853259409784,False,No significant difference
2_vs_15,2,15,0.9910053068515488,False,No significant difference
2_vs_16,2,16,0.9415588112404281,False,No significant difference
2_vs_17,2,17,0.6909824999249013,False,No significant difference
2_vs_18,2,18,0.548751237562758,False,No significant difference
2_vs_19,2,19,0.62453689002379,False,No significant difference
2_vs_20,2,20,0.12157567121067575,False,No significant difference
3_vs_4,3,4,0.9999999999999993,False,No significant difference
3_vs_5,3,5,1.0,False,No significant difference
3_vs_6,3,6,0.9999999999938115,False,No significant difference
3_vs_7,3,7,0.9999999664430071,False,No significant difference
3_vs_8,3,8,0.999990930338805,False,No significant difference
3_vs_9,3,9,0.9996425325876117,False,No significant difference
3_vs_10,3,10,0.9996882758032669,False,No significant difference
3_vs_11,3,11,0.9477323396419813,False,No significant difference
3_vs_12,3,12,0.976449555709095,False,No significant difference
3_vs_13,3,13,0.8971850494786824,False,No significant difference
3_vs_14,3,14,0.5713177679819259,False,No significant difference
3_vs_15,3,15,0.7302908636084229,False,No significant difference
3_vs_16,3,16,0.4645340339668673,False,No significant difference
3_vs_17,3,17,0.14482894769158788,False,No significant difference
3_vs_18,3,18,0.07985531623033447,False,No significant difference
3_vs_19,3,19,0.11013777544717623,False,No significant difference
3_vs_20,3,20,0.004467429870490789,False,No significant difference
4_vs_5,4,5,1.0,False,No significant difference
4_vs_6,4,6,0.999999980097629,False,No significant difference
4_vs_7,4,7,0.9999947055379222,False,No significant difference
4_vs_8,4,8,0.999714726933353,False,No significant difference
4_vs_9,4,9,0.9957351635552653,False,No significant difference
4_vs_10,4,10,0.9961462180342892,False,No significant difference
4_vs_11,4,11,0.8371041064760099,False,No significant difference
4_vs_12,4,12,0.9076288771288014,False,No significant difference
4_vs_13,4,13,0.7393800963275377,False,No significant difference
4_vs_14,4,14,0.34314945489042237,False,No significant difference
4_vs_15,4,15,0.5061077529454925,False,No significant difference
4_vs_16,4,16,0.2532425487062016,False,No significant difference
4_vs_17,4,17,0.05384927359450271,False,No significant difference
4_vs_18,4,18,0.025703032250942587,False,No significant difference
4_vs_19,4,19,0.03821790295752998,False,No significant difference
4_vs_20,4,20,0.0008616481266498177,True,Significant difference
5_vs_6,5,6,0.9999999999428775,False,No significant difference
5_vs_7,5,7,0.9999998740547903,False,No significant difference
5_vs_8,5,8,0.9999780777047941,False,No significant difference
5_vs_9,5,9,0.9993284138182846,False,No significant difference
5_vs_10,5,10,0.9994090018401924,False,No significant difference
5_vs_11,5,11,0.9298681847562337,False,No significant difference
5_vs_12,5,12,0.9665480207773124,False,No significant difference
5_vs_13,5,13,0.8689229447264016,False,No significant difference
5_vs_14,5,14,0.5181026473383908,False,No significant difference
5_vs_15,5,15,0.6828659730675514,False,No significant difference
