Comparison,Group 1,Group 2,P-Value,Significant,Interpretation
Friedman Test,-,-,2.8284734844233393e-66,True,Significant differences among groups
2_vs_3,2,3,1.0,False,No significant difference
2_vs_4,2,4,0.9999999999988163,False,No significant difference
2_vs_5,2,5,0.9999999994309431,False,No significant difference
2_vs_6,2,6,0.9999999940404264,False,No significant difference
2_vs_7,2,7,0.999999875374897,False,No significant difference
2_vs_8,2,8,0.9999875549177938,False,No significant difference
2_vs_9,2,9,0.9999984654474451,False,No significant difference
2_vs_10,2,10,0.9996326945885606,False,No significant difference
2_vs_11,2,11,0.999683950163895,False,No significant difference
2_vs_12,2,12,0.9621916266366578,False,No significant difference
2_vs_13,2,13,0.939062470874342,False,No significant difference
2_vs_14,2,14,0.9158113668158689,False,No significant difference
2_vs_15,2,15,0.5505251192751722,False,No significant difference
2_vs_16,2,16,0.5893506114267696,False,No significant difference
2_vs_17,2,17,0.1742885606804903,False,No significant difference
2_vs_18,2,18,0.19230678148375682,False,No significant difference
2_vs_19,2,19,0.07474878709139553,False,No significant difference
2_vs_20,2,20,0.05109340259442741,False,No significant difference
3_vs_4,3,4,0.9999999999999896,False,No significant difference
3_vs_5,3,5,0.999999999974997,False,No significant difference
3_vs_6,3,6,0.9999999995831216,False,No significant difference
3_vs_7,3,7,0.9999999853705418,False,No significant difference
3_vs_8,3,8,0.9999972020331128,False,No significant difference
3_vs_9,3,9,0.9999997389680909,False,No significant difference
3_vs_10,3,10,0.9998756145198859,False,No significant difference
3_vs_11,3,11,0.9998948196849393,False,No significant difference
3_vs_12,3,12,0.9781808653367098,False,No significant difference
3_vs_13,3,13,0.9627077827390427,False,No significant difference
3_vs_14,3,14,0.9463220082627349,False,No significant difference
3_vs_15,3,15,0.6331097047490888,False,No significant difference
3_vs_16,3,16,0.6701347045549897,False,No significant difference
3_vs_17,3,17,0.2308271492957555,False,No significant difference
3_vs_18,3,18,0.25221327404898736,False,No significant difference
3_vs_19,3,19,0.10663659513924895,False,No significant difference
3_vs_20,3,20,0.07504189886385286,False,No significant difference
