Comparison,Group 1,Group 2,P-Value,Significant,Interpretation
Friedman Test,-,-,4.4971042210202506e-72,True,Significant differences among groups
2_vs_3,2,3,0.9991626501939316,False,No significant difference
2_vs_4,2,4,0.983422531896643,False,No significant difference
2_vs_5,2,5,0.9890719895883655,False,No significant difference
2_vs_6,2,6,0.8547111936152876,False,No significant difference
2_vs_7,2,7,0.5906651721052727,False,No significant difference
2_vs_8,2,8,0.05695991166649599,False,No significant difference
2_vs_9,2,9,0.14748574931667657,False,No significant difference
2_vs_10,2,10,0.012381123327047203,False,No significant difference
2_vs_11,2,11,0.0006999475461273739,True,Significant difference
2_vs_12,2,12,4.0366429662142954e-05,True,Significant difference
2_vs_13,2,13,1.3758809286659213e-08,True,Significant difference
2_vs_14,2,14,2.1535434616520513e-06,True,Significant difference
2_vs_15,2,15,5.3764156753950506e-08,True,Significant difference
2_vs_16,2,16,7.83458302740641e-12,True,Significant difference
2_vs_17,2,17,3.077237046972535e-12,True,Significant difference
2_vs_18,2,18,1.1491536997854946e-14,True,Significant difference
2_vs_19,2,19,4.301146522380618e-15,True,Significant difference
2_vs_20,2,20,2.0796485078537505e-17,True,Significant difference
3_vs_4,3,4,0.9999999999997501,False,No significant difference
3_vs_5,3,5,0.9999999999999905,False,No significant difference
3_vs_6,3,6,0.9999998381906567,False,No significant difference
3_vs_7,3,7,0.9999425044484149,False,No significant difference
3_vs_8,3,8,0.9367949998258364,False,No significant difference
3_vs_9,3,9,0.9853145993847717,False,No significant difference
3_vs_10,3,10,0.7721448231035938,False,No significant difference
3_vs_11,3,11,0.3687291717700958,False,No significant difference
3_vs_12,3,12,0.12221205925608349,False,No significant difference
3_vs_13,3,13,0.0018137763668051594,False,No significant difference
3_vs_14,3,14,0.030267781355433985,False,No significant difference
3_vs_15,3,15,0.00403355366832282,False,No significant difference
3_vs_16,3,16,1.569241234191494e-05,True,Significant difference
3_vs_17,3,17,8.369498648836951e-06,True,Significant difference
3_vs_18,3,18,1.7316570563403348e-07,True,Significant difference
3_vs_19,3,19,8.59983888212718e-08,True,Significant difference
3_vs_20,3,20,1.7850263367160183e-09,True,Significant difference
4_vs_5,4,5,1.0,False,No significant difference
4_vs_6,4,6,0.9999999999960615,False,No significant difference
4_vs_7,4,7,0.9999998740548581,False,No significant difference
4_vs_8,4,8,0.9934248253936867,False,No significant difference
4_vs_9,4,9,0.9993041677930774,False,No significant difference
4_vs_10,4,10,0.9489841567294391,False,No significant difference
4_vs_11,4,11,0.6881507526719627,False,No significant difference
4_vs_12,4,12,0.35402116105182857,False,No significant difference
4_vs_13,4,13,0.014865528545291119,False,No significant difference
4_vs_14,4,14,0.13295107233235182,False,No significant difference
4_vs_15,4,15,0.028233692863623108,False,No significant difference
4_vs_16,4,16,0.00027523675494876983,True,Significant difference
4_vs_17,4,17,0.00015985608259499535,True,Significant difference
4_vs_18,4,18,5.319888764804158e-06,True,Significant difference
4_vs_19,4,19,2.8569704176515797e-06,True,Significant difference
4_vs_20,4,20,8.862492337510661e-08,True,Significant difference
5_vs_6,5,6,0.999999999958676,False,No significant difference
5_vs_7,5,7,0.9999995607798137,False,No significant difference
5_vs_8,5,8,0.9896671314872681,False,No significant difference
5_vs_9,5,9,0.9987252632006124,False,No significant difference
5_vs_10,5,10,0.9307732595106497,False,No significant difference
