Comparison,Group 1,Group 2,P-Value,Significant,Interpretation
Friedman Test,-,-,1.2798482342577526e-17,True,Significant differences among groups
2_vs_3,2,3,0.1511631629061334,False,No significant difference
2_vs_4,2,4,0.001713745620741321,False,No significant difference
2_vs_5,2,5,0.00017339876786899274,True,Significant difference
2_vs_6,2,6,0.004051332616276637,False,No significant difference
2_vs_7,2,7,1.2947842818137423e-05,True,Significant difference
2_vs_8,2,8,5.8042406524819834e-05,True,Significant difference
2_vs_9,2,9,3.566426210589025e-05,True,Significant difference
2_vs_10,2,10,6.226901043277506e-05,True,Significant difference
2_vs_11,2,11,0.00035004072107972715,True,Significant difference
2_vs_12,2,12,9.588745433875104e-05,True,Significant difference
2_vs_13,2,13,4.145181028310137e-06,True,Significant difference
2_vs_14,2,14,0.009761588189578127,False,No significant difference
2_vs_15,2,15,0.00392833629802451,False,No significant difference
2_vs_16,2,16,0.0023554117948044076,False,No significant difference
2_vs_17,2,17,0.017908234473518275,False,No significant difference
2_vs_18,2,18,0.014417250710844473,False,No significant difference
2_vs_19,2,19,0.026879887633593662,False,No significant difference
2_vs_20,2,20,0.009275970710212137,False,No significant difference
3_vs_4,3,4,0.9999980589777623,False,No significant difference
3_vs_5,3,5,0.9997836841285694,False,No significant difference
3_vs_6,3,6,0.9999998679519366,False,No significant difference
3_vs_7,3,7,0.9949992782548827,False,No significant difference
3_vs_8,3,8,0.9990107379032185,False,No significant difference
3_vs_9,3,9,0.9982386035215145,False,No significant difference
3_vs_10,3,10,0.9990939455742006,False,No significant difference
3_vs_11,3,11,0.999933507211153,False,No significant difference
3_vs_12,3,12,0.9994862733843282,False,No significant difference
3_vs_13,3,13,0.9868486697842702,False,No significant difference
3_vs_14,3,14,0.9999999968168307,False,No significant difference
3_vs_15,3,15,0.9999998526264474,False,No significant difference
3_vs_16,3,16,0.999999219051656,False,No significant difference
3_vs_17,3,17,0.9999999999070778,False,No significant difference
3_vs_18,3,18,0.9999999996285492,False,No significant difference
3_vs_19,3,19,0.9999999999958139,False,No significant difference
3_vs_20,3,20,0.9999999958966943,False,No significant difference
4_vs_5,4,5,0.9999999999999571,False,No significant difference
4_vs_6,4,6,1.0,False,No significant difference
4_vs_7,4,7,0.9999999932643593,False,No significant difference
4_vs_8,4,8,0.9999999999763292,False,No significant difference
4_vs_9,4,9,0.9999999998052724,False,No significant difference
4_vs_10,4,10,0.9999999999830227,False,No significant difference
4_vs_11,4,11,0.9999999999999999,False,No significant difference
4_vs_12,4,12,0.9999999999981775,False,No significant difference
4_vs_13,4,13,0.9999998556673785,False,No significant difference
4_vs_14,4,14,0.9999999999999946,False,No significant difference
4_vs_15,4,15,1.0,False,No significant difference
4_vs_16,4,16,1.0,False,No significant difference
4_vs_17,4,17,0.9999999999980157,False,No significant difference
4_vs_18,4,18,0.9999999999997117,False,No significant difference
4_vs_19,4,19,0.9999999999498651,False,No significant difference
4_vs_20,4,20,0.9999999999999969,False,No significant difference
5_vs_6,5,6,0.9999999999785999,False,No significant difference
5_vs_7,5,7,0.9999999999999681,False,No significant difference
5_vs_8,5,8,1.0,False,No significant difference
5_vs_9,5,9,1.0,False,No significant difference
5_vs_10,5,10,1.0,False,No significant difference
5_vs_11,5,11,1.0,False,No significant difference
5_vs_12,5,12,1.0,False,No significant difference
5_vs_13,5,13,0.9999999999874372,False,No significant difference
5_vs_14,5,14,0.999999997024655,False,No significant difference
5_vs_15,5,15,0.9999999999823782,False,No significant difference
5_vs_16,5,16,0.9999999999994712,False,No significant difference
5_vs_17,5,17,0.9999999465492065,False,No significant difference
