Statistical Analysis Report for Parameter: k
==================================================

FRIEDMAN TEST RESULTS
--------------------
Metric               Statistic       P-Value         Significant    
-----------------------------------------------------------------
E                    364.0063        0.0000          True           
ARI                  236.3389        0.0000          True           
F1 Score             309.7591        0.0000          True           
DBI                  247.0568        0.0000          True           
silhouette_score     122.7284        0.0000          True           
calinski_harabasz_score 391.8842        0.0000          True           
Time                 351.1037        0.0000          True           


NEMENYI POST-HOC TEST RESULTS
==============================

Metric: E
--------------------
Group 1              Group 2              P-Value         Significant    
----------------------------------------------------------------------
2                    3                    1.0000          False          
2                    4                    1.0000          False          
2                    5                    1.0000          False          
2                    6                    1.0000          False          
2                    7                    1.0000          False          
2                    8                    1.0000          False          
2                    9                    1.0000          False          
2                    10                   0.9996          False          
2                    11                   0.9997          False          
2                    12                   0.9622          False          
2                    13                   0.9391          False          
2                    14                   0.9158          False          
2                    15                   0.5505          False          
2                    16                   0.5894          False          
2                    17                   0.1743          False          
2                    18                   0.1923          False          
2                    19                   0.0747          False          
2                    20                   0.0511          False          
3                    4                    1.0000          False          
3                    5                    1.0000          False          
3                    6                    1.0000          False          
3                    7                    1.0000          False          
3                    8                    1.0000          False          
3                    9                    1.0000          False          
3                    10                   0.9999          False          
3                    11                   0.9999          False          
3                    12                   0.9782          False          
3                    13                   0.9627          False          
3                    14                   0.9463          False          
3                    15                   0.6331          False          
3                    16                   0.6701          False          
3                    17                   0.2308          False          
3                    18                   0.2522          False          
3                    19                   0.1066          False          
3                    20                   0.0750          False          
4                    5                    1.0000          False          
4                    6                    1.0000          False          
4                    7                    1.0000          False          
4                    8                    1.0000          False          
4                    9                    1.0000          False          
4                    10                   1.0000          False          
4                    11                   1.0000          False          
4                    12                   0.9978          False          
4                    13                   0.9952          False          
4                    14                   0.9919          False          
4                    15                   0.8550          False          
4                    16                   0.8776          False          
4                    17                   0.4747          False          
4                    18                   0.5030          False          
4                    19                   0.2779          False          
4                    20                   0.2149          False          
5                    6                    1.0000          False          
5                    7                    1.0000          False          
5                    8                    1.0000          False          
5                    9                    1.0000          False          
5                    10                   1.0000          False          
5                    11                   1.0000          False          
5                    12                   0.9996          False          
5                    13                   0.9989          False          
5                    14                   0.9980          False          
5                    15                   0.9295          False          
5                    16                   0.9430          False          
5                    17                   0.6254          False          
5                    18                   0.6526          False          
5                    19                   0.4141          False          
5                    20                   0.3368          False          
6                    7                    1.0000          False          
6                    8                    1.0000          False          
6                    9                    1.0000          False          
6                    10                   1.0000          False          
6                    11                   1.0000          False          
6                    12                   0.9998          False          
6                    13                   0.9995          False          
6                    14                   0.9991          False          
6                    15                   0.9536          False          
6                    16                   0.9634          False          
6                    17                   0.6956          False          
6                    18                   0.7209          False          
6                    19                   0.4877          False          
6                    20                   0.4062          False          
7                    8                    1.0000          False          
7                    9                    1.0000          False          
7                    10                   1.0000          False          
7                    11                   1.0000          False          
7                    12                   1.0000          False          
7                    13                   0.9999          False          
7                    14                   0.9998          False          
7                    15                   0.9778          False          
7                    16                   0.9832          False          
7                    17                   0.7921          False          
7                    18                   0.8129          False          
7                    19                   0.6029          False          
7                    20                   0.5203          False          
8                    9                    1.0000          False          
8                    10                   1.0000          False          
8                    11                   1.0000          False          
8                    12                   1.0000          False          
8                    13                   1.0000          False          
8                    14                   1.0000          False          
8                    15                   0.9966          False          
8                    16                   0.9976          False          
8                    17                   0.9245          False          
8                    18                   0.9351          False          
8                    19                   0.8049          False          
8                    20                   0.7394          False          
9                    10                   1.0000          False          
9                    11                   1.0000          False          
9                    12                   1.0000          False          
9                    13                   1.0000          False          
9                    14                   1.0000          False          
9                    15                   0.9907          False          
9                    16                   0.9932          False          
9                    17                   0.8692          False          
9                    18                   0.8848          False          
9                    19                   0.7117          False          
9                    20                   0.6348          False          
10                   11                   1.0000          False          
10                   12                   1.0000          False          
10                   13                   1.0000          False          
10                   14                   1.0000          False          
10                   15                   0.9997          False          
10                   16                   0.9998          False          
10                   17                   0.9824          False          
10                   18                   0.9857          False          
10                   19                   0.9330          False          
10                   20                   0.8980          False          
11                   12                   1.0000          False          
11                   13                   1.0000          False          
11                   14                   1.0000          False          
11                   15                   0.9997          False          
11                   16                   0.9998          False          
11                   17                   0.9808          False          
11                   18                   0.9844          False          
11                   19                   0.9285          False          
11                   20                   0.8920          False          
12                   13                   1.0000          False          
12                   14                   1.0000          False          
12                   15                   1.0000          False          
12                   16                   1.0000          False          
12                   17                   0.9999          False          
12                   18                   0.9999          False          
12                   19                   0.9989          False          
12                   20                   0.9973          False          
13                   14                   1.0000          False          
13                   15                   1.0000          False          
13                   16                   1.0000          False          
13                   17                   1.0000          False          
13                   18                   1.0000          False          
13                   19                   0.9995          False          
13                   20                   0.9988          False          
14                   15                   1.0000          False          
14                   16                   1.0000          False          
14                   17                   1.0000          False          
14                   18                   1.0000          False          
14                   19                   0.9998          False          
14                   20                   0.9994          False          
15                   16                   1.0000          False          
15                   17                   1.0000          False          
15                   18                   1.0000          False          
15                   19                   1.0000          False          
15                   20                   1.0000          False          
16                   17                   1.0000          False          
16                   18                   1.0000          False          
16                   19                   1.0000          False          
16                   20                   1.0000          False          
17                   18                   1.0000          False          
17                   19                   1.0000          False          
17                   20                   1.0000          False          
18                   19                   1.0000          False          
18                   20                   1.0000          False          
19                   20                   1.0000          False          

Metric: ARI
--------------------
Group 1              Group 2              P-Value         Significant    
----------------------------------------------------------------------
2                    3                    1.0000          False          
2                    4                    0.9792          False          
2                    5                    0.3191          False          
2                    6                    0.5285          False          
2                    7                    0.3484          False          
2                    8                    0.0813          False          
2                    9                    0.0324          False          
2                    10                   0.0420          False          
2                    11                   0.0143          False          
2                    12                   0.0006          True           
2                    13                   0.0004          True           
2                    14                   0.0008          True           
2                    15                   0.0000          True           
2                    16                   0.0001          True           
2                    17                   0.0000          True           
2                    18                   0.0000          True           
2                    19                   0.0000          True           
2                    20                   0.0000          True           
3                    4                    1.0000          False          
3                    5                    0.9558          False          
3                    6                    0.9903          False          
3                    7                    0.9638          False          
3                    8                    0.7431          False          
3                    9                    0.5616          False          
3                    10                   0.6125          False          
3                    11                   0.4122          False          
3                    12                   0.0849          False          
3                    13                   0.0719          False          
3                    14                   0.1006          False          
3                    15                   0.0011          False          
3                    16                   0.0231          False          
3                    17                   0.0051          False          
3                    18                   0.0116          False          
3                    19                   0.0001          True           
3                    20                   0.0003          True           
4                    5                    1.0000          False          
4                    6                    1.0000          False          
4                    7                    1.0000          False          
4                    8                    0.9976          False          
4                    9                    0.9872          False          
4                    10                   0.9914          False          
4                    11                   0.9636          False          
4                    12                   0.6914          False          
4                    13                   0.6560          False          
4                    14                   0.7272          False          
4                    15                   0.0924          False          
4                    16                   0.4288          False          
4                    17                   0.2112          False          
4                    18                   0.3160          False          
4                    19                   0.0238          False          
4                    20                   0.0410          False          
5                    6                    1.0000          False          
5                    7                    1.0000          False          
5                    8                    1.0000          False          
