Comparison,Friedman P-Value,Total Comparisons,Significant Comparisons,Significance Percentage,Most Significant Comparison,Lowest P-Value
k_E,2.8284734844233393e-66,171,0,0.0,No significant differences,
k_ARI,4.834313490642839e-40,171,11,6.432748538011696,2_vs_12,2.5520590182344342e-08
k_F1 Score,4.720423530783939e-55,171,22,12.865497076023392,2_vs_9,1.2018872255521237e-14
k_DBI,3.233891731018605e-42,171,1,0.5847953216374269,4_vs_20,0.0008616481266498177
k_silhouette_score,1.2798482342577526e-17,171,8,4.678362573099415,2_vs_5,4.145181028310137e-06
k_calinski_harabasz_score,4.4971042210202506e-72,171,29,16.95906432748538,2_vs_11,2.0796485078537505e-17
k_Time,1.3448001130218725e-63,171,14,8.187134502923977,2_vs_15,3.54363897154102e-09
Distance_Metric_E,2.9559512713663022e-65,2,2,100.0,control_euclidean_vs_manhattan,1.2525448565860225e-32
Distance_Metric_ARI,2.9655319158945725e-52,2,2,100.0,control_euclidean_vs_manhattan,1.563619275658798e-32
Distance_Metric_F1 Score,8.921737997107701e-08,2,1,50.0,control_euclidean_vs_clark,1.8140612871337053e-07
Distance_Metric_DBI,7.255068186439307e-54,2,1,50.0,control_euclidean_vs_clark,1.0392042326751501e-30
Distance_Metric_silhouette_score,6.410707173695079e-55,2,2,100.0,control_euclidean_vs_manhattan,1.548776362239671e-30
Distance_Metric_calinski_harabasz_score,4.115143931536717e-24,2,2,100.0,control_euclidean_vs_manhattan,1.7691495236524335e-16
Distance_Metric_Time,1.2088161686004342e-53,2,2,100.0,control_euclidean_vs_manhattan,3.084048876593559e-32
