Algorithm,n_clusters,fuzziness,rho,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_0",2,1.5,0.5,0,0.1502892999645793,0.18282461167903094,1.9954342609531392,0.1951277729097164,36.7650490993057,2,0.0
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_1",2,1.5,0.5,1,0.23165894259680214,0.1916060146269209,2.000285072724243,0.20483563728695584,36.40839980146401,2,0.0
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_2",2,1.5,0.5,2,0.005117616726753356,0.012950567713617656,2.698557654790846,0.122335602247323,19.977377203562803,2,0.0
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_3",2,1.5,0.5,3,0.23165894259680214,0.1916060146269209,2.000285072724243,0.20483563728695584,36.40839980146401,2,0.0
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_4",2,1.5,0.5,4,0.20042725367931005,0.19088003240688123,2.0088390037152584,0.20083985108456062,36.52368634838455,2,0.0
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_5",2,1.5,0.5,5,0.16018937629510724,0.18804689976199973,1.9972746532933257,0.19591331439684806,36.77071145608096,2,0.0
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_6",2,1.5,0.5,6,0.23165894259680214,0.1916060146269209,2.000285072724243,0.20483563728695584,36.40839980146401,2,0.0
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_7",2,1.5,0.5,7,0.1502892999645793,0.1828246116790309,1.9954342609531392,0.1951277729097164,36.7650490993057,2,0.01744389533996582
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_8",2,1.5,0.5,8,0.17915524831358734,0.1796336672519708,2.0101733089884695,0.19937811668599686,36.523560876503495,2,0.0
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_9",2,1.5,0.5,9,0.23165894259680214,0.19160601462692087,2.000285072724243,0.20483563728695584,36.40839980146401,2,0.0
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_0",2,1.5,0.7,0,0.23165894259680214,0.19160601462692087,2.000285072724243,0.20483563728695584,36.40839980146401,2,0.0
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_1",2,1.5,0.7,1,0.22019411046208012,0.18545822623516206,2.004646308597926,0.20389216784149758,36.37982400457662,2,0.0
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_2",2,1.5,0.7,2,0.15894250833544035,0.16901630094775794,2.0214918899643552,0.19498831270133324,36.02436363164463,2,0.0
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_3",2,1.5,0.7,3,0.1914166167341919,0.20457937625286857,2.0065564761803283,0.19698810272431258,36.56954311584128,2,0.0
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_4",2,1.5,0.7,4,0.1502892999645793,0.1828246116790309,1.9954342609531392,0.1951277729097164,36.7650490993057,2,0.0
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_5",2,1.5,0.7,5,0.20234865038826486,0.2104014188473846,2.0078849253051727,0.19795091901160658,36.54289418908469,2,0.0
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_6",2,1.5,0.7,6,0.1502892999645793,0.18282461167903094,1.9954342609531392,0.1951277729097164,36.7650490993057,2,0.0
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_7",2,1.5,0.7,7,0.16891865714996884,0.17424995554629644,2.0167662506134705,0.19628799890267354,36.233032249916356,2,0.0
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_8",2,1.5,0.7,8,0.1502892999645793,0.18282461167903094,1.9954342609531392,0.1951277729097164,36.7650490993057,2,0.0
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_9",2,1.5,0.7,9,0.23165894259680214,0.19160601462692087,2.000285072724243,0.20483563728695584,36.40839980146401,2,0.0
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_0",2,1.5,0.9,0,0.17915524831358734,0.1796336672519708,2.0101733089884695,0.19937811668599686,36.523560876503495,2,0.0
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_1",2,1.5,0.9,1,0.16018937629510724,0.18804689976199973,1.9972746532933257,0.19591331439684806,36.77071145608096,2,0.015617847442626953
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_2",2,1.5,0.9,2,0.23165894259680214,0.1916060146269209,2.000285072724243,0.20483563728695584,36.40839980146401,2,0.0
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_3",2,1.5,0.9,3,0.23165894259680214,0.1916060146269209,2.000285072724243,0.20483563728695584,36.40839980146401,2,0.0
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_4",2,1.5,0.9,4,0.1502892999645793,0.18282461167903094,1.9954342609531392,0.1951277729097164,36.7650490993057,2,0.0
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_5",2,1.5,0.9,5,0.170341259364903,0.1934091259564293,2.003600433765098,0.19579862712453974,36.62367781550102,2,0.0
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_6",2,1.5,0.9,6,0.005117616726753356,0.012950567713617656,2.698557654790846,0.122335602247323,19.977377203562803,2,0.0
