Algorithm,k,Distance_Metric,N_Buckets,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"GlobalKMeansAlgorithm(k=2, Distance_Metric=euclidean, N_Buckets=2k)_0",2,euclidean,2k,0,0.1502892999645793,0.1828246116790309,1.9954342609531392,0.1951277729097164,36.7650490993057,2,0.008821249008178711
"GlobalKMeansAlgorithm(k=2, Distance_Metric=euclidean, N_Buckets=3k)_0",2,euclidean,3k,0,0.2554799188992463,0.20453350673170514,1.9894912722358635,0.20660728094591305,36.44429975640328,2,0.018117666244506836
"GlobalKMeansAlgorithm(k=2, Distance_Metric=euclidean, N_Buckets=4k)_0",2,euclidean,4k,0,0.23165894259680214,0.19160601462692087,2.000285072724243,0.20483563728695584,36.40839980146401,2,0.02193737030029297
"GlobalKMeansAlgorithm(k=2, Distance_Metric=manhattan, N_Buckets=2k)_0",2,manhattan,2k,0,0.3261081600300073,0.21850159450510945,1.97281818798241,0.21042870096172145,34.359881841443595,2,0.014237642288208008
"GlobalKMeansAlgorithm(k=2, Distance_Metric=manhattan, N_Buckets=3k)_0",2,manhattan,3k,0,0.3261081600300073,0.21850159450510945,1.97281818798241,0.21042870096172145,34.359881841443595,2,0.012202024459838867
"GlobalKMeansAlgorithm(k=2, Distance_Metric=manhattan, N_Buckets=4k)_0",2,manhattan,4k,0,0.33050329631047415,0.23316064016508606,1.9847573477096412,0.20987647173623292,34.70308162467043,2,0.02027153968811035
"GlobalKMeansAlgorithm(k=2, Distance_Metric=clark, N_Buckets=2k)_0",2,clark,2k,0,0.27690310787266387,0.2024119205501235,2.1368670366319504,0.1904984720154376,31.02373702144138,2,0.015583992004394531
"GlobalKMeansAlgorithm(k=2, Distance_Metric=clark, N_Buckets=3k)_0",2,clark,3k,0,0.27690310787266387,0.2024119205501235,2.1368670366319504,0.1904984720154376,31.02373702144138,2,0.015362739562988281
"GlobalKMeansAlgorithm(k=2, Distance_Metric=clark, N_Buckets=4k)_0",2,clark,4k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.0198819637298584
"GlobalKMeansAlgorithm(k=3, Distance_Metric=euclidean, N_Buckets=2k)_0",3,euclidean,2k,0,0.22226348603174034,0.1988527935529097,2.1023842484782977,0.1815207915313681,28.10167653075388,3,0.020159244537353516
"GlobalKMeansAlgorithm(k=3, Distance_Metric=euclidean, N_Buckets=3k)_0",3,euclidean,3k,0,0.19425378324492693,0.1661563706546884,2.1026133205173543,0.18314812061266716,28.324899042527115,3,0.029712915420532227
"GlobalKMeansAlgorithm(k=3, Distance_Metric=euclidean, N_Buckets=4k)_0",3,euclidean,4k,0,0.18406390107131906,0.16308054363180252,2.130214909508847,0.18563715472232295,27.4653940821376,3,0.04008173942565918
"GlobalKMeansAlgorithm(k=3, Distance_Metric=manhattan, N_Buckets=2k)_0",3,manhattan,2k,0,0.22598766532622835,0.17770141765136088,2.098953806717487,0.18525249525343865,27.980758576785338,3,0.019878864288330078
"GlobalKMeansAlgorithm(k=3, Distance_Metric=manhattan, N_Buckets=3k)_0",3,manhattan,3k,0,0.21928157416886973,0.1610731050194442,2.1921724768389748,0.17763692094370506,27.310629865570878,3,0.03482866287231445
"GlobalKMeansAlgorithm(k=3, Distance_Metric=manhattan, N_Buckets=4k)_0",3,manhattan,4k,0,0.23805397220336716,0.17366061267286712,2.1770126101476,0.18383229007842877,26.868848570826618,3,0.030054330825805664
"GlobalKMeansAlgorithm(k=3, Distance_Metric=clark, N_Buckets=2k)_0",3,clark,2k,0,0.316587017862774,0.22501066592091995,2.138040532909045,0.19016954608680633,30.274372763274524,2,0.024767637252807617
"GlobalKMeansAlgorithm(k=3, Distance_Metric=clark, N_Buckets=3k)_0",3,clark,3k,0,0.316587017862774,0.22501066592091995,2.138040532909045,0.19016954608680633,30.274372763274524,2,0.030084609985351562
"GlobalKMeansAlgorithm(k=3, Distance_Metric=clark, N_Buckets=4k)_0",3,clark,4k,0,0.2805295688180852,0.2183825822937583,2.1406384542659453,0.18878574253182093,31.234852382239787,2,0.03642463684082031
"GlobalKMeansAlgorithm(k=4, Distance_Metric=euclidean, N_Buckets=2k)_0",4,euclidean,2k,0,0.07912143896005719,0.12662714461891048,2.1314938657526428,0.1448453193518169,24.359543175364287,4,0.02561473846435547
"GlobalKMeansAlgorithm(k=4, Distance_Metric=euclidean, N_Buckets=3k)_0",4,euclidean,3k,0,0.18438154988390063,0.14493052935959388,1.9770131405550109,0.18249863882015746,22.891691626086796,4,0.033416032791137695
"GlobalKMeansAlgorithm(k=4, Distance_Metric=euclidean, N_Buckets=4k)_0",4,euclidean,4k,0,0.1832917064209213,0.16471834378519717,1.9589082653090428,0.18822400719154253,24.068879770263685,4,0.04799342155456543
"GlobalKMeansAlgorithm(k=4, Distance_Metric=manhattan, N_Buckets=2k)_0",4,manhattan,2k,0,0.20645043288701168,0.1520004363248703,1.9437762659621787,0.1833515145208889,23.645412661980803,4,0.03206515312194824
"GlobalKMeansAlgorithm(k=4, Distance_Metric=manhattan, N_Buckets=3k)_0",4,manhattan,3k,0,0.169076696072896,0.15858502845189995,2.064089050679617,0.17404320934131368,22.888263283555606,4,0.0498046875
"GlobalKMeansAlgorithm(k=4, Distance_Metric=manhattan, N_Buckets=4k)_0",4,manhattan,4k,0,0.21424074140380375,0.17983374524546578,1.901882381845763,0.18298665450529314,24.214989908162597,4,0.04564642906188965
"GlobalKMeansAlgorithm(k=4, Distance_Metric=clark, N_Buckets=2k)_0",4,clark,2k,0,0.35941706991406003,0.2505113356085359,2.15582205081276,0.1871159473607097,28.822887878925084,2,0.04998970031738281
"GlobalKMeansAlgorithm(k=4, Distance_Metric=clark, N_Buckets=3k)_0",4,clark,3k,0,0.35941706991406003,0.2505113356085359,2.15582205081276,0.1871159473607097,28.822887878925084,2,0.038350820541381836
"GlobalKMeansAlgorithm(k=4, Distance_Metric=clark, N_Buckets=4k)_0",4,clark,4k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.08668017387390137
"GlobalKMeansAlgorithm(k=5, Distance_Metric=euclidean, N_Buckets=2k)_0",5,euclidean,2k,0,0.09400704444146536,0.11497952997547249,1.9271407603053556,0.18063474093575696,22.811005521036574,5,0.04115796089172363
"GlobalKMeansAlgorithm(k=5, Distance_Metric=euclidean, N_Buckets=3k)_0",5,euclidean,3k,0,0.1894079780250939,0.14876513655580442,1.8840143510071496,0.17928279284138532,20.74944161628533,5,0.0662693977355957
"GlobalKMeansAlgorithm(k=5, Distance_Metric=euclidean, N_Buckets=4k)_0",5,euclidean,4k,0,0.0933132180620082,0.11451891549945983,1.942701683181085,0.16288161683982758,21.205168741280662,5,0.1000518798828125
"GlobalKMeansAlgorithm(k=5, Distance_Metric=manhattan, N_Buckets=2k)_0",5,manhattan,2k,0,0.13072160099085112,0.16264111381332322,2.1381287172606394,0.12700082958938155,20.030282542184363,5,0.05557084083557129
