Algorithm,k,Distance_Metric,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_0",2,euclidean,0,0.16018937629510724,0.18804689976199973,1.9972746532933257,0.19591331439684806,36.77071145608096,2,0.0
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_1",2,euclidean,1,0.1502892999645793,0.1828246116790309,1.9954342609531392,0.1951277729097164,36.7650490993057,2,0.0
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_2",2,euclidean,2,0.18965660555728556,0.1851745122600186,2.0166758850123556,0.1988749879542904,36.2762690363099,2,0.015586614608764648
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_3",2,euclidean,3,0.23165894259680214,0.19160601462692087,2.000285072724243,0.20483563728695584,36.40839980146401,2,0.0
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_4",2,euclidean,4,0.16891865714996884,0.17424995554629644,2.0167662506134705,0.19628799890267354,36.233032249916356,2,0.0
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_5",2,euclidean,5,0.16018937629510724,0.18804689976199973,1.9972746532933257,0.19591331439684806,36.77071145608096,2,0.0
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_6",2,euclidean,6,0.21147192489728206,0.1967582750214251,2.016377469983921,0.20000102746547618,36.170588699969485,2,0.0
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_7",2,euclidean,7,0.23165894259680214,0.1916060146269209,2.000285072724243,0.20483563728695584,36.40839980146401,2,0.0
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_8",2,euclidean,8,0.24341893079173016,0.19796071019694716,1.9937782602053966,0.20580403970145308,36.46362539137124,2,0.0
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_9",2,euclidean,9,0.1502892999645793,0.18282461167903094,1.9954342609531392,0.1951277729097164,36.7650490993057,2,0.0
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_0",2,manhattan,0,0.35487391203318674,0.23587476169931992,2.0024986397386315,0.20655064001308981,32.698772168602716,2,0.0
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_1",2,manhattan,1,0.3261081600300073,0.21850159450510945,1.97281818798241,0.21042870096172145,34.359881841443595,2,0.0
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_2",2,manhattan,2,0.35487391203318674,0.23587476169931992,2.0024986397386315,0.20655064001308981,32.698772168602716,2,0.0
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_3",2,manhattan,3,0.35487391203318674,0.23587476169931992,2.0024986397386315,0.20655064001308981,32.698772168602716,2,0.0
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_4",2,manhattan,4,0.35487391203318674,0.23587476169931992,2.0024986397386315,0.20655064001308981,32.698772168602716,2,0.0
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_5",2,manhattan,5,0.33050329631047415,0.23316064016508606,1.9847573477096412,0.20987647173623292,34.70308162467043,2,0.015604019165039062
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_6",2,manhattan,6,0.3261081600300073,0.21850159450510945,1.97281818798241,0.21042870096172145,34.359881841443595,2,0.0
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_7",2,manhattan,7,0.3261081600300073,0.21850159450510945,1.97281818798241,0.21042870096172145,34.359881841443595,2,0.0
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_8",2,manhattan,8,0.34477712430557905,0.2416530902989546,1.9821923890901056,0.21007314879125022,34.44555262195718,2,0.0
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_9",2,manhattan,9,0.3261081600300073,0.21850159450510945,1.97281818798241,0.21042870096172145,34.359881841443595,2,0.0
"KMeansAlgorithm(k=2, Distance_Metric=clark)_0",2,clark,0,0.27690310787266387,0.2024119205501235,2.1368670366319504,0.1904984720154376,31.02373702144138,2,0.0
"KMeansAlgorithm(k=2, Distance_Metric=clark)_1",2,clark,1,0.2678480085186429,0.2113364612216235,2.1370174378514846,0.18812850913554846,31.46328203457914,2,0.0
"KMeansAlgorithm(k=2, Distance_Metric=clark)_2",2,clark,2,0.2678480085186429,0.2113364612216235,2.1370174378514846,0.18812850913554846,31.46328203457914,2,0.015620946884155273
"KMeansAlgorithm(k=2, Distance_Metric=clark)_3",2,clark,3,0.27690310787266387,0.2024119205501235,2.1368670366319504,0.1904984720154376,31.02373702144138,2,0.0
"KMeansAlgorithm(k=2, Distance_Metric=clark)_4",2,clark,4,0.2678480085186429,0.2113364612216235,2.1370174378514846,0.18812850913554846,31.46328203457914,2,0.0
"KMeansAlgorithm(k=2, Distance_Metric=clark)_5",2,clark,5,0.33050329631047415,0.23316064016508606,2.1671061286125894,0.18635337070159988,29.117643650995554,2,0.0
"KMeansAlgorithm(k=2, Distance_Metric=clark)_6",2,clark,6,0.27690310787266387,0.20241192055012353,2.1368670366319504,0.1904984720154376,31.02373702144138,2,0.015668392181396484
"KMeansAlgorithm(k=2, Distance_Metric=clark)_7",2,clark,7,0.27690310787266387,0.2024119205501235,2.1368670366319504,0.1904984720154376,31.02373702144138,2,0.009532690048217773
"KMeansAlgorithm(k=2, Distance_Metric=clark)_8",2,clark,8,0.27690310787266387,0.20241192055012353,2.1368670366319504,0.1904984720154376,31.02373702144138,2,0.0
"KMeansAlgorithm(k=2, Distance_Metric=clark)_9",2,clark,9,0.24341893079173016,0.19796071019694714,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.015578031539916992
"KMeansAlgorithm(k=3, Distance_Metric=euclidean)_0",3,euclidean,0,0.16109004858778017,0.1269259829493888,2.101760899846454,0.1772894221434075,28.597385278956267,3,0.0
"KMeansAlgorithm(k=3, Distance_Metric=euclidean)_1",3,euclidean,1,0.11085373401524957,0.12067690371695652,2.1717031486391103,0.14120428474655414,25.84546839613056,3,0.0
"KMeansAlgorithm(k=3, Distance_Metric=euclidean)_2",3,euclidean,2,0.12061121274703865,0.10459055720791643,2.224585521318589,0.18070559006626855,27.51413765944092,3,0.0
"KMeansAlgorithm(k=3, Distance_Metric=euclidean)_3",3,euclidean,3,0.009542023337875023,0.14461213314114532,2.1868108525115257,0.12006796250537859,24.712561088788444,3,0.0
"KMeansAlgorithm(k=3, Distance_Metric=euclidean)_4",3,euclidean,4,0.10415153928004887,0.15662749227131406,2.1920710728797985,0.13493525243100973,25.972584649764016,3,0.0
