Algorithm,n_clusters,n_neighbors,assign_labels,eigen_solver,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=lobpcg)_0",2,5,kmeans,lobpcg,0,-0.10753600845321716,0.09515542369967958,1.651582263777254,0.06623442897582459,18.837339735531582,2,0.11857151985168457
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=lobpcg)_1",2,5,kmeans,lobpcg,1,-0.10753600845321716,0.09515542369967958,1.651582263777254,0.06623442897582459,18.837339735531582,2,0.02456045150756836
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=lobpcg)_2",2,5,kmeans,lobpcg,2,-0.10740390095891175,0.08368910207113166,1.5399753899829063,0.0474446617304302,16.706390167371858,2,0.026211023330688477
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=lobpcg)_3",2,5,kmeans,lobpcg,3,-0.10753600845321716,0.09515542369967958,1.651582263777254,0.06623442897582459,18.837339735531582,2,0.027944326400756836
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=lobpcg)_4",2,5,kmeans,lobpcg,4,-0.10740390095891175,0.08368910207113166,1.5399753899829063,0.0474446617304302,16.706390167371858,2,0.027231216430664062
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=lobpcg)_5",2,5,kmeans,lobpcg,5,-0.10740390095891175,0.08368910207113166,1.5399753899829063,0.0474446617304302,16.706390167371858,2,0.023156166076660156
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=lobpcg)_6",2,5,kmeans,lobpcg,6,-0.10753600845321716,0.09515542369967958,1.651582263777254,0.06623442897582459,18.837339735531582,2,0.03228640556335449
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=lobpcg)_7",2,5,kmeans,lobpcg,7,-0.10753600845321716,0.09515542369967958,1.651582263777254,0.06623442897582459,18.837339735531582,2,0.024593353271484375
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=lobpcg)_8",2,5,kmeans,lobpcg,8,-0.10740390095891175,0.08368910207113166,1.5399753899829063,0.0474446617304302,16.706390167371858,2,0.02377152442932129
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=lobpcg)_9",2,5,kmeans,lobpcg,9,-0.10740390095891175,0.08368910207113166,1.5399753899829063,0.0474446617304302,16.706390167371858,2,0.025338411331176758
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=amg)_0",2,5,kmeans,amg,0,-0.10462637188008062,0.07504820067313435,1.4384012844393925,0.035228266129514574,15.138489664270242,2,0.6115717887878418
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=amg)_1",2,5,kmeans,amg,1,-0.10753600845321716,0.09515542369967958,1.651582263777254,0.06623442897582459,18.837339735531582,2,0.025125503540039062
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=amg)_2",2,5,kmeans,amg,2,-0.10462637188008062,0.07504820067313435,1.4384012844393925,0.035228266129514574,15.138489664270242,2,0.023651599884033203
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=amg)_3",2,5,kmeans,amg,3,-0.10462637188008062,0.07504820067313435,1.4384012844393925,0.035228266129514574,15.138489664270242,2,0.022431612014770508
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=amg)_4",2,5,kmeans,amg,4,-0.1058191645497427,0.07793796420254426,1.4913376666132319,0.039487011000376444,15.586279584723266,2,0.021820068359375
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=amg)_5",2,5,kmeans,amg,5,-0.10462637188008062,0.07504820067313435,1.4384012844393925,0.035228266129514574,15.138489664270242,2,0.023782014846801758
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=amg)_6",2,5,kmeans,amg,6,-0.10753600845321716,0.09515542369967958,1.651582263777254,0.06623442897582459,18.837339735531582,2,0.023221731185913086
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=amg)_7",2,5,kmeans,amg,7,-0.10740390095891175,0.08368910207113166,1.5399753899829063,0.0474446617304302,16.706390167371858,2,0.023344755172729492
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=amg)_8",2,5,kmeans,amg,8,-0.10753600845321716,0.09515542369967958,1.651582263777254,0.06623442897582459,18.837339735531582,2,0.022040843963623047
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=amg)_9",2,5,kmeans,amg,9,-0.10462637188008062,0.07504820067313435,1.4384012844393925,0.035228266129514574,15.138489664270242,2,0.022477149963378906
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=arpack)_0",2,5,kmeans,arpack,0,-0.10753600845321716,0.09515542369967958,1.651582263777254,0.06623442897582459,18.837339735531582,2,0.029332637786865234
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=arpack)_1",2,5,kmeans,arpack,1,-0.10740390095891175,0.08368910207113166,1.5399753899829063,0.0474446617304302,16.706390167371858,2,0.012878179550170898
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=arpack)_2",2,5,kmeans,arpack,2,-0.10462637188008062,0.07504820067313435,1.4384012844393925,0.035228266129514574,15.138489664270242,2,0.012827634811401367
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=arpack)_3",2,5,kmeans,arpack,3,-0.10462637188008062,0.07504820067313435,1.4384012844393925,0.035228266129514574,15.138489664270242,2,0.013116121292114258
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=arpack)_4",2,5,kmeans,arpack,4,-0.10740390095891175,0.08368910207113166,1.5399753899829063,0.0474446617304302,16.706390167371858,2,0.012333393096923828
