Comparison,Group 1,Group 2,P-Value,Significant,Interpretation
Friedman Test,-,-,3.805810398037461e-14,True,Significant differences among groups
2_vs_3,2,3,0.9088306367883514,False,No significant difference
2_vs_4,2,4,0.5318797623489864,False,No significant difference
2_vs_5,2,5,0.2739608739638587,False,No significant difference
2_vs_6,2,6,0.2779216601794784,False,No significant difference
2_vs_7,2,7,0.6883535726229343,False,No significant difference
2_vs_8,2,8,0.6855127441960189,False,No significant difference
2_vs_9,2,9,0.9826565481697653,False,No significant difference
2_vs_10,2,10,0.9785145204893752,False,No significant difference
2_vs_11,2,11,0.991602611086168,False,No significant difference
2_vs_12,2,12,0.9978125667510239,False,No significant difference
2_vs_13,2,13,0.9985026167853063,False,No significant difference
2_vs_14,2,14,0.9939523258328599,False,No significant difference
2_vs_15,2,15,0.9999999957304695,False,No significant difference
2_vs_16,2,16,0.9999964105581531,False,No significant difference
2_vs_17,2,17,0.9999999777150825,False,No significant difference
2_vs_18,2,18,0.9999999999998263,False,No significant difference
2_vs_19,2,19,1.0,False,No significant difference
2_vs_20,2,20,1.0,False,No significant difference
3_vs_4,3,4,0.9999999998114385,False,No significant difference
3_vs_5,3,5,0.9999995774103725,False,No significant difference
3_vs_6,3,6,0.9999996201796598,False,No significant difference
3_vs_7,3,7,0.9999999999998624,False,No significant difference
3_vs_8,3,8,0.9999999999998366,False,No significant difference
3_vs_9,3,9,0.9999999999999889,False,No significant difference
3_vs_10,3,10,0.9999999999999986,False,No significant difference
3_vs_11,3,11,0.9999999999979732,False,No significant difference
3_vs_12,3,12,0.9999999992502931,False,No significant difference
3_vs_13,3,13,0.9999999975241554,False,No significant difference
3_vs_14,3,14,0.9999999999881342,False,No significant difference
3_vs_15,3,15,0.9987608595647034,False,No significant difference
3_vs_16,3,16,0.9999695577080909,False,No significant difference
3_vs_17,3,17,0.9993519085941585,False,No significant difference
3_vs_18,3,18,0.9877121617518774,False,No significant difference
3_vs_19,3,19,0.9355606098333784,False,No significant difference
3_vs_20,3,20,0.8039633661470131,False,No significant difference
4_vs_5,4,5,0.9999999999999886,False,No significant difference
4_vs_6,4,6,0.9999999999999917,False,No significant difference
4_vs_7,4,7,1.0,False,No significant difference
4_vs_8,4,8,1.0,False,No significant difference
4_vs_9,4,9,0.9999995814755603,False,No significant difference
4_vs_10,4,10,0.9999997866100118,False,No significant difference
4_vs_11,4,11,0.9999971784875165,False,No significant difference
4_vs_12,4,12,0.9999644929293426,False,No significant difference
4_vs_13,4,13,0.9999380543816789,False,No significant difference
4_vs_14,4,14,0.999994222005584,False,No significant difference
4_vs_15,4,15,0.9448141151634029,False,No significant difference
4_vs_16,4,16,0.9924497525834425,False,No significant difference
4_vs_17,4,17,0.9609302736487118,False,No significant difference
4_vs_18,4,18,0.8185801863959146,False,No significant difference
4_vs_19,4,19,0.5985362879108858,False,No significant difference
4_vs_20,4,20,0.3588978199042337,False,No significant difference
5_vs_6,5,6,1.0,False,No significant difference
