Comparison,Group 1,Group 2,P-Value,Significant,Interpretation
Friedman Test,-,-,1.7888902051052675e-96,True,Significant differences among groups
2_vs_3,2,3,1.0,False,No significant difference
2_vs_4,2,4,0.9999999999999706,False,No significant difference
2_vs_5,2,5,0.9999999999763292,False,No significant difference
2_vs_6,2,6,0.9999999988308775,False,No significant difference
2_vs_7,2,7,0.9999999465494098,False,No significant difference
2_vs_8,2,8,0.9999956163877161,False,No significant difference
2_vs_9,2,9,0.9999865478974794,False,No significant difference
2_vs_10,2,10,0.999897377952959,False,No significant difference
2_vs_11,2,11,0.9990623553935477,False,No significant difference
2_vs_12,2,12,0.9977688304765885,False,No significant difference
2_vs_13,2,13,0.9927651100233121,False,No significant difference
2_vs_14,2,14,0.9710940356115249,False,No significant difference
2_vs_15,2,15,0.9610366521519492,False,No significant difference
2_vs_16,2,16,0.9100213813250929,False,No significant difference
2_vs_17,2,17,0.7914097558867488,False,No significant difference
2_vs_18,2,18,0.7585735018605231,False,No significant difference
2_vs_19,2,19,0.6634963185836378,False,No significant difference
2_vs_20,2,20,0.5638097465728651,False,No significant difference
3_vs_4,3,4,1.0,False,No significant difference
3_vs_5,3,5,0.9999999999999861,False,No significant difference
3_vs_6,3,6,0.9999999999956408,False,No significant difference
3_vs_7,3,7,0.9999999992105731,False,No significant difference
3_vs_8,3,8,0.9999997766556797,False,No significant difference
3_vs_9,3,9,0.999999099516289,False,No significant difference
3_vs_10,3,10,0.999989081050002,False,No significant difference
3_vs_11,3,11,0.9998401284155423,False,No significant difference
3_vs_12,3,12,0.999544859416016,False,No significant difference
3_vs_13,3,13,0.9981195814671103,False,No significant difference
3_vs_14,3,14,0.9899544247258204,False,No significant difference
3_vs_15,3,15,0.9855561093444289,False,No significant difference
3_vs_16,3,16,0.9597456171375484,False,No significant difference
3_vs_17,3,17,0.8852644989703179,False,No significant difference
3_vs_18,3,18,0.8619335907451626,False,No significant difference
3_vs_19,3,19,0.7887127557140835,False,No significant difference
3_vs_20,3,20,0.7034032842152776,False,No significant difference
4_vs_5,4,5,1.0,False,No significant difference
4_vs_6,4,6,0.999999999999999,False,No significant difference
4_vs_7,4,7,0.9999999999973368,False,No significant difference
4_vs_8,4,8,0.9999999946978306,False,No significant difference
4_vs_9,4,9,0.9999999685102945,False,No significant difference
4_vs_10,4,10,0.9999992848714341,False,No significant difference
4_vs_11,4,11,0.9999808543166214,False,No significant difference
4_vs_12,4,12,0.9999319983810286,False,No significant difference
4_vs_13,4,13,0.9996236352141568,False,No significant difference
4_vs_14,4,14,0.9971694950484203,False,No significant difference
