Comparison,Group 1,Group 2,P-Value,Significant,Interpretation
Friedman Test,-,-,5.228422748095187e-63,True,Significant differences among groups
2_vs_3,2,3,0.9999999994377667,False,No significant difference
2_vs_4,2,4,0.99818601631694,False,No significant difference
2_vs_5,2,5,0.8972442701045722,False,No significant difference
2_vs_6,2,6,0.9885443587438196,False,No significant difference
2_vs_7,2,7,0.41543931802677003,False,No significant difference
2_vs_8,2,8,0.09439925396786207,False,No significant difference
2_vs_9,2,9,0.00037105317451503864,True,Significant difference
2_vs_10,2,10,0.0004957258552703892,True,Significant difference
2_vs_11,2,11,0.011110973670754079,False,No significant difference
2_vs_12,2,12,4.79824395614306e-08,True,Significant difference
2_vs_13,2,13,1.119099890481544e-05,True,Significant difference
2_vs_14,2,14,3.998125111873323e-09,True,Significant difference
2_vs_15,2,15,1.1278499366905844e-06,True,Significant difference
2_vs_16,2,16,6.8691950154162415e-09,True,Significant difference
2_vs_17,2,17,3.143003320758737e-13,True,Significant difference
2_vs_18,2,18,4.530623789030287e-10,True,Significant difference
2_vs_19,2,19,1.3385833690193348e-12,True,Significant difference
2_vs_20,2,20,4.85965966451973e-13,True,Significant difference
3_vs_4,3,4,0.9999988724338154,False,No significant difference
3_vs_5,3,5,0.9969768511673854,False,No significant difference
3_vs_6,3,6,0.9999582842631258,False,No significant difference
3_vs_7,3,7,0.8640935946671262,False,No significant difference
3_vs_8,3,8,0.46698532197988174,False,No significant difference
3_vs_9,3,9,0.012517805172976,False,No significant difference
3_vs_10,3,10,0.015491256831170908,False,No significant difference
3_vs_11,3,11,0.13383580014583515,False,No significant difference
3_vs_12,3,12,1.0261043874812246e-05,True,Significant difference
3_vs_13,3,13,0.0008575356884063342,True,Significant difference
3_vs_14,3,14,1.2802086123222236e-06,True,Significant difference
3_vs_15,3,15,0.00013696725558679917,True,Significant difference
3_vs_16,3,16,2.0197600781289937e-06,True,Significant difference
3_vs_17,3,17,3.737548028959444e-10,True,Significant difference
3_vs_18,3,18,2.0178225704067646e-07,True,Significant difference
3_vs_19,3,19,1.325089906895272e-09,True,Significant difference
3_vs_20,3,20,5.471884183647708e-10,True,Significant difference
4_vs_5,4,5,0.9999999970158671,False,No significant difference
4_vs_6,4,6,0.9999999999999999,False,No significant difference
4_vs_7,4,7,0.9997610815209073,False,No significant difference
4_vs_8,4,8,0.980300241515978,False,No significant difference
4_vs_9,4,9,0.36033664215573125,False,No significant difference
4_vs_10,4,10,0.39480809830364516,False,No significant difference
4_vs_11,4,11,0.8130062267281096,False,No significant difference
4_vs_12,4,12,0.006053753978691003,False,No significant difference
4_vs_13,4,13,0.0934387298944099,False,No significant difference
4_vs_14,4,14,0.0014670179351273366,False,No significant difference
4_vs_15,4,15,0.03182128374794654,False,No significant difference
4_vs_16,4,16,0.002011894925247097,False,No significant difference
4_vs_17,4,17,3.660809883419941e-06,True,Significant difference
4_vs_18,4,18,0.0003973789994538661,True,Significant difference
4_vs_19,4,19,9.627962296466467e-06,True,Significant difference
4_vs_20,4,20,4.903781616211364e-06,True,Significant difference
5_vs_6,5,6,0.9999999999989819,False,No significant difference
5_vs_7,5,7,0.9999999959923529,False,No significant difference
5_vs_8,5,8,0.9999429148176473,False,No significant difference
5_vs_9,5,9,0.8602814115718824,False,No significant difference
5_vs_10,5,10,0.8811960448963275,False,No significant difference
5_vs_11,5,11,0.9933106641541758,False,No significant difference
5_vs_12,5,12,0.11140102742279148,False,No significant difference
5_vs_13,5,13,0.5163656691254837,False,No significant difference
5_vs_14,5,14,0.043917962459000974,False,No significant difference
5_vs_15,5,15,0.2985463375271604,False,No significant difference
5_vs_16,5,16,0.054338190052652904,False,No significant difference
5_vs_17,5,17,0.0005311326547586963,True,Significant difference
5_vs_18,5,18,0.0177195127161482,False,No significant difference
5_vs_19,5,19,0.0011218903058522608,False,No significant difference
5_vs_20,5,20,0.0006665563412867919,True,Significant difference
6_vs_7,6,7,0.9999885045364492,False,No significant difference
6_vs_8,6,8,0.9963154315460507,False,No significant difference
6_vs_9,6,9,0.5623097421235621,False,No significant difference
6_vs_10,6,10,0.5988080625035982,False,No significant difference
6_vs_11,6,11,0.9261273872161266,False,No significant difference
6_vs_12,6,12,0.020569684786983494,False,No significant difference
6_vs_13,6,13,0.20323890003403028,False,No significant difference
6_vs_14,6,14,0.005952115552573223,False,No significant difference
6_vs_15,6,15,0.08440028948665934,False,No significant difference
6_vs_16,6,16,0.007862728297982326,False,No significant difference
6_vs_17,6,17,2.6338869596825166e-05,True,Significant difference
6_vs_18,6,18,0.0018634596850606942,False,No significant difference
6_vs_19,6,19,6.397502119100446e-05,True,Significant difference
6_vs_20,6,20,3.4456829277669405e-05,True,Significant difference
7_vs_8,7,8,0.9999999999150565,False,No significant difference
