Comparison,Group 1,Group 2,P-Value,Significant,Interpretation
Friedman Test,-,-,2.5627550700631357e-75,True,Significant differences among groups
2_vs_3,2,3,0.9999999999524293,False,No significant difference
2_vs_4,2,4,0.9999986072526182,False,No significant difference
2_vs_5,2,5,0.9892610546586517,False,No significant difference
2_vs_6,2,6,0.888041426333665,False,No significant difference
2_vs_7,2,7,0.8071963625274868,False,No significant difference
2_vs_8,2,8,1.5748920039568848e-11,True,Significant difference
2_vs_9,2,9,1.1740194949138389e-08,True,Significant difference
2_vs_10,2,10,0.005072653971716394,False,No significant difference
2_vs_11,2,11,6.073237398266241e-08,True,Significant difference
2_vs_12,2,12,0.0005256185373365183,True,Significant difference
2_vs_13,2,13,5.886029167754083e-07,True,Significant difference
2_vs_14,2,14,2.2108869763963653e-05,True,Significant difference
2_vs_15,2,15,3.1487392218779216e-05,True,Significant difference
2_vs_16,2,16,1.477263643312313e-06,True,Significant difference
2_vs_17,2,17,2.264438843812005e-08,True,Significant difference
2_vs_18,2,18,4.301235517261864e-09,True,Significant difference
2_vs_19,2,19,1.1802591544323937e-08,True,Significant difference
2_vs_20,2,20,8.132772139234701e-12,True,Significant difference
3_vs_4,3,4,0.9999999999979732,False,No significant difference
3_vs_5,3,5,0.999901415547633,False,No significant difference
3_vs_6,3,6,0.9934496790960741,False,No significant difference
3_vs_7,3,7,0.9818620148383692,False,No significant difference
3_vs_8,3,8,4.980163103376997e-09,True,Significant difference
3_vs_9,3,9,1.5965140665645507e-06,True,Significant difference
3_vs_10,3,10,0.058992396929481945,False,No significant difference
3_vs_11,3,11,6.5231352570340725e-06,True,Significant difference
3_vs_12,3,12,0.010915957663448708,False,No significant difference
3_vs_13,3,13,4.458338695721492e-05,True,Significant difference
3_vs_14,3,14,0.0008907866218073503,False,No significant difference
3_vs_15,3,15,0.0011854941041547725,False,No significant difference
3_vs_16,3,16,9.625599413251049e-05,True,Significant difference
3_vs_17,3,17,2.806495218160628e-06,True,Significant difference
3_vs_18,3,18,6.716037940819217e-07,True,Significant difference
3_vs_19,3,19,1.6038103840787332e-06,True,Significant difference
3_vs_20,3,20,2.7774232856779313e-09,True,Significant difference
4_vs_5,4,5,0.9999998842626551,False,No significant difference
4_vs_6,4,6,0.9998829382017396,False,No significant difference
4_vs_7,4,7,0.9993967220777603,False,No significant difference
4_vs_8,4,8,3.502423023182928e-07,True,Significant difference
