Comparison,Group 1,Group 2,P-Value,Significant,Interpretation
Friedman Test,-,-,8.96050475295207e-10,True,Significant differences among groups
2_vs_3,2,3,0.999999998510278,False,No significant difference
2_vs_4,2,4,1.0,False,No significant difference
2_vs_5,2,5,0.9999999999999896,False,No significant difference
2_vs_6,2,6,1.0,False,No significant difference
2_vs_7,2,7,0.9999999999989275,False,No significant difference
2_vs_8,2,8,0.9999999999999813,False,No significant difference
2_vs_9,2,9,1.0,False,No significant difference
2_vs_10,2,10,0.9999998348093873,False,No significant difference
2_vs_11,2,11,1.0,False,No significant difference
2_vs_12,2,12,0.9999999999708298,False,No significant difference
2_vs_13,2,13,0.9999999999981968,False,No significant difference
2_vs_14,2,14,0.9999999999996435,False,No significant difference
2_vs_15,2,15,0.9757269182694348,False,No significant difference
2_vs_16,2,16,0.9593079743611412,False,No significant difference
2_vs_17,2,17,0.9999961671427005,False,No significant difference
2_vs_18,2,18,0.9991288983691516,False,No significant difference
2_vs_19,2,19,0.7917454445062345,False,No significant difference
2_vs_20,2,20,0.9988840045615575,False,No significant difference
3_vs_4,3,4,0.999999999979563,False,No significant difference
3_vs_5,3,5,0.9999999999999943,False,No significant difference
3_vs_6,3,6,0.9999999664430895,False,No significant difference
3_vs_7,3,7,1.0,False,No significant difference
3_vs_8,3,8,0.999999999999997,False,No significant difference
3_vs_9,3,9,0.9999999196406256,False,No significant difference
3_vs_10,3,10,0.999025059534112,False,No significant difference
3_vs_11,3,11,0.9999999971041805,False,No significant difference
3_vs_12,3,12,0.9999768839541108,False,No significant difference
3_vs_13,3,13,0.9999918846584177,False,No significant difference
3_vs_14,3,14,0.999995417185864,False,No significant difference
3_vs_15,3,15,0.692999481439913,False,No significant difference
3_vs_16,3,16,0.6172109625283608,False,No significant difference
3_vs_17,3,17,0.9955782524939022,False,No significant difference
3_vs_18,3,18,0.9354050644691109,False,No significant difference
3_vs_19,3,19,0.2910931852002607,False,No significant difference
3_vs_20,3,20,0.9271015336880014,False,No significant difference
4_vs_5,4,5,1.0,False,No significant difference
4_vs_6,4,6,0.9999999999999997,False,No significant difference
4_vs_7,4,7,0.9999999999999991,False,No significant difference
4_vs_8,4,8,1.0,False,No significant difference
4_vs_9,4,9,0.9999999999999957,False,No significant difference
4_vs_10,4,10,0.9999979735879256,False,No significant difference
4_vs_11,4,11,1.0,False,No significant difference
4_vs_12,4,12,0.9999999980417846,False,No significant difference
4_vs_13,4,13,0.9999999997622423,False,No significant difference
4_vs_14,4,14,0.9999999999279414,False,No significant difference
4_vs_15,4,15,0.9491146540714402,False,No significant difference
4_vs_16,4,16,0.9211530377873874,False,No significant difference
4_vs_17,4,17,0.9999715895190053,False,No significant difference
4_vs_18,4,18,0.9970591860080723,False,No significant difference
4_vs_19,4,19,0.692999481439913,False,No significant difference
4_vs_20,4,20,0.9963611659115863,False,No significant difference
5_vs_6,5,6,0.9999999999962188,False,No significant difference
5_vs_7,5,7,1.0,False,No significant difference
5_vs_8,5,8,1.0,False,No significant difference
5_vs_9,5,9,0.9999999999827033,False,No significant difference
5_vs_10,5,10,0.9999695577080909,False,No significant difference
5_vs_11,5,11,0.9999999999999605,False,No significant difference
5_vs_12,5,12,0.9999998637321188,False,No significant difference
5_vs_13,5,13,0.9999999716386145,False,No significant difference
5_vs_14,5,14,0.9999999881268367,False,No significant difference
5_vs_15,5,15,0.885962788644491,False,No significant difference
5_vs_16,5,16,0.8387033044268539,False,No significant difference
5_vs_17,5,17,0.999743512780119,False,No significant difference
5_vs_18,5,18,0.988646495514351,False,No significant difference
5_vs_19,5,19,0.5420954354379544,False,No significant difference
5_vs_20,5,20,0.9864895393163415,False,No significant difference
6_vs_7,6,7,0.9999999998873756,False,No significant difference
6_vs_8,6,8,0.9999999999942841,False,No significant difference
6_vs_9,6,9,1.0,False,No significant difference
6_vs_10,6,10,0.9999999896431075,False,No significant difference
6_vs_11,6,11,1.0,False,No significant difference
6_vs_12,6,12,0.999999999999824,False,No significant difference
6_vs_13,6,13,0.9999999999999963,False,No significant difference
6_vs_14,6,14,0.9999999999999997,False,No significant difference
6_vs_15,6,15,0.9889956429412274,False,No significant difference
6_vs_16,6,16,0.9799965531950834,False,No significant difference
6_vs_17,6,17,0.999999560780631,False,No significant difference
6_vs_18,6,18,0.9997603219161718,False,No significant difference
6_vs_19,6,19,0.8645493655034695,False,No significant difference
6_vs_20,6,20,0.9996813296009281,False,No significant difference
7_vs_8,7,8,1.0,False,No significant difference
7_vs_9,7,9,0.9999999996079613,False,No significant difference
7_vs_10,7,10,0.9998986355780886,False,No significant difference
7_vs_11,7,11,0.9999999999970146,False,No significant difference
7_vs_12,7,12,0.9999991670155243,False,No significant difference
