,UMAP1,UMAP2,Class
0,-14.264427,6.9353437,1
1,4.8040137,3.9000185,0
2,16.274979,11.003178,0
3,-7.77254,-0.99592113,1
4,-2.6258032,12.694528,0
5,4.744535,3.935924,0
6,15.699741,-2.6181612,0
7,16.265362,11.012811,0
8,14.996653,4.5463524,1
9,15.697669,-2.6147501,0
10,2.8233826,2.7351382,0
11,7.877411,-7.337207,0
12,2.7054594,4.5872073,0
13,-7.779649,-1.0042818,1
14,-3.4395387,13.33302,0
15,13.724667,-4.1109614,0
16,-18.008184,8.703067,0
17,12.5563345,-5.4554095,1
18,-7.776699,-0.9992717,1
19,-14.260639,6.9389143,1
20,-8.252331,-14.599823,0
21,12.555848,-5.4546876,1
22,16.272017,11.005791,0
23,4.872379,2.8385408,0
24,-11.733061,0.4581715,0
25,18.772165,-3.1637683,1
26,7.8312674,-7.374766,0
27,4.023426,5.2973304,0
28,0.93372494,-3.825441,0
29,1.3150567,6.283109,0
30,-11.734549,0.45558742,0
31,-7.7816496,-1.0037887,1
32,-8.383826,2.7635508,0
33,13.193416,7.89419,0
34,16.276115,11.001027,0
35,1.610367,5.241991,0
36,13.705138,-4.097493,0
37,7.3025894,-11.763401,1
38,1.248599,6.196269,0
39,16.263706,11.014477,0
40,-16.855555,-3.075133,0
41,3.7829058,4.288942,0
42,-9.266435,-0.69987166,0
43,14.996338,4.54556,1
44,4.366263,4.82263,0
45,4.775283,3.909491,0
46,-8.421023,2.7369998,0
47,4.052985,5.341969,0
48,3.758982,4.314314,0
49,3.7278516,4.7532687,0
50,12.975076,7.6695237,0
51,3.1223593,3.414569,0
52,16.280628,10.998186,0
53,-14.260924,6.938591,1
54,-7.7760224,-0.99871874,1
55,4.864018,2.847248,0
56,-8.205874,9.395582,0
57,2.697964,4.5865865,0
58,3.189687,3.5165648,0
59,13.194221,7.883631,0
60,13.707603,-4.09902,0
61,-8.277643,-14.622881,0
62,-11.73439,0.45505258,0
63,-11.736233,0.45585996,0
64,5.3268657,13.2637005,0
65,-7.72592,9.11411,0
66,3.2059753,3.5459704,0
67,3.5563672,4.668576,0
68,3.1978934,4.8905826,0
69,-9.395876,4.5049257,0
70,1.3585147,5.805872,0
71,-11.73505,0.45569158,0
72,1.5543039,5.4575014,0
73,13.203105,7.891241,0
74,-16.804472,-3.0233715,0
75,1.4258702,5.817864,0
76,1.1253613,5.652492,0
77,13.166432,7.8744044,0
78,7.3006735,-11.7645645,1
79,13.1521015,7.8440676,0
80,-4.917902,7.4362917,0
81,10.109622,-9.56662,1
82,0.9671106,-3.856301,0
83,-4.542873,7.9860444,0
84,2.6939483,5.168331,0
85,-4.316795,7.5891447,0
86,2.7000968,4.584991,0
87,3.2031596,3.5584154,0
88,12.971534,7.668726,0
89,13.716023,-4.106449,0
90,13.727527,-4.1102614,0
91,5.323203,13.272684,0
92,-10.018454,16.859938,0
93,7.2778573,9.762098,0
94,-2.6371708,12.68768,0
95,-10.018701,16.859428,0
96,13.092985,7.7922897,0
97,4.805644,3.8967655,0
98,7.656468,12.605586,0
99,-10.0186205,16.858456,0
100,-4.6618257,7.2650237,0
101,5.3223076,13.277305,0
102,3.55227,4.721127,0
103,3.9964352,4.2887087,0
104,12.198285,-7.495138,0
105,7.836237,-7.3553343,0
106,3.4661486,4.7616053,0
107,16.275772,11.001926,0
108,15.701927,-2.6209729,0
109,7.8122067,-7.409378,0
110,2.4823549,5.2943664,0
111,-9.271344,-0.701822,0
112,1.3043501,5.35504,0
113,7.815743,-7.403645,0
114,-7.778807,-1.0015919,1
115,3.601587,4.0440106,0
116,-9.401891,4.526593,0
117,3.3636713,4.798093,0
118,1.1515279,5.6150618,0
119,13.720601,-4.109578,0
120,-10.083104,-5.540304,1
121,-11.312745,-4.244206,0
122,1.6340594,9.689278,1
123,-7.735676,9.109397,0
124,7.2300167,9.7145815,0
125,-13.501227,-2.148455,0
126,2.7241223,4.5750256,0
127,-8.247937,9.368688,0
128,3.1811218,3.5148263,0
129,16.272528,11.005793,0
130,2.597519,5.8965416,0
131,4.141511,6.2080107,0
132,1.3584167,5.4282794,0
133,7.241967,9.726001,0
134,1.3336836,5.8274417,0
135,9.763348,16.512415,1
