,Unnamed: 0,bruises?,gill-spacing,gill-size,stalk-shape,ring-number,population,cap-shape,cap-surface,cap-color,odor,gill-attachment,gill-color,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-type,spore-print-color,habitat,class
0,0,0.0,0.0,0.0,0.0,1.0,4.0,0.4871506249729062,0.5355992819374243,0.6251208387526671,1.0,0.4927602681065572,0.7226770329084318,0.5783136779327702,0.9407970646774356,0.9380831324958252,1.0,0.6908786685666678,0.4820793433652531,0.493543155115934,1.0,0.9680732114244378,0.3419539402505949,1
1,1,1.0,0.0,0.0,1.0,1.0,3.0,0.4871506249729062,0.5542119967669151,0.7110416846857275,1.0,0.4927602681065572,0.4245771483949337,0.5783136779327702,0.2971331233370886,0.2412615910174152,0.3815107386773662,0.3818468532328206,0.4820793433652531,0.493543155115934,0.2038742817369314,0.9680732114244378,0.3419539402505949,1
2,2,1.0,0.0,0.0,0.0,2.0,5.0,0.472802341517152,0.5355992819374243,0.4458699342452397,0.0328463153516873,0.4927602681065572,0.2020476155972988,0.5783136779327702,0.2971331233370886,0.3117565756387059,0.3815107386773662,0.3818468532328206,0.4820793433652531,0.493543155115934,0.2038742817369314,0.7620978725520103,0.8766660058993969,0
3,3,1.0,0.0,0.0,1.0,1.0,5.0,0.472802341517152,0.5355992819374243,0.5862085853176253,0.0328463153516873,0.4927602681065572,0.1061958822706458,0.5783136779327702,0.2971331233370886,0.3117565756387059,0.0,0.0,0.4820793433652531,0.493543155115934,0.2038742817369314,0.1153367456319787,0.4051560960273926,0
4,4,0.0,1.0,1.0,0.0,1.0,3.0,0.472802341517152,0.5542119967669151,0.4458699342452397,1.0,0.4927602681065572,0.4245771483949337,0.5783136779327702,0.2971331233370886,0.3117565756387059,0.3815107386773662,0.3818468532328206,0.4820793433652531,0.493543155115934,0.2038742817369314,0.1153367456319787,0.4051560960273926,1
7,7,1.0,0.0,0.0,1.0,1.0,4.0,0.472802341517152,0.3253560642540408,0.5862085853176253,0.0328463153516873,0.4927602681065572,0.1061958822706458,0.5783136779327702,0.2971331233370886,0.3117565756387059,0.3815107386773662,0.0,0.4820793433652531,0.493543155115934,0.2038742817369314,0.1143709005148273,0.4051560960273926,0
8,8,1.0,0.0,0.0,1.0,1.0,4.0,0.4871506249729062,0.3253560642540408,0.5862085853176253,0.0328463153516873,0.4927602681065572,0.4245771483949337,0.5783136779327702,0.2971331233370886,0.3117565756387059,0.0,0.3818468532328206,0.4820793433652531,0.493543155115934,0.2038742817369314,0.1143709005148273,0.4051560960273926,0
9,9,0.0,0.0,1.0,1.0,1.0,4.0,0.7284639928328595,0.5355992819374243,0.4456008261606551,1.0,0.4927602681065572,1.0,0.5783136779327702,0.2971331233370886,0.3117565756387059,0.6974707666132893,0.3818468532328206,0.4820793433652531,0.493543155115934,0.6378666194809289,0.7620978725520103,0.8766660058993969,1
10,10,0.0,0.0,1.0,1.0,1.0,4.0,0.4871506249729062,0.5542119967669151,0.5862085853176253,1.0,0.4927602681065572,1.0,0.5783136779327702,0.2971331233370886,0.3117565756387059,0.6974707666132893,0.6908786685666678,0.4820793433652531,0.493543155115934,0.6378666194809289,0.7620978725520103,0.4051560960273926,1
11,11,0.0,0.0,1.0,1.0,1.0,4.0,0.4871506249729062,0.5355992819374243,0.5862085853176253,1.0,0.4927602681065572,1.0,0.5783136779327702,0.9407970646774356,0.3117565756387059,0.6974707666132893,0.3818468532328206,0.4820793433652531,0.493543155115934,0.6378666194809289,0.7620978725520103,0.4051560960273926,1
12,12,1.0,0.0,0.0,1.0,1.0,4.0,0.4871506249729062,0.3253560642540408,0.4456008261606551,0.0328463153516873,0.4927602681065572,0.4245771483949337,0.5783136779327702,0.2971331233370886,0.3117565756387059,0.3815107386773662,0.0,0.4820793433652531,0.493543155115934,0.2038742817369314,0.1153367456319787,0.4051560960273926,0
13,13,1.0,0.0,0.0,1.0,1.0,4.0,0.472802341517152,0.3253560642540408,0.4456008261606551,0.0328463153516873,0.4927602681065572,0.4245771483949337,0.5783136779327702,0.2971331233370886,0.3117565756387059,0.6974707666132893,0.6908786685666678,0.4820793433652531,0.493543155115934,0.2038742817369314,0.1153367456319787,0.4051560960273926,0
14,14,1.0,0.0,0.0,0.0,1.0,2.0,0.0991242423736693,0.5542119967669151,0.3037696332925005,0.0,0.4927602681065572,0.2020476155972988,0.0845842238502153,0.2971331233370886,0.3117565756387059,0.3815107386773662,0.3818468532328206,0.4820793433652531,0.493543155115934,0.2038742817369314,0.1153367456319787,0.1139602777329879,0
15,15,0.0,1.0,0.0,1.0,1.0,3.0,0.4871506249729062,0.5542119967669151,0.3037696332925005,0.0328463153516873,0.4927602681065572,0.1509934668070409,0.2248304817061686,0.2971331233370886,0.3117565756387059,0.3815107386773662,0.3818468532328206,0.4820793433652531,0.493543155115934,0.6378666194809289,0.1143709005148273,0.3419539402505949,0
16,16,0.0,0.0,1.0,1.0,1.0,4.0,0.472802341517152,0.5542119967669151,0.5862085853176253,1.0,0.4927602681065572,1.0,0.5783136779327702,0.9407970646774356,0.3117565756387059,0.3815107386773662,0.3818468532328206,0.4820793433652531,0.493543155115934,0.6378666194809289,0.7620978725520103,0.8766660058993969,1
17,17,0.0,0.0,1.0,1.0,1.0,4.0,0.7284639928328595,0.5355992819374243,0.4456008261606551,1.0,0.4927602681065572,1.0,0.5783136779327702,0.2971331233370886,0.9380831324958252,0.6974707666132893,0.6908786685666678,0.4820793433652531,0.493543155115934,0.6378666194809289,0.7620978725520103,0.8766660058993969,1
18,18,1.0,0.0,0.0,1.0,1.0,4.0,0.4871506249729062,0.5355992819374243,0.5862085853176253,0.0328463153516873,0.4927602681065572,0.1061958822706458,0.5783136779327702,0.2971331233370886,0.3117565756387059,0.0,0.0,0.4820793433652531,0.493543155115934,0.2038742817369314,0.1153367456319787,0.4051560960273926,0
19,19,1.0,0.0,0.0,1.0,1.0,4.0,0.472802341517152,0.3253560642540408,0.5862085853176253,0.0328463153516873,0.4927602681065572,0.1061958822706458,0.5783136779327702,0.2971331233370886,0.3117565756387059,0.3815107386773662,0.0,0.4820793433652531,0.493543155115934,0.2038742817369314,0.1153367456319787,0.4051560960273926,0
20,20,0.0,0.0,1.0,0.0,1.0,4.0,0.4871506249729062,0.3253560642540408,0.4456008261606551,0.0328463153516873,0.4927602681065572,0.1509934668070409,0.2248304817061686,0.2971331233370886,0.3117565756387059,0.3815107386773662,0.3818468532328206,0.4820793433652531,0.493543155115934,0.2038742817369314,0.1153367456319787,0.7501510805387347,0
21,21,0.0,0.0,0.0,0.0,1.0,4.0,0.4871506249729062,0.5355992819374243,0.6251208387526671,1.0,0.4927602681065572,0.6749332389153734,0.5783136779327702,0.9407970646774356,0.9380831324958252,0.9601166344791,0.6908786685666678,0.4820793433652531,0.493543155115934,1.0,0.9680732114244378,0.4051560960273926,1
