,Unnamed: 0,bruises?,gill-spacing,gill-size,stalk-shape,ring-number,population,cap-shape,cap-surface,cap-color,odor,gill-attachment,gill-color,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-type,spore-print-color,habitat,class
532,532,0.0,0.0,0.0,0.0,1.0,5.0,0.4639981815245594,0.3278321201640489,0.4373389913178289,1.0,0.4931144925071919,0.4321895567521608,0.5775834100116769,0.9380365554749076,0.93732802166512,1.0,0.8687891143790525,0.4820842450765864,0.4936124152831859,1.0,0.9692015286130996,0.4008806364320749,1
2555,2555,1.0,0.0,0.0,0.0,1.0,3.0,0.4639981815245594,0.5391048795734226,0.3135243442467419,0.0,0.4931144925071919,0.6698866689894878,0.0793458580956325,0.2986590532617538,0.312335740167062,0.3829914801529547,0.3841343775663816,0.4820842450765864,0.4936124152831859,0.2063375882702977,0.1223342884253584,0.1143077111751379,0
2053,2053,0.0,0.0,0.0,0.0,1.0,4.0,0.499641697178055,0.3278321201640489,0.4373389913178289,1.0,0.4931144925071919,0.4321895567521608,0.5775834100116769,0.9380365554749076,0.93732802166512,0.6919745007311616,1.0,0.4820842450765864,0.4936124152831859,1.0,0.9692015286130996,0.4008806364320749,1
149,149,1.0,0.0,0.0,0.0,1.0,3.0,0.4639981815245594,0.5495167216842186,0.3135243442467419,0.0,0.4931144925071919,0.6698866689894878,0.0793458580956325,0.2986590532617538,0.312335740167062,0.3829914801529547,0.3841343775663816,0.4820842450765864,0.4936124152831859,0.2063375882702977,0.1223342884253584,0.3410103585728272,0
2611,2611,0.0,0.0,0.0,0.0,1.0,4.0,0.499641697178055,0.5391048795734226,0.4373389913178289,1.0,0.4931144925071919,0.4321895567521608,0.5775834100116769,0.9380365554749076,0.93732802166512,1.0,0.8687891143790525,0.4820842450765864,0.4936124152831859,1.0,0.9692015286130996,0.4008806364320749,1
380,380,0.0,0.0,0.0,0.0,1.0,4.0,0.4639981815245594,0.5495167216842186,0.443106264013247,0.0330577268145819,0.0779148664697628,0.1074853871632934,0.5775834100116769,0.2986590532617538,0.312335740167062,0.0,0.0,0.4820842450765864,0.0,0.2063375882702977,0.0,0.70825218137788,0
2304,2304,0.0,0.0,1.0,1.0,1.0,4.0,0.499641697178055,0.5495167216842186,0.443106264013247,1.0,0.4931144925071919,1.0,0.5775834100116769,0.9380365554749076,0.93732802166512,0.6919745007311616,0.3841343775663816,0.4820842450765864,0.4936124152831859,0.6356546673140563,0.7590874790016591,0.8825326216452345,1
495,495,1.0,0.0,0.0,1.0,1.0,4.0,0.499641697178055,0.5391048795734226,0.4373389913178289,0.0330577268145819,0.4931144925071919,0.2052254241921945,0.5775834100116769,0.2986590532617538,0.312335740167062,0.3829914801529547,0.693953098689688,0.4820842450765864,0.4936124152831859,0.2063375882702977,0.1223342884253584,0.4008806364320749,0
2433,2433,0.0,0.0,0.0,0.0,1.0,4.0,0.499641697178055,0.3278321201640489,0.4373389913178289,1.0,0.4931144925071919,0.4321895567521608,0.5775834100116769,0.9380365554749076,0.93732802166512,1.0,0.693953098689688,0.4820842450765864,0.4936124152831859,1.0,0.9692015286130996,0.8825326216452345,1
535,535,1.0,0.0,0.0,0.0,1.0,5.0,0.499641697178055,0.5391048795734226,0.443106264013247,0.0,0.4931144925071919,0.1074853871632934,0.0,0.2986590532617538,0.2683771643170278,0.3829914801529547,0.3841343775663816,0.4820842450765864,0.4936124152831859,0.2063375882702977,0.1223342884253584,0.3410103585728272,0
2498,2498,0.0,0.0,1.0,1.0,1.0,4.0,0.499641697178055,0.5495167216842186,0.443106264013247,1.0,0.4931144925071919,1.0,0.5775834100116769,0.9380365554749076,0.312335740167062,0.3829914801529547,0.3841343775663816,0.4820842450765864,0.4936124152831859,0.6356546673140563,0.7590874790016591,0.4008806364320749,1
1326,1326,0.0,1.0,0.0,1.0,1.0,3.0,0.4639981815245594,0.5495167216842186,0.4373389913178289,0.0330577268145819,0.4931144925071919,0.4321895567521608,0.2318459418986453,0.2986590532617538,0.2301077378039691,0.3829914801529547,0.3841343775663816,0.4820842450765864,0.4936124152831859,0.6356546673140563,0.1223342884253584,0.3410103585728272,0
2535,2535,1.0,0.0,0.0,1.0,1.0,3.0,0.4639981815245594,0.5495167216842186,0.4373389913178289,1.0,0.4931144925071919,0.4321895567521608,0.5775834100116769,0.2986590532617538,0.312335740167062,0.3829914801529547,0.3841343775663816,0.4820842450765864,0.4936124152831859,0.2063375882702977,0.9692015286130996,0.7398277004282482,1
520,520,1.0,0.0,0.0,1.0,1.0,4.0,0.4639981815245594,0.3278321201640489,0.4373389913178289,0.0330577268145819,0.4931144925071919,0.2052254241921945,0.5775834100116769,0.2986590532617538,0.312335740167062,0.0,0.3841343775663816,0.4820842450765864,0.4936124152831859,0.2063375882702977,0.1223342884253584,0.4008806364320749,0
2550,2550,0.0,0.0,1.0,1.0,1.0,4.0,0.499641697178055,0.5495167216842186,0.5900992405029438,1.0,0.4931144925071919,1.0,0.5775834100116769,0.2986590532617538,0.312335740167062,0.3829914801529547,0.3841343775663816,0.4820842450765864,0.4936124152831859,0.6356546673140563,0.7590874790016591,0.70825218137788,1
529,529,1.0,0.0,0.0,1.0,1.0,5.0,0.499641697178055,0.3278321201640489,0.443106264013247,0.0330577268145819,0.4931144925071919,0.0973703035815877,0.5775834100116769,0.2986590532617538,0.312335740167062,0.6919745007311616,0.0,0.4820842450765864,0.4936124152831859,0.2063375882702977,0.1223342884253584,0.4008806364320749,0
2560,2560,0.0,0.0,1.0,1.0,1.0,4.0,0.4639981815245594,0.5391048795734226,0.5900992405029438,1.0,0.4931144925071919,1.0,0.5775834100116769,0.9380365554749076,0.312335740167062,0.6919745007311616,0.693953098689688,0.4820842450765864,0.4936124152831859,0.6356546673140563,0.7590874790016591,0.8825326216452345,1
534,534,0.0,1.0,0.0,0.0,2.0,3.0,0.1005814580449745,0.3278321201640489,0.4373389913178289,0.0330577268145819,0.4931144925071919,0.2052254241921945,0.5775834100116769,0.9380365554749076,0.93732802166512,0.3829914801529547,0.3841343775663816,0.4820842450765864,0.4936124152831859,0.2063375882702977,0.7590874790016591,0.3410103585728272,0
2553,2553,0.0,1.0,1.0,0.0,1.0,4.0,0.4639981815245594,0.5495167216842186,0.4373389913178289,1.0,0.4931144925071919,0.0973703035815877,0.5775834100116769,0.2986590532617538,0.312335740167062,0.3829914801529547,0.3841343775663816,0.4820842450765864,0.4936124152831859,0.2063375882702977,0.1168730365620693,0.4008806364320749,1
