Algorithm,n_clusters,fuzziness,rho,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_0",2,1.5,0.5,0,0.17273398334030482,0.1931299028687303,1.1996663506471459,0.28155901861694416,2996.240411127295,2,0.2918977737426758
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_1",2,1.5,0.5,1,0.2585817402833569,0.19761298220407444,1.7548926486925536,0.2281184885855294,2456.773472237344,2,0.13989639282226562
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_2",2,1.5,0.5,2,0.17273398334030482,0.1931299028687303,1.1996663506471459,0.28155901861694416,2996.240411127295,2,0.16339397430419922
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_3",2,1.5,0.5,3,0.17273398334030482,0.1931299028687303,1.1996663506471459,0.28155901861694416,2996.240411127295,2,0.28534388542175293
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_4",2,1.5,0.5,4,0.2513710249059353,0.1913657737104835,1.7565113523252485,0.22760299650189117,2456.7452770651703,2,0.3182082176208496
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_5",2,1.5,0.5,5,0.2513710249059353,0.1913657737104835,1.7565113523252485,0.22760299650189117,2456.7452770651703,2,0.3666243553161621
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_6",2,1.5,0.5,6,0.17273398334030482,0.19312990286873033,1.1996663506471459,0.28155901861694416,2996.240411127295,2,0.23306989669799805
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_7",2,1.5,0.5,7,0.17273398334030482,0.19312990286873033,1.1996663506471459,0.28155901861694416,2996.240411127295,2,0.184844970703125
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_8",2,1.5,0.5,8,0.17273398334030482,0.1931299028687303,1.1996663506471459,0.28155901861694416,2996.240411127295,2,0.15350556373596191
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_9",2,1.5,0.5,9,0.17273398334030482,0.19312990286873033,1.1996663506471459,0.28155901861694416,2996.240411127295,2,0.1710822582244873
