Algorithm,k,Distance_Metric,N_Buckets,Repetition,ARI,NMI,DBI,Silhouette,CHS,Time
"GlobalKMeansAlgorithm(k=2, Distance_Metric=euclidean, N_Buckets=2k)_0",2,euclidean,2k,0,0.17273398334030482,0.1931299028687303,1.1996663506471459,0.28155901861694416,2996.240411127295,0.02565479278564453
"GlobalKMeansAlgorithm(k=2, Distance_Metric=euclidean, N_Buckets=3k)_0",2,euclidean,3k,0,0.17273398334030482,0.1931299028687303,1.1996663506471459,0.28155901861694416,2996.240411127295,0.029050827026367188
"GlobalKMeansAlgorithm(k=2, Distance_Metric=euclidean, N_Buckets=4k)_0",2,euclidean,4k,0,0.17273398334030482,0.1931299028687303,1.1996663506471459,0.28155901861694416,2996.240411127295,0.03305411338806152
"GlobalKMeansAlgorithm(k=2, Distance_Metric=manhattan, N_Buckets=2k)_0",2,manhattan,2k,0,0.038489944780055296,0.028186054826895783,1.66352033251588,0.2323528787626929,2474.9363021286267,0.0332489013671875
"GlobalKMeansAlgorithm(k=2, Distance_Metric=manhattan, N_Buckets=3k)_0",2,manhattan,3k,0,0.08289731431548332,0.06423290261607,1.6135011257658998,0.23843064736811193,2546.726888302182,0.035312652587890625
"GlobalKMeansAlgorithm(k=2, Distance_Metric=manhattan, N_Buckets=4k)_0",2,manhattan,4k,0,0.038489944780055296,0.028186054826895783,1.66352033251588,0.2323528787626929,2474.9363021286267,0.0429685115814209
"GlobalKMeansAlgorithm(k=2, Distance_Metric=clark, N_Buckets=2k)_0",2,clark,2k,0,0.40365965757229916,0.3201545350695246,2.668858987363291,0.12881466176968837,1064.6498193852092,0.05147838592529297
"GlobalKMeansAlgorithm(k=2, Distance_Metric=clark, N_Buckets=3k)_0",2,clark,3k,0,0.03622569901784383,0.02602593198930757,1.9151488600443787,0.19315706349911504,1933.2018329802306,0.05033373832702637
"GlobalKMeansAlgorithm(k=2, Distance_Metric=clark, N_Buckets=4k)_0",2,clark,4k,0,0.23796339629832688,0.19448033620905184,2.5511362915146893,0.12595396089361136,1106.9412707952883,0.05397391319274902
"GlobalKMeansAlgorithm(k=3, Distance_Metric=euclidean, N_Buckets=2k)_0",3,euclidean,2k,0,0.2535565208093488,0.20981089507042797,1.7200926206074814,0.26117169326396605,2559.1032021141286,0.050897836685180664
"GlobalKMeansAlgorithm(k=3, Distance_Metric=euclidean, N_Buckets=3k)_0",3,euclidean,3k,0,0.2535565208093488,0.20981089507042797,1.7200926206074814,0.26117169326396605,2559.1032021141286,0.06282663345336914
"GlobalKMeansAlgorithm(k=3, Distance_Metric=euclidean, N_Buckets=4k)_0",3,euclidean,4k,0,0.19896273227061836,0.19627503800137316,1.7790715810327675,0.2543896307487518,2574.3620059415716,0.06060957908630371
"GlobalKMeansAlgorithm(k=3, Distance_Metric=manhattan, N_Buckets=2k)_0",3,manhattan,2k,0,0.3002649856425188,0.2847333327660927,1.669809332187259,0.24020126436221,2169.830582890466,0.06977629661560059
"GlobalKMeansAlgorithm(k=3, Distance_Metric=manhattan, N_Buckets=3k)_0",3,manhattan,3k,0,0.12970662731361762,0.1460776250141563,2.06050092841962,0.20474657812145766,2013.6497024895716,0.0682978630065918
"GlobalKMeansAlgorithm(k=3, Distance_Metric=manhattan, N_Buckets=4k)_0",3,manhattan,4k,0,0.2913345426880291,0.2797009585468372,1.6690628592508068,0.23995619561010403,2164.659563146081,0.07587122917175293
"GlobalKMeansAlgorithm(k=3, Distance_Metric=clark, N_Buckets=2k)_0",3,clark,2k,0,0.12363751829544051,0.12367385594236534,2.2112018346942226,0.1793364874997488,1694.9340567296813,0.10086345672607422
"GlobalKMeansAlgorithm(k=3, Distance_Metric=clark, N_Buckets=3k)_0",3,clark,3k,0,0.1261866752604074,0.16447196520161256,2.2722058909764455,0.1819830338980344,1784.9088696134418,0.09867572784423828
"GlobalKMeansAlgorithm(k=3, Distance_Metric=clark, N_Buckets=4k)_0",3,clark,4k,0,0.1261866752604074,0.16447196520161256,2.2722058909764455,0.1819830338980344,1784.9088696134418,0.10390138626098633
"GlobalKMeansAlgorithm(k=4, Distance_Metric=euclidean, N_Buckets=2k)_0",4,euclidean,2k,0,0.260496496481228,0.2688610914677652,1.7112274733387989,0.2343412123708276,2180.1799277036084,0.09207797050476074
"GlobalKMeansAlgorithm(k=4, Distance_Metric=euclidean, N_Buckets=3k)_0",4,euclidean,3k,0,0.264175318517151,0.28330387215913055,1.5562534367115868,0.2684835730806621,2319.833856486357,0.09023261070251465
"GlobalKMeansAlgorithm(k=4, Distance_Metric=euclidean, N_Buckets=4k)_0",4,euclidean,4k,0,0.24217622873167605,0.24066124300331374,1.6258447130758509,0.23340011455408663,2166.9964552561146,0.10322237014770508
"GlobalKMeansAlgorithm(k=4, Distance_Metric=manhattan, N_Buckets=2k)_0",4,manhattan,2k,0,0.28789589737303134,0.34251325992518095,1.6104490036815662,0.21417851935415036,1860.5636294223539,0.07918357849121094
"GlobalKMeansAlgorithm(k=4, Distance_Metric=manhattan, N_Buckets=3k)_0",4,manhattan,3k,0,0.35199130212264873,0.3512999256677792,1.8970846103800498,0.23017982816888596,1858.5384811280014,0.1194617748260498
"GlobalKMeansAlgorithm(k=4, Distance_Metric=manhattan, N_Buckets=4k)_0",4,manhattan,4k,0,0.2618145705771703,0.3061154506176569,1.6942174496365037,0.24693151008250935,2117.7712254912126,0.10325884819030762
