Algorithm,k,Distance_Metric,Repetition,ARI,NMI,DBI,Silhouette,CHS,Time
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_0",2,euclidean,0,0.08670660805471807,0.07297990313240814,1.4288359868361484,0.2545439359067551,2813.230479137608,0.019043445587158203
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_1",2,euclidean,1,0.17273398334030482,0.1931299028687303,1.1996663506471459,0.28155901861694416,2996.240411127295,0.017052650451660156
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_2",2,euclidean,2,0.24280575931030451,0.18375019156160646,1.760379102504524,0.22667679175774383,2456.2370555868756,0.018124103546142578
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_3",2,euclidean,3,0.17273398334030482,0.1931299028687303,1.1996663506471459,0.28155901861694416,2996.240411127295,0.014181375503540039
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_4",2,euclidean,4,0.17273398334030482,0.1931299028687303,1.1996663506471459,0.28155901861694416,2996.240411127295,0.019422054290771484
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_5",2,euclidean,5,0.1702864063738668,0.18855878761798003,1.2043547318059604,0.28094022458543566,2995.874834202258,0.01769256591796875
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_6",2,euclidean,6,0.23918082424623097,0.18051518886185441,1.762500992442227,0.22615589967457675,2455.727252816975,0.017470359802246094
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_7",2,euclidean,7,0.025664869388813485,0.018138897751243797,2.331973634638522,0.14836479154951512,1367.860238143379,0.018295764923095703
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_8",2,euclidean,8,0.17273398334030482,0.19312990286873033,1.1996663506471459,0.28155901861694416,2996.240411127295,0.017939329147338867
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_9",2,euclidean,9,0.17273398334030482,0.19312990286873033,1.1996663506471459,0.28155901861694416,2996.240411127295,0.01723337173461914
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_0",2,manhattan,0,0.03791181046927494,0.027722364881126636,1.6658223901216729,0.23209031944402195,2471.763530929765,0.01659226417541504
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_1",2,manhattan,1,0.03714774811562288,0.027111366953510428,1.6688841788249111,0.23176160346954053,2467.547773155653,0.020186424255371094
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_2",2,manhattan,2,0.13747768568631608,0.10541966274935641,1.7107244075973909,0.2287881430430054,2413.815413504773,0.02093362808227539
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_3",2,manhattan,3,0.1076602499584392,0.14476633520248786,2.116001189831519,0.141362053908222,992.9764706439216,0.0171663761138916
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_4",2,manhattan,4,0.14300927425913051,0.11040273497073143,1.7034886723700116,0.22968644504785632,2419.3350577475794,0.019812822341918945
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_5",2,manhattan,5,0.038683625277438495,0.028341660339965973,1.6628469152029222,0.2324146944225703,2475.737531954815,0.017092227935791016
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_6",2,manhattan,6,0.038489944780055296,0.028186054826895783,1.66352033251588,0.2323528787626929,2474.9363021286267,0.01495361328125
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_7",2,manhattan,7,0.06098788939445548,0.0470186135768515,1.5835825847529637,0.24184617924620963,2589.1620711505025,0.01733565330505371
