Algorithm,ARI,F1 Score,DBI,silhouette_score,calinski_harabasz_score,Time
"Optics, euclidean, auto)",0.15933796741878006,0.1066965976712847,1.823111365645121,0.14314522264206003,1148.4552714932063,23.291785955429077
"Optics, euclidean, brute)",0.15933796741878006,0.1066965976712847,1.823111365645121,0.14314522264206003,1148.4552714932063,23.901180267333984
"Optics, euclidean, ball_tree)",0.15933796741878006,0.1066965976712847,1.823111365645121,0.14314522264206003,1148.4552714932063,10.537975788116455
"Optics, euclidean, kd_tree)",0.15933796741878006,0.1066965976712847,1.823111365645121,0.14314522264206003,1148.4552714932063,9.220050573348999
"Optics, manhattan, auto)",0.19961363830641818,0.038356164383561646,1.7815610231470551,0.22871201015336698,1441.7209175917365,26.28695511817932
"Optics, manhattan, brute)",0.19961363830641818,0.038356164383561646,1.7815610231470551,0.22871201015336698,1441.7209175917365,27.000688552856445
"Optics, manhattan, ball_tree)",0.19961363830641818,0.038356164383561646,1.7815610231470551,0.22871201015336698,1441.7209175917365,9.801925897598267
"Optics, manhattan, kd_tree)",0.19961363830641818,0.038356164383561646,1.7815610231470551,0.22871201015336698,1441.7209175917365,9.187500238418579
"Optics, cosine, auto)",0.1256159542647355,0.1678915896351986,1.3558692276537045,0.12268907756841683,1254.7356399439855,28.523062229156494
"Optics, cosine, brute)",0.1256159542647355,0.1678915896351986,1.3558692276537045,0.12268907756841683,1254.7356399439855,23.881952047348022
