Algorithm,n_clusters,n_neighbors,assign_labels,eigen_solver,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=lobpcg)_0",2,5,kmeans,lobpcg,0,0.003564693956999088,0.0034842948091538552,10.094239454995336,0.008733990779876417,73.27911050507876,2,1.2842698097229004
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=lobpcg)_1",2,5,kmeans,lobpcg,1,0.000986295486906664,0.0005520543043245837,18.8145420525131,0.004486331313518715,21.160140242624994,2,0.8365962505340576
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=lobpcg)_2",2,5,kmeans,lobpcg,2,-0.00017504409544791638,1.573729446474302e-05,11.047010307693368,0.008589726681810678,59.306050269991594,2,0.4177846908569336
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=lobpcg)_3",2,5,kmeans,lobpcg,3,0.0021808096617086485,0.002130769353669818,21.841052681355993,0.004569417346182485,15.964313217018946,2,0.415149450302124
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=lobpcg)_4",2,5,kmeans,lobpcg,4,0.0005788003379468481,0.0004251330340609161,18.241269810767935,0.004794128720320584,23.359077071049843,2,0.3883635997772217
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=lobpcg)_5",2,5,kmeans,lobpcg,5,-0.0002767070996721595,0.00016030306509066716,11.815196367572055,0.006609501376456849,48.05390502820072,2,0.41585659980773926
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=lobpcg)_6",2,5,kmeans,lobpcg,6,0.006160916108117588,0.005640961252347725,11.693229270222725,0.00928065195821668,54.982401217996774,2,0.4376814365386963
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=lobpcg)_7",2,5,kmeans,lobpcg,7,0.001970527194974209,0.0030790485839475605,8.480461188554603,0.011965604475493713,93.80828530899925,2,0.46816372871398926
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=lobpcg)_8",2,5,kmeans,lobpcg,8,0.013070729949822056,0.009470692165259578,11.122333635291334,0.011022472930603105,52.14304466417833,2,0.7078652381896973
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=lobpcg)_9",2,5,kmeans,lobpcg,9,0.0021387466528132865,0.0013740018477978,15.734421359414236,0.006624037753662682,31.016102293214995,2,0.6466615200042725
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=amg)_0",2,5,kmeans,amg,0,0.00045262721621536976,0.0036806212056146362,6.775344746846892,0.0038070819589585275,103.70042706481715,2,0.5644378662109375
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=amg)_1",2,5,kmeans,amg,1,-0.0004523045015050847,0.00029284815902807214,7.05385863810321,0.00787980208253758,106.77174223357362,2,0.24572134017944336
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=amg)_2",2,5,kmeans,amg,2,0.012221805787574574,0.009240690758035254,13.98891009250423,0.007117379724851512,30.862058022870606,2,0.3360898494720459
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=amg)_3",2,5,kmeans,amg,3,0.00029247149456692104,0.00043511766174621306,20.94791433464371,0.003823535209976528,17.578096927300976,2,0.28201985359191895
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=amg)_4",2,5,kmeans,amg,4,0.001176187922542441,0.0005117054250429674,6.980344333085216,0.008974133215784795,105.21108439417476,2,0.29685068130493164
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=amg)_5",2,5,kmeans,amg,5,0.011252093929132604,0.007605842868559397,16.040837241581627,0.008969594390673236,29.30368138416241,2,0.3047018051147461
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=amg)_6",2,5,kmeans,amg,6,-0.000272772121581191,3.802031243006665e-05,7.086328475265126,0.013201379128980733,113.1516431980905,2,0.3120710849761963
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=amg)_7",2,5,kmeans,amg,7,0.005416540979267379,0.0033983096018233936,19.026456983286597,0.0031175974560757073,18.929109039484114,2,0.2901439666748047
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=amg)_8",2,5,kmeans,amg,8,0.0004798627050409352,0.0012983482054239857,13.204219995033837,0.015617147561267235,40.17164865736508,2,0.5068531036376953
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=amg)_9",2,5,kmeans,amg,9,0.0014980708623711604,0.0007300545870361216,11.953162634075339,0.009526890379916098,46.519740292449335,2,0.1738579273223877
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=arpack)_0",2,5,kmeans,arpack,0,0.0018676894587619007,0.00371742968338105,6.268041249538165,0.007633192098181047,27.742115539897085,2,0.5482511520385742
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=arpack)_1",2,5,kmeans,arpack,1,0.0005671754157095271,0.0007042619220069207,10.070707002645005,0.010279394881399022,75.78073675216486,2,0.5141150951385498
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=arpack)_2",2,5,kmeans,arpack,2,-0.0003511189880228074,7.488425150855729e-05,5.818709589550885,0.030523633368321198,127.06583610135095,2,0.5500500202178955
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=arpack)_3",2,5,kmeans,arpack,3,0.0026683455699348666,0.0015487413545666546,15.820504778909655,0.00972317720517067,21.809229102991047,2,0.6601395606994629
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=arpack)_4",2,5,kmeans,arpack,4,0.011263305607382642,0.01051281731840938,7.300809370655261,0.02261372256365406,89.01196824682876,2,0.6905231475830078
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=arpack)_5",2,5,kmeans,arpack,5,0.003907054792255801,0.0031487516726266987,13.8733243953764,0.007015499555866751,40.47766628449001,2,0.5368571281433105
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=arpack)_6",2,5,kmeans,arpack,6,-0.00011128957695929617,1.1131707408261855e-05,12.945896391624744,0.009033468503551132,46.60225168725775,2,0.5661582946777344
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=arpack)_7",2,5,kmeans,arpack,7,0.0012971039596294477,0.0006340276431693437,14.342967195623528,0.0056299182615958876,33.57532854602386,2,0.6449272632598877
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=arpack)_8",2,5,kmeans,arpack,8,0.011701267252364679,0.00802642980646409,25.15254757559075,0.0021299246736584494,10.952465804754391,2,0.5343563556671143
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=kmeans, eigen_solver=arpack)_9",2,5,kmeans,arpack,9,0.0013271034678349596,0.0014997033147754657,6.229179088817694,0.02012898883163998,40.72070108238975,2,0.5687549114227295
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=cluster_qr, eigen_solver=lobpcg)_0",2,5,cluster_qr,lobpcg,0,0.009095967086695625,0.00657406350195642,9.972931162731399,0.013066242814830608,78.33687929505649,2,0.2829854488372803
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=cluster_qr, eigen_solver=lobpcg)_1",2,5,cluster_qr,lobpcg,1,-0.00012346289625871125,6.064859976595423e-08,21.97278628729868,0.0035561620262763217,16.141773796687843,2,0.26549601554870605
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=cluster_qr, eigen_solver=lobpcg)_2",2,5,cluster_qr,lobpcg,2,0.0006207920269894172,0.00039964466967578146,8.72929568437345,0.015493525952847058,101.39540756152816,2,0.32629871368408203
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=cluster_qr, eigen_solver=lobpcg)_3",2,5,cluster_qr,lobpcg,3,0.000938855460876966,0.0009552724038524253,18.714890420937383,0.0046126175688591545,22.083733579691277,2,0.2618563175201416
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=cluster_qr, eigen_solver=lobpcg)_4",2,5,cluster_qr,lobpcg,4,-0.0001394587069273985,1.0686554576138126e-05,9.990306521792771,0.012966948700307018,77.02528171153055,2,0.2929224967956543
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=cluster_qr, eigen_solver=lobpcg)_5",2,5,cluster_qr,lobpcg,5,0.005899405549518895,0.0038835495595370305,19.22977528968927,0.004198818474732756,20.49617762474097,2,0.2575194835662842
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=cluster_qr, eigen_solver=lobpcg)_6",2,5,cluster_qr,lobpcg,6,0.010362762552434622,0.007317186614861427,10.060936120202932,0.012219107377510481,76.72156791014338,2,0.2854187488555908
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=cluster_qr, eigen_solver=lobpcg)_7",2,5,cluster_qr,lobpcg,7,0.005624313115768346,0.003979056308639921,15.147125192509828,0.007700690007255278,33.99065288441215,2,0.2918379306793213
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=cluster_qr, eigen_solver=lobpcg)_8",2,5,cluster_qr,lobpcg,8,0.0008255149540624515,0.0005396824594812507,21.090759103415227,0.0033160720694905012,17.328749013099287,2,0.26973938941955566
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=cluster_qr, eigen_solver=lobpcg)_9",2,5,cluster_qr,lobpcg,9,0.006071496273306561,0.004134030608754758,12.910372327242857,0.00785641340669201,46.294956545757785,2,0.26963233947753906
