XMeans(max_clusters=550),XMeans(max_clusters=550),XMeans(max_clusters=550),XMeans(max_clusters=550),XMeans(max_clusters=550),XMeans(max_clusters=550),XMeans(max_clusters=550),XMeans(max_clusters=550),XMeans(max_clusters=550),XMeans(max_clusters=550),XMeans(max_clusters=551),XMeans(max_clusters=551),XMeans(max_clusters=551),XMeans(max_clusters=551),XMeans(max_clusters=551),XMeans(max_clusters=551),XMeans(max_clusters=551),XMeans(max_clusters=551),XMeans(max_clusters=551),XMeans(max_clusters=551)
157,61,115,137,265,251,484,184,295,241,272,495,460,410,486,121,275,256,529,372
240,120,234,271,325,431,184,222,166,173,325,444,401,527,2,315,108,111,265,156
221,126,229,249,286,515,158,176,142,206,286,479,420,498,36,297,144,100,273,179
243,51,316,125,274,421,311,182,125,211,271,506,462,413,482,268,128,95,288,150
192,7,100,188,255,189,216,230,331,377,248,532,483,380,462,102,493,279,489,292
240,120,234,271,325,431,184,222,166,173,325,444,401,527,2,315,108,111,265,156
219,133,224,248,290,522,161,198,155,200,281,475,426,494,29,293,135,104,279,184
221,126,229,249,292,515,158,176,142,206,286,479,420,498,36,297,144,100,273,179
498,59,334,256,192,476,323,343,119,181,258,502,221,198,475,275,51,20,282,234
219,133,224,248,290,522,161,198,155,200,281,475,426,494,29,293,135,104,279,184
232,114,242,265,331,417,174,213,158,178,321,457,411,547,8,319,102,80,305,148
239,116,236,270,323,435,183,221,165,169,326,441,400,525,3,316,105,109,263,155
468,446,484,244,177,487,352,323,199,216,190,205,204,229,516,326,2,39,234,266
243,51,316,125,274,421,311,182,125,211,271,506,446,413,482,268,128,95,288,150
194,5,105,189,244,189,218,230,330,392,242,533,489,407,458,96,488,278,490,295
156,71,120,485,258,249,480,192,307,326,253,492,457,419,204,117,279,249,532,370
181,43,345,254,219,177,193,272,140,412,221,510,498,511,488,258,505,127,475,197
147,315,414,146,270,373,445,186,290,41,268,496,105,417,480,123,202,241,536,364
243,51,316,125,274,421,311,182,125,211,271,506,462,413,482,268,128,95,288,150
157,61,115,137,265,251,484,184,295,241,272,495,460,410,486,121,275,256,529,372
215,129,223,245,289,526,160,194,150,204,278,472,424,495,30,284,134,106,278,183
147,315,414,146,270,373,445,186,290,41,268,496,105,417,480,123,202,241,536,364
221,126,229,249,286,515,158,176,142,206,286,479,420,498,36,297,144,100,273,179
466,445,487,243,174,488,353,324,198,217,189,204,205,228,513,325,1,40,235,265
222,127,231,253,284,516,157,169,147,209,284,476,419,500,32,302,140,97,271,177
206,57,335,260,269,520,179,177,122,214,259,503,422,516,472,267,123,90,283,154
239,116,236,270,323,435,183,221,165,169,326,441,400,525,3,316,105,109,263,155
486,429,509,210,171,439,339,326,190,247,208,222,224,217,496,328,18,50,215,259
154,74,121,487,256,253,486,191,309,320,251,489,443,421,205,116,280,250,533,367
229,91,247,223,308,425,306,207,173,256,309,450,415,521,22,309,120,110,269,164
222,127,231,253,284,516,157,169,147,209,284,476,419,500,32,302,140,97,271,177
243,51,316,125,274,421,311,182,125,211,271,506,446,413,482,268,128,95,288,150
237,117,243,268,319,416,186,215,163,187,328,440,409,526,11,313,91,88,306,147
443,65,119,491,212,247,483,432,301,316,265,483,240,236,348,223,284,254,6,276
221,126,229,249,292,515,158,176,142,206,286,479,420,498,36,297,144,100,273,179
492,443,490,216,194,484,308,333,180,168,160,213,213,220,530,339,37,32,248,244
156,71,120,485,258,249,480,192,307,326,253,492,457,419,204,117,279,249,532,370
448,457,110,140,208,467,317,424,354,243,182,190,238,239,355,237,43,25,1,237
229,93,510,223,308,453,306,335,178,259,309,450,214,521,504,333,36,33,245,242
221,126,229,249,286,515,158,176,142,206,286,479,420,498,36,297,144,100,273,179
212,130,226,246,293,527,159,195,151,205,283,471,425,496,26,291,133,101,277,186
244,54,317,126,320,434,187,320,164,185,329,508,451,531,10,314,92,84,287,233
155,72,125,486,277,250,482,193,306,324,250,491,445,418,207,114,277,248,530,369
498,59,334,256,192,476,323,343,119,181,258,502,221,198,475,275,51,20,282,234
474,455,497,219,173,440,362,330,189,250,205,216,210,212,495,329,8,49,254,249
240,120,234,271,325,431,184,222,166,173,325,444,401,527,2,315,108,111,265,156
237,117,243,268,319,416,186,215,157,187,328,440,409,526,11,313,91,79,306,147
486,429,509,210,171,439,339,326,190,247,208,222,224,217,496,328,18,50,215,259
455,117,317,126,320,434,187,320,164,186,329,439,451,531,10,314,95,84,224,233
461,433,480,231,186,480,338,327,196,226,191,201,233,200,510,331,6,17,225,262
442,471,479,169,216,326,358,431,335,238,68,192,248,238,349,224,283,47,17,277
236,121,244,269,330,419,175,216,169,182,327,456,410,528,12,312,100,87,307,145
221,126,229,249,286,515,158,176,142,206,286,479,420,498,36,297,144,100,273,179
157,61,115,137,266,251,484,184,295,241,272,495,460,410,486,121,275,256,529,372
243,51,316,125,274,421,311,182,125,211,271,506,446,413,482,268,128,95,288,150
466,445,487,243,174,488,353,324,198,217,189,204,205,228,513,325,1,40,235,265
191,24,78,171,231,193,205,263,325,401,222,549,481,385,455,90,474,272,486,289
468,446,484,244,177,487,352,323,199,216,190,205,204,229,516,326,2,39,234,266
236,121,244,269,330,419,175,216,169,182,327,455,410,528,12,312,100,87,307,145
443,62,119,168,215,429,356,432,340,317,69,484,249,237,350,223,284,245,11,276
156,71,120,485,258,249,480,192,307,326,253,492,457,419,204,117,279,249,532,370
215,129,223,245,289,526,160,194,150,204,278,472,424,495,30,284,134,106,278,183
222,127,231,253,284,516,157,169,147,209,284,476,419,500,32,302,140,97,271,177
222,128,231,253,284,516,157,169,147,209,284,476,419,500,32,302,140,97,271,177
220,123,228,250,291,519,153,171,143,207,287,478,421,499,35,298,145,99,274,178
188,27,79,170,231,191,203,241,324,402,225,549,481,387,451,93,473,271,483,289
236,121,244,269,322,419,175,216,169,182,327,455,410,528,12,312,100,87,307,145
467,450,481,241,179,489,350,318,202,220,193,207,207,230,517,324,5,41,231,262
475,456,498,218,195,444,363,329,183,248,198,221,209,213,499,345,7,30,255,252
149,70,122,483,280,245,481,429,302,322,256,486,456,423,357,113,271,251,5,375
253,440,4,225,296,423,303,178,174,267,157,231,436,37,333,458,86,55,302,160
222,127,231,253,284,516,157,169,147,209,284,476,419,500,32,302,140,97,271,177
465,441,491,235,120,484,307,337,100,167,160,228,206,224,534,336,53,0,258,247
443,62,119,168,215,429,356,432,340,317,69,484,249,237,350,223,284,245,11,276
212,130,226,246,288,527,159,195,151,205,283,471,425,496,26,291,133,101,277,186
253,440,4,225,296,423,303,178,174,267,157,231,217,37,333,458,86,55,302,160
250,382,9,463,310,410,304,227,177,267,158,229,434,292,535,471,90,55,296,218
443,67,118,166,213,248,491,430,300,319,264,193,242,236,348,225,284,10,6,276
448,457,110,140,208,467,317,424,354,243,182,190,238,239,355,237,43,25,1,237
444,470,116,164,215,430,346,430,340,340,262,500,250,237,350,225,285,246,515,278
163,16,90,198,251,184,229,232,332,373,230,537,470,402,464,89,495,280,506,306
500,424,325,211,192,475,325,342,118,228,181,209,220,199,548,273,52,19,243,240
154,68,121,487,256,253,486,191,304,320,254,489,443,421,203,116,280,250,533,367
166,17,88,184,249,179,232,237,329,369,232,530,468,400,468,89,498,277,510,313
491,426,499,208,196,442,335,319,187,254,201,223,227,218,502,344,14,4,220,258
165,18,87,183,252,180,233,238,332,371,231,537,472,401,463,89,501,280,508,309
468,446,484,244,177,487,352,323,199,216,190,205,204,229,516,326,2,39,234,266
236,121,244,269,322,419,175,216,169,182,327,456,410,528,12,312,100,87,307,145
442,471,357,169,216,325,347,431,339,238,68,192,239,238,349,229,248,11,7,277
150,71,120,484,279,249,480,192,303,327,253,493,457,424,204,117,279,249,532,370
150,71,120,484,278,249,480,192,303,327,253,493,457,419,204,117,279,249,532,370
220,123,228,250,291,519,153,171,143,207,287,478,421,499,35,298,145,99,274,178
235,113,237,275,333,432,182,219,160,175,324,460,402,550,4,320,109,112,264,166
233,115,240,267,332,415,185,212,156,179,320,458,413,548,9,318,103,78,303,149
192,7,100,188,255,189,216,230,330,377,248,532,483,380,462,102,493,278,489,292
235,113,237,275,333,432,182,219,160,175,324,460,402,550,4,320,109,112,264,166
444,470,117,490,214,430,490,430,298,43,263,500,243,236,348,225,285,246,6,277
240,120,234,271,325,431,184,222,166,173,325,444,401,527,2,315,108,111,265,156
218,132,225,247,287,523,162,199,154,201,282,474,427,493,24,292,136,105,280,185
235,113,237,275,333,432,182,219,160,175,324,460,402,550,4,320,109,112,264,166
160,23,81,204,236,210,221,250,329,379,239,528,497,405,470,85,502,277,505,315
220,123,228,250,291,519,153,171,143,207,287,478,421,499,35,298,145,99,274,178
470,433,482,233,186,489,331,327,197,219,195,447,202,234,509,323,5,5,228,262
238,469,320,272,324,433,165,220,167,171,329,443,405,534,0,288,106,107,262,158
223,125,230,252,285,518,154,168,146,210,285,477,418,501,33,301,139,96,272,176
239,116,236,270,323,435,183,221,165,169,326,441,400,525,3,316,105,109,263,155
476,449,501,217,180,443,361,319,187,252,200,220,207,214,502,342,9,51,250,253
221,126,229,249,292,515,158,176,142,206,286,479,420,498,36,297,144,100,273,179
219,133,224,248,290,522,161,198,155,200,281,475,426,494,29,293,135,104,279,184
239,116,236,270,323,435,183,221,165,169,326,441,400,525,3,316,105,109,263,155
487,427,503,209,196,442,335,325,184,246,197,212,225,219,497,338,19,31,249,256
155,72,125,486,277,250,482,193,306,324,250,491,445,418,207,114,277,248,530,369
483,381,476,400,193,510,308,333,98,268,160,228,142,221,503,335,84,60,258,246
239,116,236,270,323,435,183,221,165,169,326,441,400,525,3,316,105,109,263,155
243,51,316,125,274,421,311,182,125,211,271,506,462,413,482,268,128,95,288,150
495,119,318,127,321,446,176,217,170,184,329,446,449,532,13,311,99,83,218,146
149,70,122,483,280,244,481,429,302,322,256,486,456,423,357,113,271,251,5,375
490,425,500,208,186,442,338,319,187,254,202,223,226,218,502,343,15,3,219,257
250,382,9,463,310,410,304,227,177,267,158,229,434,292,535,473,90,56,296,219
156,71,120,485,258,249,480,192,307,326,253,492,457,419,204,117,279,249,532,370
242,58,333,257,272,422,180,181,120,180,257,501,408,515,476,276,126,92,281,152
234,112,238,276,334,436,181,218,161,170,323,459,403,549,5,321,104,112,259,165
148,299,444,144,267,372,446,188,292,42,266,498,119,414,478,124,124,243,538,359
188,27,79,170,231,191,203,241,324,402,225,549,481,387,451,93,473,271,483,289
233,115,240,267,332,415,185,212,156,179,320,458,413,548,9,318,103,78,303,149
176,2,341,279,221,464,197,269,130,417,212,518,504,509,493,250,511,125,472,201
468,446,484,244,177,487,352,323,199,216,190,205,204,229,516,326,2,39,234,266
191,24,78,171,231,193,205,247,325,401,225,549,481,385,455,90,474,272,486,289
236,121,244,269,322,419,175,216,169,182,327,455,410,528,12,312,100,87,307,145
221,126,229,249,292,515,158,176,142,206,286,479,420,498,36,297,144,100,273,179
469,434,492,234,183,485,329,321,192,221,187,202,200,232,512,327,0,6,238,263
471,435,488,234,182,486,332,322,193,222,188,200,199,235,511,327,0,7,237,264
484,377,477,400,117,508,307,355,101,167,160,228,147,225,532,260,54,56,258,219
233,115,240,267,332,415,185,212,156,179,320,458,413,548,9,318,103,78,303,149
255,90,6,224,297,424,303,226,175,268,157,231,216,522,503,308,36,59,257,161
463,431,327,213,207,472,314,345,127,232,180,187,236,205,549,270,44,27,221,232
465,441,491,235,120,484,307,337,100,167,160,228,206,224,534,336,53,0,258,247
240,120,234,271,325,431,184,222,166,173,325,444,401,527,2,315,108,111,265,156
330,316,413,145,271,375,444,189,293,40,267,499,107,416,479,122,204,240,534,365
469,434,492,234,183,485,329,321,192,221,187,202,200,232,512,327,0,6,238,263
442,471,479,169,216,326,355,431,365,238,68,194,248,238,349,224,283,23,10,275
222,128,231,253,284,516,157,169,147,209,284,476,419,500,32,302,140,97,271,177
156,71,120,485,258,249,480,192,307,326,253,492,457,419,204,117,279,249,532,370
442,471,479,169,216,325,342,431,358,238,68,196,248,238,349,224,283,42,10,275
240,120,234,271,325,431,184,222,166,173,325,444,401,527,2,315,108,111,265,156
161,19,84,195,233,181,229,235,332,368,234,539,467,400,466,87,496,281,509,311
181,43,345,254,219,177,193,272,140,412,221,510,498,511,488,258,505,127,475,197
486,429,509,210,171,439,339,326,190,247,208,222,224,217,496,328,18,50,215,259
