Algorithm,max_clusters,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
XMeans(max_clusters=700)_0,700,0,0.007796436398136942,0.20697388155254526,0.9486477389451328,0.3429402148269178,354.4561308126853,592,38.13753294944763
XMeans(max_clusters=700)_1,700,1,0.008005196011338277,0.20698827661117655,0.960879705536079,0.34826126554397013,357.8822204088504,602,36.62422847747803
XMeans(max_clusters=700)_2,700,2,0.008101133124102535,0.2071389557079659,0.9712246849111057,0.3423077948386789,348.4273211164931,600,29.801925659179688
XMeans(max_clusters=700)_3,700,3,0.007572618951643267,0.205190091999254,0.9651109385194843,0.3370675893084483,341.5868840488499,643,39.29378890991211
XMeans(max_clusters=700)_4,700,4,0.007394736827907652,0.20398450432230558,0.9407871432034065,0.34479632389362025,346.0109209899565,642,39.681087493896484
XMeans(max_clusters=700)_5,700,5,0.007973819155179652,0.20672628827036624,0.9496622739142822,0.34633932726355865,354.1235326784011,597,38.63044309616089
XMeans(max_clusters=700)_6,700,6,0.008059917962864446,0.20636771345557092,0.9399697373222675,0.3510644627145917,351.71644391024597,618,34.645352602005005
XMeans(max_clusters=700)_7,700,7,0.00827143271148065,0.20880888429692446,0.9698851500578104,0.34184099152301406,358.05047949405173,568,32.00393843650818
XMeans(max_clusters=700)_8,700,8,0.007206614730286382,0.20512766354724885,1.0054038197130326,0.3272832264043879,353.4538821885341,591,22.503845691680908
XMeans(max_clusters=700)_9,700,9,0.007891323038831733,0.20567273231784167,0.9610159073531792,0.3464650559933043,367.85203219972357,592,35.27496552467346
XMeans(max_clusters=700)_10,700,10,0.007877268341845196,0.2057779797665852,0.9627141167424701,0.3377076189740652,354.8416731029376,599,31.650733709335327
XMeans(max_clusters=700)_11,700,11,0.00788061686245038,0.20639440474280074,0.9183926601743808,0.3500564445843509,354.84807867971097,617,34.469807863235474
XMeans(max_clusters=700)_12,700,12,0.007176860607527164,0.20511347167644525,0.9667757208326527,0.332367853405394,349.80742317112106,612,31.398228406906128
XMeans(max_clusters=700)_13,700,13,0.007696855396157748,0.20598514412605173,0.9802116058618837,0.33778352246381255,359.9255486498951,598,37.03229069709778
XMeans(max_clusters=700)_14,700,14,0.007977029691150748,0.20591950648074367,0.9587956189810636,0.34842823387738964,355.99580118192927,599,43.96215033531189
XMeans(max_clusters=700)_15,700,15,0.007841737717463923,0.20516102168982167,0.9441576790066445,0.34691988841545757,356.4073756163878,619,51.526657819747925
XMeans(max_clusters=700)_16,700,16,0.007755390516066205,0.2060719192194452,0.9771386462509165,0.339433957370453,359.8978796705654,600,34.311076641082764
XMeans(max_clusters=700)_17,700,17,0.006787707982892219,0.20437351347490929,0.9773664158135059,0.3363415475517881,368.29579387549563,627,36.21066236495972
XMeans(max_clusters=700)_18,700,18,0.007966420022550375,0.20555608754394616,0.9462124073575451,0.348756078847486,357.11077841565486,613,40.283382177352905
XMeans(max_clusters=700)_19,700,19,0.00789485176698133,0.20666565504944073,0.9876447006021343,0.33766278265412597,355.1287785799739,595,34.45212411880493
XMeans(max_clusters=700)_20,700,20,0.007303352456937763,0.205707187552968,0.9769059449800837,0.3313358582860933,353.90254689159235,598,32.95236778259277
XMeans(max_clusters=700)_21,700,21,0.00799113017013228,0.2067330784966894,0.963103492047409,0.3464479967284732,365.75629070369735,594,28.9103786945343
XMeans(max_clusters=700)_22,700,22,0.007446533705674878,0.20508784358928417,0.9655527738609457,0.3353904261308782,351.0144368065168,614,48.57922983169556
XMeans(max_clusters=700)_23,700,23,0.0077608688998842225,0.20578251490777216,0.9332195577103376,0.34998479972374685,362.8247866236817,603,31.046083211898804
XMeans(max_clusters=700)_24,700,24,0.007245847699780988,0.205180664291332,0.9890189814547725,0.3332931967625871,362.33757994777903,611,33.92817687988281
XMeans(max_clusters=700)_25,700,25,0.007948626156477083,0.20585761453561727,0.9359832957749945,0.34574577442405424,347.44540496198,617,39.233659982681274
XMeans(max_clusters=700)_26,700,26,0.007663675388517876,0.20461602780070867,0.9322593440648786,0.3421212209500789,350.96485672628023,635,49.28485894203186
XMeans(max_clusters=700)_27,700,27,0.007502801485533901,0.2062070189061724,1.007464665714504,0.3190858834739004,341.5792443741087,599,37.171064138412476
XMeans(max_clusters=700)_28,700,28,0.00684393910233243,0.20394639909255596,0.9903537985948898,0.3195806755497477,347.73862000648194,597,44.76771140098572
XMeans(max_clusters=700)_29,700,29,0.007836055634142573,0.2069204125332213,0.943962881859051,0.3406877617053203,346.75969905201345,608,35.1566047668457
XMeans(max_clusters=700)_30,700,30,0.007912839219367935,0.20586704558588315,0.9355429589879645,0.3513061031484593,359.5547096850441,610,39.07843279838562
XMeans(max_clusters=700)_31,700,31,0.007786620565396336,0.2056105641325481,0.9405252198422792,0.3471634160362316,353.9241599430108,609,35.98108649253845
XMeans(max_clusters=700)_32,700,32,0.0074322194436184895,0.2053400970540959,0.9612226407178757,0.34006825837852067,359.91856279615365,607,40.292685747146606
XMeans(max_clusters=700)_33,700,33,0.007939248616016673,0.20619699378591191,0.9553820945141038,0.3442388632650036,354.83514810274283,585,35.959851026535034
XMeans(max_clusters=700)_34,700,34,0.007227834442795146,0.20478749233460292,0.956352844190621,0.34214108665855203,361.16180495867115,640,39.36944389343262
XMeans(max_clusters=700)_35,700,35,0.008081380509414536,0.20685754494827469,0.9514493131688835,0.34445184530164896,354.31228498295786,580,33.5888934135437
XMeans(max_clusters=700)_36,700,36,0.00773504889761126,0.20551684592602112,0.9681752992561363,0.3369076656147129,355.5563628207464,606,34.97503137588501
XMeans(max_clusters=700)_37,700,37,0.007094879813607701,0.20509472392915895,0.9679530273295286,0.3287394195741737,357.4767735547449,611,40.16649270057678
XMeans(max_clusters=700)_38,700,38,0.00744261416039449,0.20580299731378515,0.9633731994663831,0.34040656376526157,361.75534104269803,602,26.03437113761902
XMeans(max_clusters=700)_39,700,39,0.0075335057896404834,0.20528568182412915,0.9758026202005826,0.33671712443995,352.3258472891986,586,27.023350477218628
