Model,Dataset/Fold,Accuracy,Time,F1
"KNN, 1, euclidean_distance, equal_weight, majority_class",Mushroom/0,1.0,1.3684070110321045,1.0
"KNN, 1, euclidean_distance, equal_weight, inverse_distance_weighted",Mushroom/0,1.0,1.1684863567352295,1.0
"KNN, 1, euclidean_distance, equal_weight, shepard",Mushroom/0,1.0,1.2650396823883057,1.0
"KNN, 1, manhattan_distance, equal_weight, majority_class",Mushroom/0,1.0,1.2127270698547363,1.0
"KNN, 1, manhattan_distance, equal_weight, inverse_distance_weighted",Mushroom/0,1.0,1.1699702739715576,1.0
"KNN, 1, manhattan_distance, equal_weight, shepard",Mushroom/0,1.0,1.1105902194976807,1.0
"KNN, 1, clark_distance, equal_weight, majority_class",Mushroom/0,1.0,3.0325469970703125,1.0
"KNN, 1, clark_distance, equal_weight, inverse_distance_weighted",Mushroom/0,1.0,2.994645595550537,1.0
"KNN, 1, clark_distance, equal_weight, shepard",Mushroom/0,1.0,3.1519272327423096,1.0
"KNN, 3, euclidean_distance, equal_weight, majority_class",Mushroom/0,1.0,1.327544927597046,1.0
"KNN, 3, euclidean_distance, equal_weight, inverse_distance_weighted",Mushroom/0,1.0,1.1938271522521973,1.0
"KNN, 3, euclidean_distance, equal_weight, shepard",Mushroom/0,1.0,1.2005274295806885,1.0
"KNN, 3, manhattan_distance, equal_weight, majority_class",Mushroom/0,1.0,1.225059986114502,1.0
"KNN, 3, manhattan_distance, equal_weight, inverse_distance_weighted",Mushroom/0,1.0,1.1645684242248535,1.0
"KNN, 3, manhattan_distance, equal_weight, shepard",Mushroom/0,1.0,1.2270894050598145,1.0
"KNN, 3, clark_distance, equal_weight, majority_class",Mushroom/0,1.0,3.0239665508270264,1.0
"KNN, 3, clark_distance, equal_weight, inverse_distance_weighted",Mushroom/0,1.0,2.984424591064453,1.0
"KNN, 3, clark_distance, equal_weight, shepard",Mushroom/0,1.0,3.045517921447754,1.0
"KNN, 5, euclidean_distance, equal_weight, majority_class",Mushroom/0,1.0,1.2605392932891846,1.0
"KNN, 5, euclidean_distance, equal_weight, inverse_distance_weighted",Mushroom/0,1.0,1.2231998443603516,1.0
"KNN, 5, euclidean_distance, equal_weight, shepard",Mushroom/0,1.0,1.154317855834961,1.0
"KNN, 5, manhattan_distance, equal_weight, majority_class",Mushroom/0,1.0,1.2330994606018066,1.0
"KNN, 5, manhattan_distance, equal_weight, inverse_distance_weighted",Mushroom/0,1.0,1.1925902366638184,1.0
"KNN, 5, manhattan_distance, equal_weight, shepard",Mushroom/0,1.0,1.2269766330718994,1.0
"KNN, 5, clark_distance, equal_weight, majority_class",Mushroom/0,1.0,3.045083522796631,1.0
"KNN, 5, clark_distance, equal_weight, inverse_distance_weighted",Mushroom/0,1.0,2.9222145080566406,1.0
"KNN, 5, clark_distance, equal_weight, shepard",Mushroom/0,1.0,2.9471068382263184,1.0
"KNN, 7, euclidean_distance, equal_weight, majority_class",Mushroom/0,1.0,1.3107023239135742,1.0
"KNN, 7, euclidean_distance, equal_weight, inverse_distance_weighted",Mushroom/0,1.0,1.1824965476989746,1.0
"KNN, 7, euclidean_distance, equal_weight, shepard",Mushroom/0,1.0,1.2651114463806152,1.0
"KNN, 7, manhattan_distance, equal_weight, majority_class",Mushroom/0,1.0,1.18404221534729,1.0
"KNN, 7, manhattan_distance, equal_weight, inverse_distance_weighted",Mushroom/0,1.0,1.1912636756896973,1.0
"KNN, 7, manhattan_distance, equal_weight, shepard",Mushroom/0,1.0,1.130812406539917,1.0
"KNN, 7, clark_distance, equal_weight, majority_class",Mushroom/0,1.0,3.1127195358276367,1.0
"KNN, 7, clark_distance, equal_weight, inverse_distance_weighted",Mushroom/0,1.0,3.0100486278533936,1.0
"KNN, 7, clark_distance, equal_weight, shepard",Mushroom/0,1.0,3.0830273628234863,1.0
"KNN, 1, euclidean_distance, information_gain_weight, majority_class",Mushroom/0,0.9284833538840938,1.1771810054779053,0.928423969852444
"KNN, 1, euclidean_distance, information_gain_weight, inverse_distance_weighted",Mushroom/0,0.9284833538840938,1.136523723602295,0.928423969852444
"KNN, 1, euclidean_distance, information_gain_weight, shepard",Mushroom/0,0.9284833538840938,1.1504476070404053,0.928423969852444
"KNN, 1, manhattan_distance, information_gain_weight, majority_class",Mushroom/0,0.9235511713933415,1.242609977722168,0.9233129644473973
"KNN, 1, manhattan_distance, information_gain_weight, inverse_distance_weighted",Mushroom/0,0.9235511713933415,1.1425902843475342,0.9233129644473973
"KNN, 1, manhattan_distance, information_gain_weight, shepard",Mushroom/0,0.9235511713933415,1.1332221031188965,0.9233129644473973
"KNN, 1, clark_distance, information_gain_weight, majority_class",Mushroom/0,0.6707768187422934,3.0966436862945557,0.6359712675796269
"KNN, 1, clark_distance, information_gain_weight, inverse_distance_weighted",Mushroom/0,0.6707768187422934,2.922504425048828,0.6359712675796269
"KNN, 1, clark_distance, information_gain_weight, shepard",Mushroom/0,0.6707768187422934,3.0411012172698975,0.6359712675796269
"KNN, 3, euclidean_distance, information_gain_weight, majority_class",Mushroom/0,0.9198520345252774,1.202216625213623,0.9197325419087853
"KNN, 3, euclidean_distance, information_gain_weight, inverse_distance_weighted",Mushroom/0,0.9198520345252774,1.2149198055267334,0.9197325419087853
"KNN, 3, euclidean_distance, information_gain_weight, shepard",Mushroom/0,0.9198520345252774,1.1480107307434082,0.9197325419087853
"KNN, 3, manhattan_distance, information_gain_weight, majority_class",Mushroom/0,0.9260172626387176,1.2046892642974854,0.9258077372542668
"KNN, 3, manhattan_distance, information_gain_weight, inverse_distance_weighted",Mushroom/0,0.9260172626387176,1.205885887145996,0.9258077372542668
"KNN, 3, manhattan_distance, information_gain_weight, shepard",Mushroom/0,0.9260172626387176,1.1989014148712158,0.9258077372542668
"KNN, 3, clark_distance, information_gain_weight, majority_class",Mushroom/0,0.6707768187422934,3.116147041320801,0.6359712675796269
"KNN, 3, clark_distance, information_gain_weight, inverse_distance_weighted",Mushroom/0,0.6707768187422934,3.1594626903533936,0.6359712675796269
"KNN, 3, clark_distance, information_gain_weight, shepard",Mushroom/0,0.6707768187422934,3.9679512977600098,0.6359712675796269
"KNN, 5, euclidean_distance, information_gain_weight, majority_class",Mushroom/0,0.9112207151664612,1.928800344467163,0.9110163987080138
"KNN, 5, euclidean_distance, information_gain_weight, inverse_distance_weighted",Mushroom/0,0.9112207151664612,1.8449575901031494,0.9110163987080138
"KNN, 5, euclidean_distance, information_gain_weight, shepard",Mushroom/0,0.9112207151664612,1.867694616317749,0.9110163987080138
"KNN, 5, manhattan_distance, information_gain_weight, majority_class",Mushroom/0,0.9272503082614056,1.9351592063903809,0.9270542625284323
"KNN, 5, manhattan_distance, information_gain_weight, inverse_distance_weighted",Mushroom/0,0.9272503082614056,1.8710064888000488,0.9270542625284323
"KNN, 5, manhattan_distance, information_gain_weight, shepard",Mushroom/0,0.9272503082614056,1.854984998703003,0.9270542625284323
"KNN, 5, clark_distance, information_gain_weight, majority_class",Mushroom/0,0.6707768187422934,5.0416858196258545,0.6359712675796269
"KNN, 5, clark_distance, information_gain_weight, inverse_distance_weighted",Mushroom/0,0.6707768187422934,4.940113306045532,0.6359712675796269
"KNN, 5, clark_distance, information_gain_weight, shepard",Mushroom/0,0.6707768187422934,4.935024976730347,0.6359712675796269
"KNN, 7, euclidean_distance, information_gain_weight, majority_class",Mushroom/0,0.9223181257706535,1.9533324241638184,0.9222181574629216
"KNN, 7, euclidean_distance, information_gain_weight, inverse_distance_weighted",Mushroom/0,0.9223181257706535,1.8861043453216553,0.9222181574629216
"KNN, 7, euclidean_distance, information_gain_weight, shepard",Mushroom/0,0.9223181257706535,1.8375334739685059,0.9222181574629216
"KNN, 7, manhattan_distance, information_gain_weight, majority_class",Mushroom/0,0.9260172626387176,1.933297872543335,0.9258077372542668
"KNN, 7, manhattan_distance, information_gain_weight, inverse_distance_weighted",Mushroom/0,0.9260172626387176,1.841273546218872,0.9258077372542668
"KNN, 7, manhattan_distance, information_gain_weight, shepard",Mushroom/0,0.9260172626387176,1.821669578552246,0.9258077372542668
"KNN, 7, clark_distance, information_gain_weight, majority_class",Mushroom/0,0.6707768187422934,4.870819091796875,0.6359712675796269
"KNN, 7, clark_distance, information_gain_weight, inverse_distance_weighted",Mushroom/0,0.6707768187422934,4.914342641830444,0.6359712675796269
"KNN, 7, clark_distance, information_gain_weight, shepard",Mushroom/0,0.6707768187422934,4.805311679840088,0.6359712675796269
"KNN, 1, euclidean_distance, reliefF_weight, majority_class",Mushroom/0,0.5178791615289766,1.960486650466919,0.3533862678183106
"KNN, 1, euclidean_distance, reliefF_weight, inverse_distance_weighted",Mushroom/0,0.5178791615289766,1.8278594017028809,0.3533862678183106
"KNN, 1, euclidean_distance, reliefF_weight, shepard",Mushroom/0,0.5178791615289766,1.8256330490112305,0.3533862678183106
"KNN, 1, manhattan_distance, reliefF_weight, majority_class",Mushroom/0,0.5178791615289766,1.8772084712982178,0.3533862678183106
"KNN, 1, manhattan_distance, reliefF_weight, inverse_distance_weighted",Mushroom/0,0.5178791615289766,1.8898048400878906,0.3533862678183106
"KNN, 1, manhattan_distance, reliefF_weight, shepard",Mushroom/0,0.5178791615289766,1.878274917602539,0.3533862678183106
"KNN, 1, clark_distance, reliefF_weight, majority_class",Mushroom/0,0.8397040690505548,4.961811065673828,0.8353329941168182
"KNN, 1, clark_distance, reliefF_weight, inverse_distance_weighted",Mushroom/0,0.8397040690505548,4.83840537071228,0.8353329941168182
"KNN, 1, clark_distance, reliefF_weight, shepard",Mushroom/0,0.8397040690505548,4.981474161148071,0.8353329941168182
