Fold,Reduction Method,Training Samples
0,NONE,7313
1,NONE,7312
2,NONE,7310
3,NONE,7312
4,NONE,7312
5,NONE,7313
6,NONE,7310
7,NONE,7312
8,NONE,7310
9,NONE,7312
0,EENTH,5424
1,EENTH,5429
2,EENTH,5452
3,EENTH,5411
4,EENTH,5426
5,EENTH,5415
6,EENTH,5456
7,EENTH,5428
8,EENTH,5428
9,EENTH,5418
0,GCNN,19
1,GCNN,20
2,GCNN,20
3,GCNN,18
4,GCNN,19
5,GCNN,19
6,GCNN,19
7,GCNN,19
8,GCNN,19
9,GCNN,19
0,DROP3,494
1,DROP3,482
2,DROP3,487
3,DROP3,482
4,DROP3,483
5,DROP3,484
6,DROP3,511
7,DROP3,480
8,DROP3,492
9,DROP3,490
