Model,Dataset/Fold,Accuracy,Time,F1
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Mushroom/0,1.0,1.352095127105713,1.0
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Mushroom/1,1.0,1.2260267734527588,1.0
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Mushroom/2,1.0,1.203810214996338,1.0
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Mushroom/3,1.0,1.238020420074463,1.0
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Mushroom/4,1.0,1.2320220470428467,1.0
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Mushroom/5,1.0,1.187035322189331,1.0
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Mushroom/6,1.0,1.242262840270996,1.0
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Mushroom/7,1.0,1.1948084831237793,1.0
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Mushroom/8,1.0,1.2169954776763916,1.0
"KNN, 7, manhattan_distance, equal_weight, majority_class, NONE",Mushroom/9,1.0,1.2659013271331787,1.0
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Mushroom/0,0.9975339087546239,0.9551713466644287,0.9975336759486412
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Mushroom/1,1.0,0.924403190612793,1.0
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Mushroom/2,1.0,0.9501297473907471,1.0
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Mushroom/3,1.0,0.9264655113220215,1.0
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Mushroom/4,0.9987684729064039,0.9623379707336426,0.9987684149198826
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Mushroom/5,0.998766954377312,0.9494979381561279,0.9987668980585148
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Mushroom/6,1.0,0.9904100894927979,1.0
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Mushroom/7,1.0,0.9426023960113525,1.0
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Mushroom/8,1.0,0.9344577789306641,1.0
"KNN, 7, manhattan_distance, equal_weight, majority_class, EENTH",Mushroom/9,1.0,0.9176552295684814,1.0
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Mushroom/0,0.9321824907521579,0.17469143867492676,0.9318607266090804
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Mushroom/1,0.9088669950738916,0.17474985122680664,0.9081285324188736
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Mushroom/2,0.914004914004914,0.1819596290588379,0.9134098721919451
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Mushroom/3,0.916256157635468,0.14818954467773438,0.9159868486809227
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Mushroom/4,0.9187192118226601,0.15851545333862305,0.9180069059970647
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Mushroom/5,0.9112207151664612,0.14394354820251465,0.9105710733611192
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Mushroom/6,0.918918918918919,0.17397642135620117,0.9183786587331756
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Mushroom/7,0.9224137931034483,0.17957234382629395,0.9218373566364633
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Mushroom/8,0.9238329238329238,0.17470645904541016,0.9233186957316055
"KNN, 7, manhattan_distance, equal_weight, majority_class, GCNN",Mushroom/9,0.9100985221674877,0.14960050582885742,0.9092448770708264
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Mushroom/0,0.9815043156596794,0.22782683372497559,0.9814995266953912
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Mushroom/1,0.9815270935960592,0.22330689430236816,0.9815262800625054
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Mushroom/2,0.9717444717444718,0.23259210586547852,0.9717294693764837
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Mushroom/3,0.9827586206896551,0.23816490173339844,0.9827432036589753
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Mushroom/4,0.979064039408867,0.21701502799987793,0.9790630536380036
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Mushroom/5,0.9753390875462392,0.2061769962310791,0.9753279660289949
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Mushroom/6,0.9791154791154791,0.22458648681640625,0.9791197388992717
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Mushroom/7,0.9815270935960592,0.23631548881530762,0.9815224631267779
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Mushroom/8,0.9631449631449631,0.2340257167816162,0.963147858452427
"KNN, 7, manhattan_distance, equal_weight, majority_class, DROP3",Mushroom/9,0.9778325123152709,0.23749136924743652,0.97781903139401
