Model,Dataset/Fold,Accuracy,Time,F1
"SVM, kernel=linear, C=1.0",Mushroom/0,1.0,0.008007287979125977,1.0
"SVM, kernel=linear, C=1.0",Mushroom/1,1.0,0.0029997825622558594,1.0
"SVM, kernel=linear, C=1.0",Mushroom/2,1.0,0.003039836883544922,1.0
"SVM, kernel=linear, C=1.0",Mushroom/3,1.0,0.003010272979736328,1.0
"SVM, kernel=linear, C=1.0",Mushroom/4,1.0,0.008615255355834961,1.0
"SVM, kernel=linear, C=1.0",Mushroom/5,1.0,0.0030002593994140625,1.0
"SVM, kernel=linear, C=1.0",Mushroom/6,1.0,0.0029854774475097656,1.0
"SVM, kernel=linear, C=1.0",Mushroom/7,1.0,0.0030074119567871094,1.0
"SVM, kernel=linear, C=1.0",Mushroom/8,1.0,0.0031697750091552734,1.0
"SVM, kernel=linear, C=1.0",Mushroom/9,1.0,0.0029997825622558594,1.0
"SVM, kernel=linear, C=10.0",Mushroom/0,1.0,0.003000497817993164,1.0
"SVM, kernel=linear, C=10.0",Mushroom/1,1.0,0.0031833648681640625,1.0
"SVM, kernel=linear, C=10.0",Mushroom/2,1.0,0.001996755599975586,1.0
"SVM, kernel=linear, C=10.0",Mushroom/3,1.0,0.0029997825622558594,1.0
"SVM, kernel=linear, C=10.0",Mushroom/4,1.0,0.0030455589294433594,1.0
"SVM, kernel=linear, C=10.0",Mushroom/5,1.0,0.0030012130737304688,1.0
"SVM, kernel=linear, C=10.0",Mushroom/6,1.0,0.001990795135498047,1.0
"SVM, kernel=linear, C=10.0",Mushroom/7,1.0,0.004057884216308594,1.0
"SVM, kernel=linear, C=10.0",Mushroom/8,1.0,0.0029833316802978516,1.0
"SVM, kernel=linear, C=10.0",Mushroom/9,1.0,0.0030031204223632812,1.0
"SVM, kernel=linear, C=100.0",Mushroom/0,1.0,0.003003835678100586,1.0
"SVM, kernel=linear, C=100.0",Mushroom/1,1.0,0.002000570297241211,1.0
"SVM, kernel=linear, C=100.0",Mushroom/2,1.0,0.0030019283294677734,1.0
"SVM, kernel=linear, C=100.0",Mushroom/3,1.0,0.0030443668365478516,1.0
"SVM, kernel=linear, C=100.0",Mushroom/4,1.0,0.0030171871185302734,1.0
"SVM, kernel=linear, C=100.0",Mushroom/5,1.0,0.002617359161376953,1.0
"SVM, kernel=linear, C=100.0",Mushroom/6,1.0,0.0025053024291992188,1.0
"SVM, kernel=linear, C=100.0",Mushroom/7,1.0,0.0029997825622558594,1.0
"SVM, kernel=linear, C=100.0",Mushroom/8,1.0,0.004000425338745117,1.0
"SVM, kernel=linear, C=100.0",Mushroom/9,1.0,0.009505271911621094,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/0,1.0,0.00803995132446289,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/1,1.0,0.00600123405456543,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/2,1.0,0.0060503482818603516,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/3,1.0,0.007002592086791992,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/4,1.0,0.006006717681884766,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/5,1.0,0.00821375846862793,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/6,1.0,0.0060062408447265625,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/7,1.0,0.005800485610961914,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/8,1.0,0.00599980354309082,1.0
"SVM, kernel=rbf, C=10.0",Mushroom/9,1.0,0.007002115249633789,1.0
"SVM, kernel=rbf, C=100.0",Mushroom/0,1.0,0.005998373031616211,1.0
