Model,Dataset/Fold,Accuracy,Time,F1
"SVM, kernel=linear, C=1.0, NONE",Mushroom/0,1.0,0.008007287979125977,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/1,1.0,0.0029997825622558594,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/2,1.0,0.003039836883544922,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/3,1.0,0.003010272979736328,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/4,1.0,0.008615255355834961,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/5,1.0,0.0030002593994140625,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/6,1.0,0.0029854774475097656,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/7,1.0,0.0030074119567871094,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/8,1.0,0.0031697750091552734,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/9,1.0,0.0029997825622558594,1.0
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/0,0.9975339087546239,0.0019998550415039062,0.9974358974358974
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/1,1.0,0.0019991397857666016,1.0
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/2,1.0,0.003170490264892578,1.0
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/3,0.9975369458128078,0.002559185028076172,0.9974424552429667
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/4,0.9963054187192119,0.0020074844360351562,0.9961489088575096
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/5,0.9975339087546239,0.0020003318786621094,0.9974358974358974
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/6,1.0,0.002002716064453125,1.0
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/7,1.0,0.00200653076171875,1.0
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/8,0.9975429975429976,0.003000497817993164,0.9974489795918368
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/9,0.9987684729064039,0.0020020008087158203,0.998719590268886
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/0,0.9864364981504316,0.0009999275207519531,0.9857328145265889
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/1,0.9839901477832512,0.001003265380859375,0.9833971902937421
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/2,0.9717444717444718,0.0009894371032714844,0.9703989703989704
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/3,0.9273399014778325,0.0010592937469482422,0.9186206896551724
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/4,0.9815270935960592,0.0005080699920654297,0.9809402795425667
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/5,0.9753390875462392,0.002000093460083008,0.9744897959183674
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/6,0.9815724815724816,0.003068208694458008,0.9810366624525917
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/7,0.9839901477832512,0.0018570423126220703,0.9833971902937421
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/8,0.9680589680589681,0.0020034313201904297,0.9669211195928753
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/9,0.9766009852216748,0.0017139911651611328,0.9755469755469756
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/0,0.9864364981504316,0.0020008087158203125,0.9857328145265889
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/1,0.9901477832512315,0.0019996166229248047,0.9896907216494846
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/2,0.9803439803439803,0.0017566680908203125,0.9791666666666666
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/3,0.9815270935960592,0.0010006427764892578,0.9804941482444733
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/4,0.9889162561576355,0.0020036697387695312,0.9883570504527813
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/5,0.9827373612823674,0.0009889602661132812,0.9817708333333334
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/6,0.9914004914004914,0.002156972885131836,0.9909677419354839
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/7,0.9876847290640394,0.004030942916870117,0.9870801033591732
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/8,0.9815724815724816,0.002478361129760742,0.980544747081712
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/9,0.9815270935960592,0.001861572265625,0.9804432855280313
