Model,Dataset/Fold,Accuracy,Time,F1
"KNN, 1, euclidean_distance, equal_weight, majority_class",Mushroom/0,1.0,1.3684070110321045,1.0
"KNN, 1, euclidean_distance, equal_weight, majority_class",Mushroom/1,1.0,2.0152928829193115,1.0
"KNN, 1, euclidean_distance, equal_weight, majority_class",Mushroom/2,1.0,1.935598373413086,1.0
"KNN, 1, euclidean_distance, equal_weight, majority_class",Mushroom/3,1.0,1.8763339519500728,1.0
"KNN, 1, euclidean_distance, equal_weight, majority_class",Mushroom/4,1.0,1.9448506832122805,1.0
"KNN, 1, euclidean_distance, equal_weight, majority_class",Mushroom/5,1.0,1.9660863876342771,1.0
"KNN, 1, euclidean_distance, equal_weight, majority_class",Mushroom/6,1.0,1.3249657154083252,1.0
"KNN, 1, euclidean_distance, equal_weight, majority_class",Mushroom/7,1.0,4.139996290206909,1.0
"KNN, 1, euclidean_distance, equal_weight, majority_class",Mushroom/8,1.0,2.009586334228516,1.0
"KNN, 1, euclidean_distance, equal_weight, majority_class",Mushroom/9,1.0,1.433401584625244,1.0
