,UMAP1,UMAP2,Class
0,10.746577,-3.7009416,0
1,10.922615,-3.6774192,0
2,11.408363,-4.156302,0
3,13.294895,-4.926746,0
4,4.4917088,-1.2367473,0
5,11.478039,-4.045272,0
6,12.062807,-3.9392374,0
7,11.362947,-4.117683,0
8,11.256267,-3.3608212,0
9,11.059305,-3.8954058,0
10,12.311408,-4.1418977,0
11,12.168588,-4.5195007,0
12,11.542377,-4.2352953,0
13,13.811422,-5.9960504,0
14,14.219738,-6.26284,0
15,13.50002,-5.2051587,0
16,11.179154,-4.0404067,0
17,11.943832,-4.5267234,0
18,13.401943,-5.1470294,0
19,11.6148,-4.127421,0
20,11.638895,-3.8456929,0
21,11.760796,-4.157485,0
22,11.538774,-3.5870519,0
23,12.008925,-4.599893,0
24,12.948762,-4.6476755,0
25,12.748201,-4.6350417,0
26,12.0274,-4.509288,0
27,12.612779,-4.4081297,0
28,14.169734,-6.284692,0
29,12.023967,-4.7032433,0
30,11.633562,-4.10423,0
31,13.26185,-5.0126996,0
32,11.657627,-3.4146166,0
33,12.76821,-4.564519,0
34,12.284297,-4.573997,0
35,10.809572,-3.8556583,0
36,11.259182,-3.9675012,0
37,13.959396,-6.158045,0
38,12.908444,-4.990577,0
39,10.804277,-3.3806255,0
40,13.422871,-5.180087,0
41,13.937808,-5.783246,0
42,11.437589,-3.7294314,0
43,13.220848,-5.0842247,0
44,14.135454,-6.1334124,0
45,11.4363575,-3.7430847,0
46,11.0224695,-3.7255206,0
47,12.74446,-4.619612,0
48,10.768371,-3.7618115,0
49,13.411774,-5.615579,0
50,12.644225,-4.182191,0
51,13.443733,-5.0980334,0
52,13.352444,-5.1619806,0
53,14.257648,-6.670018,0
54,13.342128,-5.248556,0
55,13.33171,-5.5735793,0
56,12.018405,-4.19999,0
57,14.269378,-6.4975524,0
58,14.06128,-6.9284344,0
59,14.263569,-7.058221,0
60,14.043538,-7.2825933,0
61,13.9019575,-5.9400296,0
62,11.296814,-4.3330564,0
63,12.83192,-4.5629964,0
64,13.117867,-5.041069,0
65,14.1007185,-6.4123406,0
66,12.420231,-4.388377,0
67,12.415694,-4.5472693,0
68,14.096124,-6.859383,0
69,11.829451,-3.4896834,0
70,13.45962,-5.851124,0
71,13.631791,-7.463577,0
72,13.411184,-5.687554,0
73,13.393662,-5.663476,0
74,13.779498,-6.4782114,0
75,12.807388,-4.5893717,0
76,14.0954275,-7.121169,0
77,13.988164,-6.393288,0
78,12.133357,-4.767084,0
79,13.952188,-7.3466625,0
80,14.098595,-7.130755,0
81,14.015011,-7.4602776,0
82,13.946322,-6.699588,0
83,11.572246,-3.8995886,0
84,13.648092,-6.459807,0
85,13.391278,-6.0766277,0
86,13.537538,-5.906892,0
87,13.795183,-6.7807803,0
88,13.7969675,-7.3864894,0
89,13.640101,-6.5749717,0
90,13.72307,-7.63726,0
91,11.177546,-3.9907124,0
92,11.328696,-3.6961217,0
93,13.704782,-7.5782413,0
94,13.5780735,-6.5715194,0
95,13.801843,-7.4134717,0
96,13.7871685,-7.5377345,0
97,11.47123,-4.5352063,0
98,13.725105,-7.5239773,0
99,12.140854,-4.602459,0
100,13.391747,-6.2627783,0
101,13.717161,-7.410356,0
102,13.401786,-6.718348,0
103,10.762436,-3.6616442,0
104,13.714875,-7.4688287,0
105,12.523858,-4.652019,0
106,13.784526,-7.4967146,0
107,13.641594,-7.3024983,0
108,13.406579,-8.530788,0
109,13.426073,-8.435976,0
110,13.16162,-8.750731,0
111,13.298022,-8.607258,0
112,6.1071167,-0.022276422,0
113,10.826555,-3.3137155,0
114,12.022336,-3.9964669,0
115,2.8169112,9.981976,1
116,2.814228,10.007875,1
117,3.3851955,9.536986,1
118,3.5279927,9.724885,1
119,3.5137382,9.527949,1
120,3.0995958,9.959644,1
121,3.4608846,10.178343,1
122,4.293233,9.028816,1
123,6.74538,14.389209,1
124,3.2984278,10.294222,1
125,4.0263686,9.267286,1
126,4.233016,9.158384,1
127,3.0947807,10.288292,1
128,3.4626071,10.295792,1
129,3.9252322,10.332436,1
130,3.725624,11.522701,1
131,3.8648138,9.429335,1
132,3.5614922,10.99252,1
133,3.3176544,10.313378,1
134,4.039745,9.262981,1
135,3.6786568,11.076853,1
136,3.7500815,11.418701,1
137,3.2214234,10.313021,1
138,3.3851607,10.238388,1
139,3.8900363,10.048409,1
140,3.2287316,10.114082,1
141,4.0918517,9.353718,1
142,3.5706627,10.581488,1
143,3.8657794,10.251626,1
144,6.5513535,14.018035,1
145,4.167381,10.066336,1
146,3.770204,9.50714,1
147,3.7273834,11.193361,1
148,4.2404447,11.516003,1
149,4.0496078,9.487532,1
150,4.0425763,11.707943,1
151,4.187848,11.739207,1
152,4.15736,10.019273,1
153,4.0246563,11.344441,1
154,4.1908083,10.000584,1
155,4.390263,9.113169,1
156,4.3957095,9.263674,1
157,4.26824,9.259959,1
158,3.762845,10.629918,1
159,6.4033566,13.783582,1
160,3.958249,11.237684,1
161,5.1929917,9.137813,1
162,4.163137,9.492866,1
163,6.3532586,13.761629,1
164,4.209698,11.685419,1
165,6.5728207,16.65568,1
166,4.126529,11.051723,1
167,4.921528,10.00422,1
168,4.586139,9.989466,1
169,4.121639,5.144383,1
170,4.7493286,9.475787,1
171,3.936407,5.071308,1
