Algorithm,n_clusters,fuzziness,rho,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_0",2,1.5,0.5,0,0.13641570646543558,0.29953319461831485,1.8796736479141858,0.2185809102883443,2992.414470321116,2,0.5397777557373047
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_1",2,1.5,0.5,1,0.13569963784742814,0.29808176834240613,1.8792739036373396,0.2186116077823815,2992.4327559050153,2,0.24311137199401855
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_2",2,1.5,0.5,2,0.10033704180149607,0.2427943562397504,1.7300866570653812,0.22527978471855156,2979.7454278193554,2,0.23197364807128906
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_3",2,1.5,0.5,3,0.10033704180149607,0.24279435623975046,1.7300866570653812,0.22527978471855156,2979.7454278193554,2,0.5309350490570068
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_4",2,1.5,0.5,4,0.13641570646543558,0.29953319461831485,1.8796736479141858,0.2185809102883443,2992.414470321116,2,0.245452880859375
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_5",2,1.5,0.5,5,0.08525644124129807,0.26342895902025776,1.5910439211949337,0.2583288759789841,3034.0085508824195,2,0.17342185974121094
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_6",2,1.5,0.5,6,0.10438786674848224,0.22650409738021202,1.9479116501653075,0.19141934499958904,2645.3467827136183,2,0.2077324390411377
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_7",2,1.5,0.5,7,0.13641570646543558,0.29953319461831485,1.8796736479141858,0.2185809102883443,2992.414470321116,2,0.2716841697692871
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_8",2,1.5,0.5,8,0.1295208487761285,0.2705968924357991,2.0156970454909087,0.2073831886764089,2601.3103279489683,2,0.17108583450317383
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.5)_9",2,1.5,0.5,9,0.10033704180149607,0.24279435623975046,1.7300866570653812,0.22527978471855156,2979.7454278193554,2,0.288912296295166
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_0",2,1.5,0.7,0,0.13569963784742814,0.2980817683424062,1.8792739036373396,0.2186116077823815,2992.4327559050153,2,0.4446380138397217
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_1",2,1.5,0.7,1,0.10033704180149607,0.2427943562397504,1.7300866570653812,0.22527978471855156,2979.7454278193554,2,0.31627464294433594
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_2",2,1.5,0.7,2,0.13569963784742814,0.29808176834240613,1.8792739036373396,0.2186116077823815,2992.4327559050153,2,0.4810023307800293
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_3",2,1.5,0.7,3,0.13569963784742814,0.29808176834240613,1.8792739036373396,0.2186116077823815,2992.4327559050153,2,0.24963712692260742
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_4",2,1.5,0.7,4,0.10005170844746998,0.2425999644477547,1.7284478933843004,0.225312593959161,2979.7396645772887,2,0.2119762897491455
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_5",2,1.5,0.7,5,0.10005170844746998,0.2425999644477547,1.7284478933843004,0.225312593959161,2979.7396645772887,2,0.17340612411499023
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_6",2,1.5,0.7,6,0.10033704180149607,0.24279435623975046,1.7300866570653812,0.22527978471855156,2979.7454278193554,2,0.27013301849365234
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_7",2,1.5,0.7,7,0.10033704180149607,0.24279435623975046,1.7300866570653812,0.22527978471855156,2979.7454278193554,2,0.383638858795166
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_8",2,1.5,0.7,8,0.13569963784742814,0.29808176834240613,1.8792739036373396,0.2186116077823815,2992.4327559050153,2,0.15595507621765137
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_9",2,1.5,0.7,9,0.13569963784742814,0.2980817683424062,1.8792739036373396,0.2186116077823815,2992.4327559050153,2,0.4786362648010254
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_0",2,1.5,0.9,0,0.1041975693331857,0.22574576595273935,1.9481034783924434,0.19141301178812264,2645.341025825801,2,0.3248777389526367
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_1",2,1.5,0.9,1,0.10034295848309309,0.24276748192121436,1.7304164625134815,0.22526928818538824,2979.7422689492723,2,0.21509671211242676
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_2",2,1.5,0.9,2,0.12932364960981196,0.27015453248602117,2.0155107714345095,0.20737039061085863,2601.2157778143924,2,0.39316701889038086
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_3",2,1.5,0.9,3,0.13537376963595546,0.2978157025491335,1.8786326651596579,0.2187552758368153,2992.4180314875507,2,0.39894914627075195
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_4",2,1.5,0.9,4,0.13537376963595546,0.29781570254913353,1.8786326651596579,0.2187552758368153,2992.4180314875507,2,0.31294941902160645
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_5",2,1.5,0.9,5,0.10010143710210866,0.24265538831811329,1.7287591991955116,0.22529724147937003,2979.7387226869882,2,0.1653614044189453
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_6",2,1.5,0.9,6,0.13542815555853818,0.2975915888604605,1.8790874426549038,0.21862797248755544,2992.4225206806746,2,0.5488953590393066
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_7",2,1.5,0.9,7,0.13542815555853818,0.29759158886046055,1.8790874426549038,0.21862797248755544,2992.4225206806746,2,0.48961353302001953
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_8",2,1.5,0.9,8,0.10033704180149607,0.24279435623975046,1.7300866570653812,0.22527978471855156,2979.7454278193554,2,0.29849696159362793
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_9",2,1.5,0.9,9,0.08511819362176012,0.26316789267708496,1.590487036139833,0.25838283321759514,3034.0034672729594,2,0.8969318866729736
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.5)_0",2,2.0,0.5,0,0.10033994682613985,0.2427808051263817,1.7302343559757147,0.22527284375102807,2979.744048312746,2,1.2639787197113037
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.5)_1",2,2.0,0.5,1,0.12909322631472417,0.2694173733953999,2.0155348216105087,0.20728371928202804,2601.1847665424175,2,0.21878528594970703
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.5)_2",2,2.0,0.5,2,0.12909322631472417,0.26941737339539984,2.0155348216105087,0.20728371928202804,2601.1847665424175,2,0.8122460842132568
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.5)_3",2,2.0,0.5,3,0.13537376963595546,0.2978157025491335,1.8786326651596579,0.2187552758368153,2992.4180314875507,2,0.3306708335876465
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.5)_4",2,2.0,0.5,4,0.10012716110663177,0.24270986883577925,1.7287434866320257,0.22529839573423835,2979.7375134080403,2,1.0808355808258057
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.5)_5",2,2.0,0.5,5,0.10023029433039325,0.24274013789415572,1.7294880273394215,0.22528563838034904,2979.7355292748903,2,0.14776325225830078
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.5)_6",2,2.0,0.5,6,0.10033994682613985,0.24278080512638167,1.7302343559757147,0.22527284375102807,2979.744048312746,2,0.3333582878112793
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.5)_7",2,2.0,0.5,7,0.13537376963595546,0.29781570254913353,1.8786326651596579,0.2187552758368153,2992.4180314875507,2,0.2628967761993408
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.5)_8",2,2.0,0.5,8,0.13493364831022153,0.297133273191624,1.8782902080262787,0.21878443160431632,2992.3657786446415,2,0.38666534423828125
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.5)_9",2,2.0,0.5,9,0.08511819362176012,0.26316789267708496,1.590487036139833,0.25838283321759514,3034.0034672729594,2,0.22565150260925293
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.7)_0",2,2.0,0.7,0,0.10023263925438682,0.24267246515063165,1.7294697076241459,0.22528723782826246,2979.729270326015,2,0.907731294631958
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.7)_1",2,2.0,0.7,1,0.13462219613987772,0.2969770600055377,1.8779469356923324,0.21881119072498162,2992.2913829871027,2,0.6574039459228516
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.7)_2",2,2.0,0.7,2,0.08489309542968908,0.26255558239443577,1.589904475754244,0.25841696634433764,3033.9793335736986,2,0.19545626640319824
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.7)_3",2,2.0,0.7,3,0.10023263925438682,0.24267246515063165,1.7294697076241459,0.22528723782826246,2979.729270326015,2,0.24135279655456543
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.7)_4",2,2.0,0.7,4,0.1340092846815233,0.2958709397086214,1.8775561623359305,0.21884276849579656,2992.186435570181,2,0.4162931442260742
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.7)_5",2,2.0,0.7,5,0.1340092846815233,0.29587093970862144,1.8775561623359305,0.21884276849579656,2992.186435570181,2,0.572805643081665
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.7)_6",2,2.0,0.7,6,0.13462219613987772,0.2969770600055377,1.8779469356923324,0.21881119072498162,2992.2913829871027,2,0.48837733268737793
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.7)_7",2,2.0,0.7,7,0.13462219613987772,0.2969770600055377,1.8779469356923324,0.21881119072498162,2992.2913829871027,2,0.390516996383667
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.7)_8",2,2.0,0.7,8,0.10023263925438682,0.2426724651506316,1.7294697076241459,0.22528723782826246,2979.729270326015,2,0.36100029945373535
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.7)_9",2,2.0,0.7,9,0.1340092846815233,0.29587093970862144,1.8775561623359305,0.21884276849579656,2992.186435570181,2,0.6260013580322266
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.9)_0",2,2.0,0.9,0,0.13213042277111048,0.29302839362805355,1.876245735034782,0.21896112182426508,2991.649003327061,2,1.187852382659912
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.9)_1",2,2.0,0.9,1,0.10039269206725603,0.24247711321833235,1.7310563846459481,0.22524872796284048,2979.711610384084,2,0.2910466194152832
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.9)_2",2,2.0,0.9,2,0.13206176918837947,0.29291120340039667,1.8762099693338063,0.21896654645828606,2991.628779441252,2,0.6734528541564941
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.9)_3",2,2.0,0.9,3,0.08486881656119155,0.26222529592518024,1.590408009768455,0.25832392853911634,3033.9270000419133,2,0.27974534034729004
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.9)_4",2,2.0,0.9,4,0.10039269206725603,0.24247711321833235,1.7310563846459481,0.22524872796284048,2979.711610384084,2,0.7732248306274414
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.9)_5",2,2.0,0.9,5,0.13213042277111048,0.29302839362805355,1.876245735034782,0.21896112182426508,2991.649003327061,2,1.7468204498291016
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.9)_6",2,2.0,0.9,6,0.10039269206725603,0.24247711321833243,1.7310563846459481,0.22524872796284048,2979.711610384084,2,0.18084383010864258
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.9)_7",2,2.0,0.9,7,0.08486881656119155,0.26222529592518024,1.590408009768455,0.25832392853911634,3033.9270000419133,2,0.28931140899658203
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.9)_8",2,2.0,0.9,8,0.10039269206725603,0.24247711321833235,1.7310563846459481,0.22524872796284048,2979.711610384084,2,0.4098331928253174
"FuzzyCMeans(n_clusters=2, fuzziness=2, rho=0.9)_9",2,2.0,0.9,9,0.10020424261501826,0.24219847121257554,1.730295367861465,0.22525161764570892,2979.7129364728376,2,0.8723325729370117
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.5)_0",2,3.0,0.5,0,0.13128034101862682,0.29178415623644877,1.8755934622032049,0.21903314599954501,2991.263382717055,2,0.4039461612701416
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.5)_1",2,3.0,0.5,1,0.13128034101862682,0.2917841562364488,1.8755934622032049,0.21903314599954501,2991.263382717055,2,1.9093756675720215
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.5)_2",2,3.0,0.5,2,0.10022964255946817,0.2424613525544618,1.7299258468468657,0.2252762538029129,2979.6930194799666,2,0.4233052730560303
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.5)_3",2,3.0,0.5,3,0.10018290926387653,0.2423924788249529,1.7297069727183272,0.22526994934854846,2979.694526431964,2,0.47188258171081543
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.5)_4",2,3.0,0.5,4,0.08480552698274496,0.2621160736257126,1.5901405611689747,0.25833840975714256,3033.827802417213,2,0.6654090881347656
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.5)_5",2,3.0,0.5,5,0.10194650959266546,0.2210183838295014,1.9459905637451897,0.1905830666071573,2645.015092973295,2,2.7420337200164795
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.5)_6",2,3.0,0.5,6,0.13128034101862682,0.29178415623644877,1.8755934622032049,0.21903314599954501,2991.263382717055,2,1.0083928108215332
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.5)_7",2,3.0,0.5,7,0.10022964255946817,0.2424613525544618,1.7299258468468657,0.2252762538029129,2979.6930194799666,2,0.6556165218353271
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.5)_8",2,3.0,0.5,8,0.13128034101862682,0.29178415623644877,1.8755934622032049,0.21903314599954501,2991.263382717055,2,0.5188579559326172
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.5)_9",2,3.0,0.5,9,0.10018290926387653,0.2423924788249529,1.7297069727183272,0.22526994934854846,2979.694526431964,2,2.6167781352996826
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.7)_0",2,3.0,0.7,0,0.10167615701582819,0.22034220911315838,1.9504030802097005,0.1900498859884974,2644.750638851314,2,3.3376824855804443
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.7)_1",2,3.0,0.7,1,0.10041604025022308,0.21743850094171707,1.958611291930397,0.1890768904526871,2644.647725883815,2,1.737011432647705
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.7)_2",2,3.0,0.7,2,0.1002329091621934,0.24244855403511578,1.7300808574528004,0.2252682317925284,2979.6756380398283,2,0.9001069068908691
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.7)_3",2,3.0,0.7,3,0.12960850604758026,0.28916633509774936,1.874277320825319,0.2191119045413524,2990.238131395416,2,0.832815408706665
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.7)_4",2,3.0,0.7,4,0.1002329091621934,0.24244855403511578,1.7300808574528004,0.2252682317925284,2979.6756380398283,2,0.5262253284454346
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.7)_5",2,3.0,0.7,5,0.1297411641141452,0.28938606107465337,1.8743703154365896,0.21910537532155303,2990.33265169213,2,0.8358757495880127
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.7)_6",2,3.0,0.7,6,0.10167615701582819,0.22034220911315833,1.9504030802097005,0.1900498859884974,2644.750638851314,2,1.477027416229248
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.7)_7",2,3.0,0.7,7,0.10167615701582819,0.22034220911315833,1.9504030802097005,0.1900498859884974,2644.750638851314,2,0.8761594295501709
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.7)_8",2,3.0,0.7,8,0.1002329091621934,0.24244855403511578,1.7300808574528004,0.2252682317925284,2979.6756380398283,2,0.42228150367736816
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.7)_9",2,3.0,0.7,9,0.1297411641141452,0.28938606107465337,1.8743703154365896,0.21910537532155303,2990.33265169213,2,0.5535011291503906
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.9)_0",2,3.0,0.9,0,0.10040603093011127,0.2426855847906025,1.7308714299928794,0.22522472899769494,2979.6013812565316,2,0.6020064353942871
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.9)_1",2,3.0,0.9,1,0.12723185517300348,0.2852483889124812,1.8728424075091226,0.21919419456602113,2988.3971568164943,2,0.408951997756958
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.9)_2",2,3.0,0.9,2,0.10040603093011127,0.24268558479060243,1.7308714299928794,0.22522472899769494,2979.6013812565316,2,0.37014031410217285
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.9)_3",2,3.0,0.9,3,0.10040603093011127,0.24268558479060243,1.7308714299928794,0.22522472899769494,2979.6013812565316,2,0.24382901191711426
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.9)_4",2,3.0,0.9,4,0.10040603093011127,0.2426855847906025,1.7308714299928794,0.22522472899769494,2979.6013812565316,2,0.3895456790924072
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.9)_5",2,3.0,0.9,5,0.10040603093011127,0.24268558479060243,1.7308714299928794,0.22522472899769494,2979.6013812565316,2,1.3110146522521973
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.9)_6",2,3.0,0.9,6,0.10040603093011127,0.2426855847906025,1.7308714299928794,0.22522472899769494,2979.6013812565316,2,0.5763261318206787
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.9)_7",2,3.0,0.9,7,0.12666876700124372,0.28431522520634667,1.872468955126906,0.21921842572425898,2987.874432266928,2,0.5319039821624756
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.9)_8",2,3.0,0.9,8,0.12685672571976794,0.2846418700516429,1.8726288964437314,0.21920933619407135,2988.0044839905395,2,5.478966951370239
"FuzzyCMeans(n_clusters=2, fuzziness=3, rho=0.9)_9",2,3.0,0.9,9,0.10040603093011127,0.24268558479060243,1.7308714299928794,0.22522472899769494,2979.6013812565316,2,0.38680028915405273
