Algorithm,k,Distance_Metric,N_Buckets,Repetition,ARI,NMI,DBI,Silhouette,CHS,Time
"GlobalKMeansAlgorithm(k=2, Distance_Metric=euclidean, N_Buckets=2k)_0",2,euclidean,2k,0,0.10300858871699219,0.22367384755128555,1.947165272325695,0.19090656789154553,2645.302537014806,0.06377553939819336
"GlobalKMeansAlgorithm(k=2, Distance_Metric=euclidean, N_Buckets=3k)_0",2,euclidean,3k,0,0.08525644124129807,0.26342895902025776,1.5910439211949337,0.2583288759789841,3034.0085508824195,0.07678914070129395
"GlobalKMeansAlgorithm(k=2, Distance_Metric=euclidean, N_Buckets=4k)_0",2,euclidean,4k,0,0.08525644124129807,0.26342895902025776,1.5910439211949337,0.2583288759789841,3034.0085508824195,0.07721161842346191
"GlobalKMeansAlgorithm(k=2, Distance_Metric=manhattan, N_Buckets=2k)_0",2,manhattan,2k,0,0.1066146495073714,0.2536444659727339,1.8626187589608167,0.2182900736708707,2915.229879764215,0.058075666427612305
"GlobalKMeansAlgorithm(k=2, Distance_Metric=manhattan, N_Buckets=3k)_0",2,manhattan,3k,0,0.07646665443232607,0.2392279927953114,1.5921797549663335,0.2546390846753363,2976.315508385897,0.06656217575073242
"GlobalKMeansAlgorithm(k=2, Distance_Metric=manhattan, N_Buckets=4k)_0",2,manhattan,4k,0,0.07646665443232607,0.2392279927953114,1.5921797549663335,0.2546390846753363,2976.315508385897,0.07464599609375
"GlobalKMeansAlgorithm(k=2, Distance_Metric=clark, N_Buckets=2k)_0",2,clark,2k,0,0.13349296228205057,0.2806638534699294,2.1032784410252234,0.1686299803309467,2379.005538839707,0.08147120475769043
"GlobalKMeansAlgorithm(k=2, Distance_Metric=clark, N_Buckets=3k)_0",2,clark,3k,0,0.07318476500515679,0.22049025785878845,1.626191903295721,0.24737336433929225,2926.330621795713,0.10154557228088379
"GlobalKMeansAlgorithm(k=2, Distance_Metric=clark, N_Buckets=4k)_0",2,clark,4k,0,0.13349296228205057,0.2806638534699294,2.1032784410252234,0.1686299803309467,2379.005538839707,0.10118317604064941
"GlobalKMeansAlgorithm(k=3, Distance_Metric=euclidean, N_Buckets=2k)_0",3,euclidean,2k,0,0.25290975803761073,0.45924695827347145,1.6015979562143547,0.2369945150315468,3145.1119752666814,0.10818195343017578
"GlobalKMeansAlgorithm(k=3, Distance_Metric=euclidean, N_Buckets=3k)_0",3,euclidean,3k,0,0.25290975803761073,0.45924695827347145,1.6015979562143547,0.2369945150315468,3145.1119752666814,0.11473488807678223
"GlobalKMeansAlgorithm(k=3, Distance_Metric=euclidean, N_Buckets=4k)_0",3,euclidean,4k,0,0.20138679720458605,0.4174901358685478,1.4356054165666414,0.2563617468809159,3346.873627521992,0.14353084564208984
"GlobalKMeansAlgorithm(k=3, Distance_Metric=manhattan, N_Buckets=2k)_0",3,manhattan,2k,0,0.23735578649518937,0.43316166269000594,1.7750728223765997,0.21917453036724294,2846.44305633785,0.10686182975769043
"GlobalKMeansAlgorithm(k=3, Distance_Metric=manhattan, N_Buckets=3k)_0",3,manhattan,3k,0,0.20996496228373895,0.3947260838380346,1.6565902714755119,0.23443247946180124,3054.2187956991766,0.1356656551361084
"GlobalKMeansAlgorithm(k=3, Distance_Metric=manhattan, N_Buckets=4k)_0",3,manhattan,4k,0,0.21105915918091858,0.39615323772244343,1.6632051949805797,0.2341379861235768,3050.980741615241,0.15555810928344727
