Algorithm,k,Distance_Metric,Repetition,ARI,NMI,DBI,Silhouette,CHS,Time
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_0",2,euclidean,0,0.10070279840151564,0.23910760913050536,1.7433673395139677,0.22491365144186098,2978.0625494559526,0.018088579177856445
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_1",2,euclidean,1,0.10281119592663145,0.2240413935892549,1.9510788721208336,0.19016507320441442,2645.581738875099,0.018027544021606445
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_2",2,euclidean,2,0.13651601918949544,0.29976528963121163,1.8798538458644631,0.21856672615679654,2992.3989464995648,0.017333030700683594
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_3",2,euclidean,3,0.13732247167759687,0.301075109833118,1.880539106005481,0.21850319487094694,2992.360758144678,0.0176088809967041
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_4",2,euclidean,4,0.08525644124129807,0.26342895902025776,1.5910439211949337,0.2583288759789841,3034.0085508824195,0.018776893615722656
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_5",2,euclidean,5,0.10062828134809185,0.2423712941031368,1.7332929326110946,0.22523299927256443,2979.633110068739,0.01934671401977539
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_6",2,euclidean,6,0.13710380340960232,0.3008357974786054,1.8807969922268222,0.21836090953776918,2991.9730025452363,0.01736736297607422
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_7",2,euclidean,7,0.13265642834513697,0.2938580535500454,1.8786571214049281,0.21856935542248823,2988.944057314403,0.01646113395690918
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_8",2,euclidean,8,0.08525644124129807,0.26342895902025776,1.5910439211949337,0.2583288759789841,3034.0085508824195,0.01424717903137207
"KMeansAlgorithm(k=2, Distance_Metric=euclidean)_9",2,euclidean,9,0.08525644124129807,0.26342895902025776,1.5910439211949337,0.2583288759789841,3034.0085508824195,0.016944408416748047
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_0",2,manhattan,0,0.11085850256706677,0.25849400622179186,1.8684107806091028,0.21789027199682304,2931.151379824609,0.01722240447998047
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_1",2,manhattan,1,0.09686458072966306,0.22706943907106203,1.7676977867024515,0.22065612144316823,2922.1441376673106,0.01769113540649414
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_2",2,manhattan,2,0.09995909157903059,0.20991675694970016,2.0720745748864235,0.18638380435082622,2458.477623177843,0.0181729793548584
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_3",2,manhattan,3,0.11019327910909152,0.25761424426974516,1.8679673878802878,0.2178991876902553,2928.170801471087,0.017156124114990234
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_4",2,manhattan,4,0.07636825844631222,0.23895281356536702,1.591985316644226,0.25464745035010883,2975.9802248966525,0.018325328826904297
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_5",2,manhattan,5,0.07636825844631222,0.23895281356536702,1.591985316644226,0.25464745035010883,2975.9802248966525,0.017869234085083008
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_6",2,manhattan,6,0.10238268029696872,0.24790174495251852,1.8561123126033479,0.21857669054732665,2903.7923828887297,0.017668962478637695
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_7",2,manhattan,7,0.07636825844631222,0.238952813565367,1.591985316644226,0.25464745035010883,2975.9802248966525,0.018943309783935547
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_8",2,manhattan,8,0.08105657898084624,0.22441779529165323,1.760556129645911,0.22918675152759438,2874.1213789712447,0.01694345474243164
"KMeansAlgorithm(k=2, Distance_Metric=manhattan)_9",2,manhattan,9,0.07640879081017829,0.2386744855798361,1.5942685987321987,0.25424942565807607,2974.250616821414,0.014950275421142578
"KMeansAlgorithm(k=2, Distance_Metric=clark)_0",2,clark,0,0.12900719275678973,0.27158875859195847,2.101758576152831,0.16998941449561686,2398.028895124592,0.028413057327270508
"KMeansAlgorithm(k=2, Distance_Metric=clark)_1",2,clark,1,0.1269487329859275,0.2675366384852205,2.103136187925865,0.17027780538946674,2400.089178150925,0.02959132194519043
"KMeansAlgorithm(k=2, Distance_Metric=clark)_2",2,clark,2,0.08927313841862618,0.2282479394095931,1.725221769435784,0.21698611418888908,2824.9304429495523,0.02744770050048828
