Algorithm,ARI,F1 Score,DBI,silhouette_score,calinski_harabasz_score,Time
"Optics, euclidean, auto)",0.14176541990643424,0.10254543749539145,1.5662382292498418,0.15690223061160963,1792.6197393730758,35.88931083679199
"Optics, euclidean, brute)",0.14176541990643424,0.10254543749539145,1.5662382292498418,0.15690223061160963,1792.6197393730758,34.88096809387207
"Optics, euclidean, ball_tree)",0.14176541990643424,0.10254543749539145,1.5662382292498418,0.15690223061160963,1792.6197393730758,13.694474935531616
"Optics, euclidean, kd_tree)",0.14176541990643424,0.10254543749539145,1.5662382292498418,0.15690223061160963,1792.6197393730758,13.915728330612183
"Optics, manhattan, auto)",0.10481760814583871,0.0,1.2953614280567678,0.1674255887766752,1856.9486665758443,32.07138657569885
"Optics, manhattan, brute)",0.10481760814583871,0.0,1.2953614280567678,0.1674255887766752,1856.9486665758443,32.78245997428894
"Optics, manhattan, ball_tree)",0.10481760814583871,0.0,1.2953614280567678,0.1674255887766752,1856.9486665758443,12.880611896514893
"Optics, manhattan, kd_tree)",0.10481760814583871,0.0,1.2953614280567678,0.1674255887766752,1856.9486665758443,12.775975465774536
"Optics, cosine, auto)",0.17141772801943195,0.08816914080071975,1.3868950902929895,0.08436953686684538,1354.406214466391,36.20465016365051
"Optics, cosine, brute)",0.17141772801943195,0.08816914080071975,1.3868950902929895,0.08436953686684538,1354.406214466391,39.34908413887024
