Algorithm,n_clusters,n_neighbors,assign_labels,eigen_solver,eigen_tol,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=kmeans, eigen_solver=lobpcg, eigen_tol=0.001)_0",10,150,kmeans,lobpcg,0.001,0,0.6036183834141455,0.7660868327196965,1.311017120224394,0.28718151226533833,2595.837903107641,10,1.4987974166870117
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=kmeans, eigen_solver=lobpcg, eigen_tol=0.001)_1",10,150,kmeans,lobpcg,0.001,1,0.6036412856662396,0.766261650233168,1.3109756418621081,0.2871588894163568,2595.763497786974,10,1.3396334648132324
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=kmeans, eigen_solver=lobpcg, eigen_tol=0.001)_2",10,150,kmeans,lobpcg,0.001,2,0.6036412856662396,0.7662616502331678,1.3109756418621081,0.2871588894163568,2595.7634977869743,10,1.343327283859253
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=kmeans, eigen_solver=lobpcg, eigen_tol=0.001)_3",10,150,kmeans,lobpcg,0.001,3,0.6036412856662396,0.7662616502331678,1.3109756418621081,0.2871588894163568,2595.7634977869743,10,1.267270565032959
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=kmeans, eigen_solver=lobpcg, eigen_tol=0.001)_4",10,150,kmeans,lobpcg,0.001,4,0.603761726867861,0.7662721260544454,1.3108826183360491,0.2872387581134463,2596.445562999696,10,1.297020435333252
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=kmeans, eigen_solver=lobpcg, eigen_tol=0.001)_5",10,150,kmeans,lobpcg,0.001,5,0.6036412856662396,0.7662616502331678,1.3109756418621081,0.2871588894163568,2595.7634977869734,10,1.4673113822937012
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=kmeans, eigen_solver=lobpcg, eigen_tol=0.001)_6",10,150,kmeans,lobpcg,0.001,6,0.6036183834141455,0.7660868327196964,1.311017120224394,0.28718151226533833,2595.8379031076406,10,1.5047030448913574
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=kmeans, eigen_solver=lobpcg, eigen_tol=0.001)_7",10,150,kmeans,lobpcg,0.001,7,0.6036183834141455,0.7660868327196964,1.311017120224394,0.28718151226533833,2595.83790310764,10,1.3105835914611816
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=kmeans, eigen_solver=lobpcg, eigen_tol=0.001)_8",10,150,kmeans,lobpcg,0.001,8,0.6035804480922257,0.7660282158985097,1.3112219127429352,0.28722713957141516,2595.8747204876627,10,1.3813183307647705
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=kmeans, eigen_solver=lobpcg, eigen_tol=0.001)_9",10,150,kmeans,lobpcg,0.001,9,0.6036183834141455,0.7660868327196965,1.311017120224394,0.28718151226533833,2595.837903107641,10,1.2728252410888672
"SpectralClusteringWrapper(n_clusters=10, n_neighbors=150, assign_labels=kmeans, eigen_solver=amg, eigen_tol=0.001)_0",10,150,kmeans,amg,0.001,0,0.6036412856662396,0.766261650233168,1.3109756418621084,0.2871588894163568,2595.7634977869743,10,2.518494129180908
