Algorithm,max_clusters,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
XMeans(max_clusters=150)_0,150,0,0.15177698295008088,0.6095624910572289,1.5486770315546887,0.15817305086579136,774.591445024567,150,3.962911605834961
XMeans(max_clusters=150)_1,150,1,0.14198206680318193,0.60895851613037,1.522933863822771,0.1609220053285453,804.9376587315816,150,4.568015098571777
XMeans(max_clusters=150)_2,150,2,0.15144221799585592,0.6162923420014904,1.5201576650128839,0.1646855519744661,788.4382080868544,150,3.6125080585479736
XMeans(max_clusters=150)_3,150,3,0.14284113729999448,0.6121608092720097,1.560211647046585,0.1592492617634963,804.8467792937186,150,3.331354856491089
XMeans(max_clusters=150)_4,150,4,0.1390166927765061,0.6113053803717804,1.5425400417873762,0.15534214867018703,794.848050207811,150,3.363128185272217
XMeans(max_clusters=151)_0,151,0,0.14891445566715572,0.6178129783277732,1.5533573947440873,0.16031008699168492,796.7028021865309,151,3.6349337100982666
XMeans(max_clusters=151)_1,151,1,0.14991771114424693,0.6151282164799379,1.5356492149418564,0.16062587941122966,799.6568799779056,151,3.3509838581085205
XMeans(max_clusters=151)_2,151,2,0.1345293022107788,0.6105300924167537,1.5638311939233405,0.15373371431126065,786.3555397174989,151,3.390718460083008
XMeans(max_clusters=151)_3,151,3,0.13732751734240378,0.6112427715110371,1.5185105751973131,0.16173970453038847,801.7495260748783,151,3.365773916244507
XMeans(max_clusters=151)_4,151,4,0.13475483150014952,0.60822665219267,1.5630306875143962,0.15522199892837912,810.4137761895922,151,3.4307589530944824
XMeans(max_clusters=152)_0,152,0,0.14453183434308617,0.6125103579425647,1.546241270645558,0.15772643556008956,787.5374110875646,152,3.404951333999634
XMeans(max_clusters=152)_1,152,1,0.1285785757790095,0.6092483290804867,1.5559792432851312,0.15525992696964966,798.9973612328652,152,3.9616692066192627
XMeans(max_clusters=152)_2,152,2,0.1401496966286383,0.6169788685975327,1.528644931580647,0.15997452632668135,803.229503734104,152,3.3392205238342285
XMeans(max_clusters=152)_3,152,3,0.12934583189235707,0.6083513845339141,1.555564380444953,0.15559985640963142,805.9377043356571,152,3.233710765838623
XMeans(max_clusters=152)_4,152,4,0.13544697846326648,0.6099464518692553,1.5593010855676217,0.1573957969147054,795.7081141360977,152,3.3526716232299805
XMeans(max_clusters=153)_0,153,0,0.13819254260315655,0.6123255091860905,1.5402353199833654,0.16065374566328805,793.3258161497689,153,3.283435583114624
XMeans(max_clusters=153)_1,153,1,0.1550867331335698,0.6155701201610301,1.5015296981475177,0.1619005022824856,778.1730251076036,153,3.316298007965088
XMeans(max_clusters=153)_2,153,2,0.13594876163174138,0.6125224272380698,1.5307872191538092,0.1610014107220583,792.7564810738475,153,3.307065725326538
XMeans(max_clusters=153)_3,153,3,0.16509025245736877,0.614643812560159,1.5439770256440117,0.16266152075761708,765.3050099946374,153,3.7344837188720703
XMeans(max_clusters=153)_4,153,4,0.13693827272905576,0.6102601748750865,1.5265393031659518,0.1579041566676225,794.0096863432912,153,3.5173957347869873
